SMILES	Signature	Risk	Label	Label_confidence	Label_weight	Label_regression	DPA_confusion	DPA_values	DemoFP	Stratification	Cluster_ID	Fold
CC(=O)Nc1ccc(O)cc1	Male;Children;Low	Minimal	0	0.37239	0.17615	0.41192	4;454;307;7574	-1.96602;-4.34106;-0.57588	1;0;1;0;0;0;1;0;0	saw	27	2
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	Male;Children;Low	Moderate	1	0.39108	0.18097	0.59048	6;45;305;7983	1.43619;-0.43034;2.63393	1;0;1;0;0;0;1;0;0	saw	6	2
CC(C)NCC(O)COc1cccc2ccccc12	Male;Children;Low	Moderate	1	0.17327	0.13094	0.56547	11;253;300;7775	0.15259;-1.15989;1.09439	1;0;1;0;0;0;1;0;0	saw	6	2
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O	Male;Children;Low	Low	0	0.21497	0.13951	0.43024	3;156;308;7872	-0.87743;-3.70037;0.65704	1;0;1;0;0;0;1;0;0	saw	7	3
CC1=C2CC(=O)C=CC2(C)C2C(O)CC3(C)C(CCC3(O)C(=O)CO)C2C1	Male;Children;Low	Moderate	1	0.21871	0.1403	0.57015	4;58;307;7970	0.67819;-1.69685;2.06833	1;0;1;0;0;0;1;0;0	saw	1	1
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CCl	Male;Children;Low	Moderate	1	0.29693	0.15772	0.57886	3;13;308;8015	1.67417;-1.14877;3.20864	1;0;1;0;0;0;1;0;0	saw	14	4
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O	Male;Children;Low	Low	0	0.08179	0.1137	0.44315	5;137;306;7891	-0.07559;-2.15472;1.20682	1;0;1;0;0;0;1;0;0	saw	119	3
CCCC(CCC)C(=O)O	Male;Children;Low	Low	0	0.25604	0.14841	0.4258	3;206;308;7822	-1.24481;-4.06775;0.28966	1;0;1;0;0;0;1;0;0	saw	3	3
CCCCCC(=O)OC1(C(C)=O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C	Male;Children;Low	Moderate	1	0.26437	0.15027	0.57514	9;166;302;7862	0.43511;-1.03799;1.45705	1;0;1;0;0;0;1;0;0	saw	1	1
CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O	Male;Children;Low	Moderate	1	0.37451	0.17669	0.58834	4;13;307;8015	1.98849;-0.38655;3.37863	1;0;1;0;0;0;1;0;0	saw	19	4
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1	Male;Children;Low	Moderate	1	0.24031	0.14494	0.57247	4;51;307;7977	0.81875;-1.5563;2.20888	1;0;1;0;0;0;1;0;0	saw	21	2
CCCCN1CC(O)C(O)C(O)C1CO	Male;Children;Low	Moderate	1	0.24204	0.14532	0.57266	3;27;308;8001	1.1124;-1.71054;2.64687	1;0;1;0;0;0;1;0;0	saw	109	0
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	Male;Children;Low	High	1	0.73952	0.2896	0.6448	12;32;299;7996	2.5456;1.29675;3.45411	1;0;1;0;0;0;1;0;0	saw	4	4
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21	Male;Children;Low	Moderate	1	0.30133	0.15875	0.57938	3;12;308;8016	1.72408;-1.09886;3.25855	1;0;1;0;0;0;1;0;0	saw	0	0
