SMILES	Signature	Risk	Label	Label_confidence	Label_weight	Label_regression	DPA_confusion	DPA_values	DemoFP	Stratification	Cluster_ID	Fold
C=CC(N)CCC(=O)O	Male;Children;Low	Low	0	0.42171	0.18909	0.40546	17;932;2719;97336	-0.58257;-1.6082;0.20163	1;0;1;0;0;0;1;0;0	saw	0	0
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1	Male;Children;Low	Moderate	1	0.24286	0.1455	0.57275	6;139;2730;98129	0.55386;-1.31266;1.7516	1;0;1;0;0;0;1;0;0	saw	18	0
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	Male;Children;Low	Moderate	1	0.07384	0.1123	0.55615	4;135;2732;98133	0.0773;-2.29775;1.46744	1;0;1;0;0;0;1;0;0	saw	58	4
CC(=O)Nc1ccc(O)cc1	Male;Children;Low	Low	0	0.35827	0.17258	0.41371	42;1704;2694;96564	-0.16942;-0.79301;0.35576	1;0;1;0;0;0;1;0;0	saw	27	2
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1	Male;Children;Low	Moderate	1	0.39589	0.18223	0.59112	8;120;2728;98148	1.09932;-0.47789;2.17045	1;0;1;0;0;0;1;0;0	saw	158	3
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1	Male;Children;Low	High	1	0.50225	0.21175	0.60588	6;22;2730;98246	2.36877;0.50225;3.56652	1;0;1;0;0;0;1;0;0	saw	18	0
CC(=O)Oc1ccccc1C(=O)O	Male;Children;Low	Minimal	0	0.41745	0.18794	0.40603	3;1259;2733;97009	-3.30889;-6.13183;-1.77442	1;0;1;0;0;0;1;0;0	saw	0	0
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1	Male;Children;Low	Low	0	0.14705	0.12579	0.4371	4;183;2732;98085	-0.30658;-2.68162;1.08356	1;0;1;0;0;0;1;0;0	saw	47	4
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O	Male;Children;Low	Low	0	0.18129	0.13255	0.43372	4;207;2732;98061	-0.46596;-2.84101;0.92418	1;0;1;0;0;0;1;0;0	saw	162	1
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	Male;Children;Low	High	1	0.87886	0.34245	0.67122	25;243;2711;98025	1.71644;0.88874;2.37935	1;0;1;0;0;0;1;0;0	saw	6	2
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1	Male;Children;Low	Moderate	1	0.51054	0.2142	0.6071	17;322;2719;97946	0.85385;-0.17178;1.63805	1;0;1;0;0;0;1;0;0	saw	265	4
