SMILES	Signature	Risk	Label	Label_confidence	Label_weight	Label_regression	DPA_confusion	DPA_values	DemoFP	Stratification	Cluster_ID	Fold
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C	Male;Children;Low	Low	0	0.37283	0.17626	0.41187	26;444;6863;93671	-0.29695;-1.10696;0.35455	1;0;1;0;0;0;1;0;0	saw	33	0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	Male;Children;Low	Low	0	0.3429	0.16875	0.41562	60;889;6829;93226	-0.10853;-0.62335;0.3373	1;0;1;0;0;0;1;0;0	saw	33	0
C=CC(N)CCC(=O)O	Male;Children;Low	Minimal	0	0.76588	0.29923	0.35038	31;918;6858;93197	-1.05011;-1.78562;-0.44771	1;0;1;0;0;0;1;0;0	saw	0	0
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1	Male;Children;Low	Moderate	1	0.11013	0.11882	0.55941	5;61;6884;94054	0.13706;-1.94208;1.41946	1;0;1;0;0;0;1;0;0	saw	7	3
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	Male;Children;Low	Minimal	0	0.4395	0.19393	0.40304	4;429;6885;93686	-2.73854;-5.11359;-1.34841	1;0;1;0;0;0;1;0;0	saw	11	0
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1	Male;Children;Low	Moderate	1	0.51879	0.21665	0.60832	18;127;6871;93988	0.83236;-0.16096;1.59752	1;0;1;0;0;0;1;0;0	saw	18	0
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21	Male;Children;Low	Moderate	1	0.21878	0.14032	0.57016	3;17;6886;94098	0.90887;-1.91407;2.44334	1;0;1;0;0;0;1;0;0	saw	19	4
CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO	Male;Children;Low	Moderate	1	0.27236	0.15207	0.57604	3;9;6886;94106	1.4085;-1.41444;2.94297	1;0;1;0;0;0;1;0;0	saw	111	2
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	Male;Children;Low	Moderate	1	0.20057	0.1365	0.56825	11;128;6878;93987	0.20445;-1.10804;1.14625	1;0;1;0;0;0;1;0;0	saw	58	4
CC(=O)Nc1ccc(O)cc1	Male;Children;Low	Minimal	0	0.86221	0.33589	0.33206	85;1661;6804;92454	-0.48406;-0.91184;-0.10501	1;0;1;0;0;0;1;0;0	saw	27	2
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1	Male;Children;Low	Moderate	1	0.40442	0.18447	0.59223	14;114;6875;94001	0.65161;-0.49255;1.50335	1;0;1;0;0;0;1;0;0	saw	158	3
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1	Male;Children;Low	Moderate	1	0.45163	0.19728	0.59864	7;21;6882;94094	1.63801;-0.06696;2.7668	1;0;1;0;0;0;1;0;0	saw	18	0
CC(=O)Oc1ccccc1C(=O)O	Male;Children;Low	Low	0	0.51724	0.21619	0.3919	75;1187;6814;92928	-0.19747;-0.6546;0.20443	1;0;1;0;0;0;1;0;0	saw	0	0
CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	Male;Children;Low	Low	0	0.27396	0.15243	0.42378	6;142;6883;93973	-0.70479;-2.57131;0.49296	1;0;1;0;0;0;1;0;0	saw	1	1
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1	Male;Children;Low	Low	0	0.30228	0.15897	0.42052	8;179;6881;93936	-0.64093;-2.21814;0.4302	1;0;1;0;0;0;1;0;0	saw	47	4
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O	Male;Children;Low	Low	0	0.3396	0.16794	0.41603	8;203;6881;93912	-0.80894;-2.38614;0.2622	1;0;1;0;0;0;1;0;0	saw	162	1
CC(C)(C)NCC(O)c1cc(O)cc(O)c1	Male;Children;Low	Moderate	1	0.14715	0.12581	0.5629	4;42;6885;94073	0.307;-2.06804;1.69714	1;0;1;0;0;0;1;0;0	saw	6	2
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	Male;Children;Low	Moderate	1	0.61495	0.2467	0.62335	30;238;6859;93877	0.69969;-0.04913;1.311	1;0;1;0;0;0;1;0;0	saw	6	2
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1	Male;Children;Low	Moderate	1	0.54754	0.22535	0.61268	33;306;6856;93809	0.50406;-0.20677;1.08979	1;0;1;0;0;0;1;0;0	saw	265	4
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O	Male;Children;Low	Low	0	0.11615	0.11993	0.44004	4;64;6885;94051	-0.19127;-2.56631;1.19887	1;0;1;0;0;0;1;0;0	saw	7	3
CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21	Male;Children;Low	Low	0	0.23375	0.14352	0.42824	3;95;6886;94020	-1.03745;-3.86039;0.49702	1;0;1;0;0;0;1;0;0	saw	36	3
