faers_name	active	count
# 40 tylenol # 3	acetaminophen	1
# ciprofloxacin ciprofloxacin hcl 500mg tab)	ciprofloxacin	1
#5 timolol 0.5% eye drops (alc)	timolol	1
#7 levofloxacin	levofloxacin	1
%lidocaine%	lidocaine	1
%moxifloxacine%	moxifloxacin	1
%valoron%	tilidine	1
'alohim tiw'		1
'baby' aspirin	acetylsalicylic acid	1
'immunoglobulin (human)		1
'levothyroxin	levothyroxine	1
'pain medication'	iron	1
'pl 14017/0096 pl 14017/0096 dexcel-pharma isosorbide mononitrate	isosorbide mononitrate	2
'relafen	nabumetone	1
( bevacizumab )	bevacizumab	1
( dexamethasone	dexamethasone	1
( dexamethasone )	dexamethasone	1
(+)-alfa-tocopheroli acetas	acetate : vitamin e	1
(-)-methamphetamine (levmetamfetamine)	metamfetamine	2
(1)-1 fentos (fentanyl citrate)	fentanyl	1
(17, film-coated tablet) (lamivudine, abacavir sulfate)	abacavir : lamivudine	1
(40 mmol/l) potassium chloride in 0.9% sodium chloride injection usp	potassium chloride	1
(5 fluorouacil /00098801/)	fluorouracil	1
(5-fu /00098801/)	fluorouracil	3
(6-mercaptopurine monohydrate)	mercaptopurine	1
(90)y-ibritumomab tiuxetan	ibritumomab tiuxetan	4
(acetaminophen w/hydrocodone)	acetaminophen : hydrocodone	1
(acetaminophen) diphenhydramine hci	acetaminophen : diphenhydramine	1
(acetylcysteine)	acetylcysteine	1
(acetylsalicylic acid)	acetylsalicylic acid	1
(aciclovir)	acyclovir	6
(actiskenan)	morphine	1
(acupan)	nefopam	2
(acyclovir  /00587301/ )	acyclovir	1
(acyclovir /00587301/)	acyclovir	2
(acyclovir)	acyclovir	1
(adrenalin /00003901/)	epinephrine	1
(adrenalin)	epinephrine	1
(albumin)	albumin human	2
(albuterol /00139501/)	salbutamol	2
(alclometasone dipropionate)	alclometasone	1
(aldactazine)	hydrochlorothiazide : spironolactone	1
(alendronic acid)	alendronic acid	2
(alimta)	pemetrexed	1
(alizapride)	alizapride	1
(allopurinol)	allopurinol	11
