TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
515.99497	245.62322	385.51531	219.79806	0.53828	0.57237	0.47226	0.6775	0.52231	0.51991	0.51751	0.62051	0.5192	0.04257	0.6638	0.29484	0.22573	Total | Total	Weighted	0	LogisticRegression	RDKit
103.97109	64.47842	118.42114	82.59671	0.50496	0.46751	0.5616	0.61722	0.51455	0.5124	0.51025	0.53204	0.5145	0.02861	0.61593	0.30646	0.22915	Sex | Male	Weighted	0	LogisticRegression	RDKit
243.19603	107.54792	154.23976	83.18591	0.55491	0.61191	0.43614	0.69337	0.52402	0.5166	0.50928	0.6501	0.51853	0.04584	0.6808	0.29091	0.21538	Sex | Unknown	Weighted	0	LogisticRegression	RDKit
168.82785	73.59688	112.85441	54.01544	0.54446	0.59936	0.42328	0.69641	0.51132	0.50368	0.49616	0.64425	0.49846	0.02134	0.67168	0.28923	0.23798	Sex | Female	Weighted	0	LogisticRegression	RDKit
48.78553	8.14073	13.69553	4.53994	0.70948	0.78081	0.35802	0.857	0.56941	0.52872	0.49093	0.81713	0.56869	0.12128	0.85275	0.24497	0.23484	Age | Adolescent	Weighted	0	LogisticRegression	RDKit
223.82212	114.07314	149.64848	97.64633	0.54934	0.5993	0.46121	0.6624	0.53025	0.52574	0.52126	0.62927	0.52568	0.05886	0.64777	0.29337	0.20272	Age | Unknown	Weighted	0	LogisticRegression	RDKit
77.89138	53.72135	92.24969	56.6274	0.47959	0.4578	0.51317	0.59182	0.48549	0.4847	0.48391	0.51626	0.47841	-0.02841	0.5883	0.31241	0.26547	Age | Elderly	Weighted	0	LogisticRegression	RDKit
129.27744	58.67959	118.79083	57.05646	0.51218	0.52114	0.49299	0.6878	0.50706	0.50687	0.50667	0.59298	0.50397	0.01316	0.67544	0.30306	0.25927	Age | Adult	Weighted	0	LogisticRegression	RDKit
36.2185	11.00841	11.13078	3.92793	0.64455	0.76492	0.26298	0.7669	0.51395	0.44851	0.3914	0.76591	0.53525	0.02782	0.76101	0.2439	0.17659	Age | Children	Weighted	0	LogisticRegression	RDKit
62.21545	30.8155	54.01786	24.25406	0.50478	0.53526	0.44043	0.66876	0.48784	0.48553	0.48324	0.59461	0.48355	-0.02279	0.68408	0.31239	0.25903	Weight | High	Weighted	0	LogisticRegression	RDKit
86.43703	34.69464	60.49307	22.79402	0.53435	0.58829	0.3965	0.71358	0.49239	0.48296	0.47372	0.6449	0.4844	-0.01392	0.71118	0.29376	0.26846	Weight | Average	Weighted	0	LogisticRegression	RDKit
285.70893	151.77605	222.16579	155.48833	0.54125	0.56256	0.50604	0.65307	0.5343	0.53355	0.5328	0.60444	0.53357	0.06667	0.63007	0.28976	0.2023	Weight | Unknown	Weighted	0	LogisticRegression	RDKit
81.63356	28.33703	48.83859	17.26165	0.56168	0.62568	0.37856	0.74232	0.50212	0.48668	0.47171	0.67903	0.48718	0.00383	0.73352	0.29312	0.25586	Weight | Low	Weighted	0	LogisticRegression	RDKit
1822.0	1099.0	1286.0	1006.0	0.54249	0.58623	0.47791	0.62376	0.53207	0.52931	0.52656	0.60441	0.53608	0.0634	0.61384	0.29484	0.19777	Total | Total	Unweighted	0	LogisticRegression	RDKit
399.0	291.0	430.0	369.0	0.51578	0.4813	0.55909	0.57826	0.5202	0.51874	0.51729	0.52535	0.53023	0.04024	0.5858	0.30646	0.20481	Sex | Male	Unweighted	0	LogisticRegression	RDKit
807.0	476.0	474.0	377.0	0.55483	0.62998	0.44197	0.62899	0.53597	0.52767	0.51949	0.62949	0.53435	0.07197	0.61377	0.29091	0.18776	Sex | Unknown	Unweighted	0	LogisticRegression	RDKit
616.0	332.0	382.0	260.0	0.55094	0.61723	0.43919	0.64979	0.52821	0.52066	0.51321	0.63309	0.52771	0.05559	0.63343	0.28923	0.2051	Sex | Female	Unweighted	0	LogisticRegression	RDKit
156.0	51.0	54.0	26.0	0.63415	0.74286	0.33766	0.75362	0.54026	0.50083	0.46429	0.7482	0.54162	0.07957	0.74747	0.24497	0.18636	Age | Adolescent	Unweighted	0	LogisticRegression	RDKit
693.0	472.0	440.0	407.0	0.54672	0.61165	0.46303	0.59485	0.53734	0.53217	0.52706	0.60313	0.54052	0.07502	0.58549	0.29337	0.17725	Age | Unknown	Unweighted	0	LogisticRegression	RDKit
303.0	235.0	326.0	279.0	0.50919	0.48172	0.5428	0.5632	0.51226	0.51135	0.51044	0.51928	0.5184	0.02444	0.55911	0.31241	0.22552	Age | Elderly	Unweighted	0	LogisticRegression	RDKit
501.0	285.0	415.0	276.0	0.52607	0.54694	0.49198	0.6374	0.51946	0.51873	0.51801	0.58872	0.52015	0.03786	0.62841	0.30306	0.2232	Age | Adult	Unweighted	0	LogisticRegression	RDKit
169.0	56.0	51.0	18.0	0.63605	0.76818	0.24324	0.75111	0.50571	0.43227	0.36949	0.75955	0.50977	0.0117	0.73703	0.2439	0.18415	Age | Children	Unweighted	0	LogisticRegression	RDKit
298.0	176.0	246.0	148.0	0.51382	0.54779	0.45679	0.62869	0.50229	0.50023	0.49817	0.58546	0.50238	0.00445	0.63659	0.31239	0.23077	Weight | High	Unweighted	0	LogisticRegression	RDKit
387.0	194.0	260.0	135.0	0.53484	0.59815	0.41033	0.66609	0.50424	0.49542	0.48675	0.63029	0.50421	0.00817	0.66321	0.29376	0.23591	Weight | Average	Unweighted	0	LogisticRegression	RDKit
769.0	555.0	561.0	613.0	0.55324	0.5782	0.52483	0.58082	0.55151	0.55087	0.55022	0.5795	0.55703	0.10299	0.56121	0.28976	0.16805	Weight | Unknown	Unweighted	0	LogisticRegression	RDKit
368.0	174.0	219.0	110.0	0.54879	0.62692	0.38732	0.67897	0.50712	0.49277	0.47882	0.6519	0.50408	0.01377	0.67728	0.29312	0.22418	Weight | Low	Unweighted	0	LogisticRegression	RDKit
295.96505	161.65974	158.51794	157.20781	0.58599	0.65121	0.49302	0.64674	0.57212	0.56662	0.56118	0.64897	0.59646	0.14445	0.66422	0.27293	0.1243	Total | Total	Weighted	1	LogisticRegression	RDKit
101.0525	48.38039	38.94736	40.63869	0.61869	0.7218	0.45652	0.67624	0.58916	0.57403	0.5593	0.69828	0.62227	0.18254	0.71189	0.26395	0.11599	Sex | Female	Weighted	1	LogisticRegression	RDKit
138.47006	72.3898	63.14687	58.90975	0.59288	0.6868	0.44867	0.65669	0.56773	0.55511	0.54276	0.67141	0.58738	0.13739	0.66993	0.27649	0.12202	Sex | Unknown	Weighted	1	LogisticRegression	RDKit
56.44249	40.88955	56.42371	57.65937	0.53971	0.50008	0.58508	0.5799	0.54258	0.54092	0.53925	0.53704	0.56522	0.08524	0.57915	0.27736	0.14824	Sex | Male	Weighted	1	LogisticRegression	RDKit
14.94003	6.57021	4.14513	4.45025	0.64408	0.78281	0.40382	0.69455	0.59331	0.56224	0.53279	0.73605	0.68684	0.19905	0.82017	0.25744	0.16649	Age | Adolescent	Weighted	1	LogisticRegression	RDKit
79.61029	50.89186	38.26572	47.49585	0.58774	0.67537	0.48274	0.61003	0.57906	0.57099	0.56304	0.64104	0.60653	0.16095	0.63177	0.27393	0.10516	Age | Adult	Weighted	1	LogisticRegression	RDKit
136.3157	66.71308	69.89897	64.10975	0.59467	0.66104	0.49005	0.67141	0.57554	0.56916	0.56284	0.66618	0.59865	0.15045	0.68083	0.27586	0.12323	Age | Unknown	Weighted	1	LogisticRegression	RDKit
18.23084	7.28626	3.99521	0.7421	0.62711	0.82025	0.09243	0.71446	0.45634	0.27535	0.16615	0.7637	0.46305	-0.10609	0.75352	0.25421	0.20037	Age | Children	Weighted	1	LogisticRegression	RDKit
46.86819	30.19833	42.21291	40.40986	0.54655	0.52613	0.57231	0.60815	0.54922	0.54873	0.54825	0.56418	0.56949	0.09784	0.59252	0.27515	0.16922	Age | Elderly	Weighted	1	LogisticRegression	RDKit
39.86793	22.56047	17.70609	22.72167	0.60852	0.69246	0.50178	0.63862	0.59712	0.58946	0.5819	0.66445	0.65776	0.19742	0.70291	0.25949	0.09453	Weight | High	Weighted	1	LogisticRegression	RDKit
51.24117	21.67192	15.76745	17.42656	0.64715	0.7647	0.44571	0.70277	0.6052	0.58381	0.56317	0.73243	0.629	0.21891	0.7167	0.27321	0.0925	Weight | Low	Weighted	1	LogisticRegression	RDKit
54.23729	22.45638	19.08164	22.31956	0.64827	0.73974	0.49847	0.70719	0.61911	0.60724	0.5956	0.7231	0.65033	0.24222	0.73299	0.25413	0.09346	Weight | Average	Weighted	1	LogisticRegression	RDKit
150.61866	94.97097	105.96276	94.74002	0.54977	0.58702	0.49939	0.61329	0.54321	0.54144	0.53967	0.59987	0.55758	0.08587	0.62003	0.286	0.15559	Weight | Unknown	Weighted	1	LogisticRegression	RDKit
985.0	700.0	556.0	569.0	0.55302	0.6392	0.44838	0.58457	0.54379	0.53536	0.52705	0.61066	0.56612	0.08895	0.60602	0.27293	0.14683	Total | Total	Unweighted	1	LogisticRegression	RDKit
347.0	213.0	152.0	141.0	0.5721	0.69539	0.39831	0.61964	0.54685	0.52629	0.5065	0.65534	0.57653	0.09722	0.65831	0.26395	0.14319	Sex | Female	Unweighted	1	LogisticRegression	RDKit
427.0	311.0	200.0	212.0	0.55565	0.68102	0.40535	0.57859	0.54319	0.52541	0.50821	0.62564	0.55886	0.0897	0.5952	0.27649	0.1444	Sex | Unknown	Unweighted	1	LogisticRegression	RDKit
211.0	176.0	204.0	216.0	0.52912	0.50843	0.55102	0.54522	0.52973	0.5293	0.52887	0.52618	0.55715	0.05948	0.55758	0.27736	0.16051	Sex | Male	Unweighted	1	LogisticRegression	RDKit
65.0	40.0	16.0	17.0	0.5942	0.80247	0.29825	0.61905	0.55036	0.48922	0.43487	0.69892	0.66233	0.11626	0.76888	0.25744	0.21499	Age | Adolescent	Unweighted	1	LogisticRegression	RDKit
288.0	210.0	162.0	162.0	0.54745	0.64	0.43548	0.57831	0.53774	0.52793	0.5183	0.60759	0.56028	0.07689	0.60147	0.27393	0.14383	Age | Adult	Unweighted	1	LogisticRegression	RDKit
365.0	279.0	204.0	222.0	0.5486	0.64148	0.44311	0.56677	0.5423	0.53315	0.52416	0.60181	0.56019	0.08623	0.57688	0.27586	0.14335	Age | Unknown	Unweighted	1	LogisticRegression	RDKit
100.0	41.0	23.0	5.0	0.6213	0.81301	0.1087	0.70922	0.46085	0.29727	0.19175	0.75758	0.45475	-0.09373	0.73485	0.25421	0.21252	Age | Children	Unweighted	1	LogisticRegression	RDKit
167.0	130.0	151.0	163.0	0.5401	0.52516	0.55631	0.56229	0.54074	0.54051	0.54029	0.54309	0.56243	0.08143	0.54824	0.27515	0.16779	Age | Elderly	Unweighted	1	LogisticRegression	RDKit
172.0	127.0	80.0	86.0	0.55484	0.68254	0.40376	0.57525	0.54315	0.52496	0.50737	0.62432	0.59021	0.08974	0.64503	0.25949	0.13912	Weight | High	Unweighted	1	LogisticRegression	RDKit
221.0	129.0	82.0	74.0	0.583	0.72937	0.36453	0.63143	0.54695	0.51564	0.48611	0.67688	0.55289	0.09967	0.63392	0.27321	0.14021	Weight | Low	Unweighted	1	LogisticRegression	RDKit
240.0	131.0	100.0	91.0	0.58897	0.70588	0.40991	0.6469	0.5579	0.53791	0.51864	0.67511	0.57871	0.11951	0.67308	0.25413	0.13695	Weight | Average	Unweighted	1	LogisticRegression	RDKit
352.0	313.0	294.0	318.0	0.52467	0.54489	0.50396	0.52932	0.52443	0.52403	0.52363	0.53699	0.54102	0.04889	0.54371	0.286	0.17019	Weight | Unknown	Unweighted	1	LogisticRegression	RDKit
233.74069	139.37028	207.39525	129.88074	0.51186	0.52986	0.48238	0.62646	0.50612	0.50556	0.50501	0.57413	0.46934	0.01189	0.58865	0.29711	0.23134	Total | Total	Weighted	3	LogisticRegression	RDKit
117.59575	61.30662	84.13079	44.382	0.5269	0.58295	0.41993	0.65732	0.50144	0.49477	0.48819	0.6179	0.46425	0.00277	0.62069	0.28959	0.23664	Sex | Unknown	Weighted	3	LogisticRegression	RDKit
77.83663	39.58041	55.7944	27.29194	0.52432	0.58247	0.40812	0.66291	0.4953	0.48756	0.47995	0.62009	0.43626	-0.009	0.61213	0.30331	0.27448	Sex | Female	Weighted	3	LogisticRegression	RDKit
38.30831	38.48325	67.47006	58.2068	0.47669	0.36216	0.60199	0.49886	0.48208	0.46692	0.45224	0.41966	0.44828	-0.03691	0.49202	0.30116	0.21204	Sex | Male	Weighted	3	LogisticRegression	RDKit
32.63463	26.91218	57.47095	38.20554	0.45638	0.36218	0.58671	0.54805	0.47445	0.46097	0.44788	0.43614	0.41177	-0.05186	0.51862	0.32318	0.26193	Age | Elderly	Weighted	3	LogisticRegression	RDKit
113.02698	64.36441	83.81286	56.29537	0.5333	0.57421	0.46656	0.63716	0.52039	0.51759	0.51482	0.60405	0.47361	0.03986	0.58634	0.29473	0.22361	Age | Unknown	Weighted	3	LogisticRegression	RDKit
58.69135	39.96353	57.24943	31.65236	0.48169	0.50622	0.44197	0.59492	0.4741	0.47301	0.47192	0.54699	0.45162	-0.05041	0.57499	0.29901	0.24734	Age | Adult	Weighted	3	LogisticRegression	RDKit
13.36284	4.14889	3.68285	2.2014	0.66525	0.78394	0.34666	0.76308	0.5653	0.52131	0.48074	0.77337	0.55425	0.13386	0.77963	0.2332	0.14754	Age | Children	Weighted	3	LogisticRegression	RDKit
16.02489	3.98127	5.17916	1.52607	0.65706	0.75575	0.2771	0.801	0.51642	0.45762	0.40551	0.77771	0.53293	0.03064	0.84189	0.2395	0.20472	Age | Adolescent	Weighted	3	LogisticRegression	RDKit
120.75579	81.43554	124.83334	98.00814	0.5147	0.4917	0.54618	0.59724	0.51894	0.51822	0.51751	0.53935	0.48202	0.03746	0.5443	0.30371	0.22806	Weight | Unknown	Weighted	3	LogisticRegression	RDKit
46.05585	18.12008	24.20179	9.1189	0.56591	0.65553	0.33477	0.71765	0.49515	0.46846	0.44321	0.68518	0.47499	-0.00917	0.72038	0.2701	0.25066	Weight | Low	Weighted	3	LogisticRegression	RDKit
40.84305	19.76584	26.46129	11.23619	0.52976	0.60684	0.36243	0.67388	0.48464	0.46898	0.45382	0.63861	0.46043	-0.02936	0.67108	0.27921	0.21865	Weight | Average	Weighted	3	LogisticRegression	RDKit
26.086	20.04882	31.89883	11.51751	0.41991	0.44988	0.36487	0.56543	0.40737	0.40515	0.40294	0.50108	0.36264	-0.17709	0.58082	0.32667	0.27599	Weight | High	Weighted	3	LogisticRegression	RDKit
943.0	646.0	704.0	529.0	0.52162	0.57256	0.45021	0.59346	0.51138	0.50771	0.50407	0.58282	0.48993	0.02263	0.56388	0.29711	0.19211	Total | Total	Unweighted	3	LogisticRegression	RDKit
435.0	273.0	251.0	185.0	0.54196	0.63411	0.40393	0.61441	0.51902	0.5061	0.4935	0.6241	0.49346	0.03838	0.58302	0.28959	0.18984	Sex | Unknown	Unweighted	3	LogisticRegression	RDKit
319.0	193.0	207.0	115.0	0.52038	0.60646	0.37338	0.62305	0.48992	0.47586	0.4622	0.61464	0.44479	-0.01998	0.57584	0.30331	0.24169	Sex | Female	Unweighted	3	LogisticRegression	RDKit
189.0	180.0	246.0	229.0	0.49526	0.43448	0.5599	0.5122	0.49719	0.49322	0.48928	0.47015	0.48959	-0.00566	0.51506	0.30116	0.18041	Sex | Male	Unweighted	3	LogisticRegression	RDKit
162.0	133.0	205.0	152.0	0.4816	0.44142	0.53333	0.54915	0.48738	0.4852	0.48304	0.48943	0.45423	-0.02516	0.52179	0.32318	0.21627	Age | Elderly	Unweighted	3	LogisticRegression	RDKit
385.0	279.0	236.0	211.0	0.53645	0.61997	0.43061	0.57982	0.52529	0.51669	0.50823	0.59922	0.49435	0.05121	0.54168	0.29473	0.18001	Age | Unknown	Unweighted	3	LogisticRegression	RDKit
260.0	182.0	213.0	142.0	0.50439	0.54968	0.43827	0.58824	0.49398	0.49083	0.4877	0.56831	0.48019	-0.0119	0.56617	0.29901	0.21408	Age | Adult	Unweighted	3	LogisticRegression	RDKit
66.0	26.0	19.0	14.0	0.64	0.77647	0.35	0.71739	0.56324	0.52131	0.48251	0.74576	0.55382	0.13384	0.73352	0.2332	0.14068	Age | Children	Unweighted	3	LogisticRegression	RDKit
70.0	26.0	31.0	10.0	0.58394	0.69307	0.27778	0.72917	0.48542	0.43877	0.3966	0.71066	0.50358	-0.02802	0.78109	0.2395	0.20504	Age | Adolescent	Unweighted	3	LogisticRegression	RDKit
341.0	310.0	331.0	337.0	0.51403	0.50744	0.52087	0.52381	0.51415	0.51411	0.51407	0.5155	0.49336	0.0283	0.47901	0.30371	0.19162	Weight | Unknown	Unweighted	3	LogisticRegression	RDKit
233.0	105.0	109.0	57.0	0.5754	0.68129	0.35185	0.68935	0.51657	0.4896	0.46405	0.68529	0.50137	0.03293	0.68898	0.2701	0.21993	Weight | Low	Unweighted	3	LogisticRegression	RDKit
222.0	115.0	116.0	66.0	0.55491	0.6568	0.36464	0.65875	0.51072	0.48939	0.46894	0.65778	0.50386	0.02142	0.66012	0.27921	0.17466	Weight | Average	Unweighted	3	LogisticRegression	RDKit
147.0	116.0	148.0	69.0	0.45	0.49831	0.37297	0.55894	0.43564	0.43111	0.42662	0.52688	0.40379	-0.12588	0.57054	0.32667	0.23572	Weight | High	Unweighted	3	LogisticRegression	RDKit
294.66487	183.28114	133.32158	97.95801	0.55359	0.68849	0.34831	0.61652	0.5184	0.4897	0.46259	0.65052	0.51988	0.0384	0.61747	0.30486	0.19664	Total | Total	Weighted	4	LogisticRegression	RDKit
137.44744	77.49194	52.00756	34.6141	0.57057	0.72549	0.30876	0.63947	0.51713	0.47329	0.43317	0.67977	0.50653	0.03658	0.6352	0.30508	0.20344	Sex | Unknown	Weighted	4	LogisticRegression	RDKit
