TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
542.88891	238.82299	358.62137	226.59829	0.56293	0.6022	0.48687	0.69449	0.54453	0.54147	0.53843	0.64506	0.55966	0.0853	0.70466	0.24563	0.1403	Total | Total	Weighted	0	RandomForestClassifier	Morgan
98.15848	46.94688	124.23375	100.12825	0.53668	0.44138	0.6808	0.67646	0.56109	0.54817	0.53555	0.5342	0.55447	0.12246	0.63959	0.25246	0.13236	Sex | Male	Weighted	0	RandomForestClassifier	Morgan
183.80778	78.41266	97.87448	49.19966	0.56929	0.65254	0.38554	0.70097	0.51904	0.50158	0.4847	0.67588	0.53923	0.03676	0.72547	0.24246	0.15094	Sex | Female	Weighted	0	RandomForestClassifier	Morgan
260.92265	113.46345	136.51314	77.27038	0.57499	0.65652	0.40512	0.69693	0.53082	0.51572	0.50105	0.67612	0.555	0.05998	0.71987	0.24322	0.139	Sex | Unknown	Weighted	0	RandomForestClassifier	Morgan
45.58089	5.09596	16.90017	7.58471	0.70735	0.72952	0.59813	0.89944	0.66382	0.66057	0.65732	0.80562	0.67487	0.26182	0.88784	0.23402	0.29901	Age | Adolescent	Weighted	0	RandomForestClassifier	Morgan
76.83609	42.42477	93.30498	67.92398	0.5161	0.4516	0.61554	0.64427	0.53357	0.52724	0.52098	0.531	0.52357	0.06635	0.64805	0.2525	0.12567	Age | Elderly	Weighted	0	RandomForestClassifier	Morgan
233.11302	117.85451	140.35758	93.86496	0.55876	0.62418	0.44335	0.6642	0.53376	0.52605	0.51845	0.64357	0.55507	0.06623	0.68365	0.2456	0.11032	Age | Unknown	Weighted	0	RandomForestClassifier	Morgan
147.59843	62.0954	100.46984	53.64065	0.55315	0.59499	0.46347	0.70388	0.52923	0.52513	0.52106	0.64487	0.54398	0.05511	0.71653	0.24739	0.16092	Age | Adult	Weighted	0	RandomForestClassifier	Morgan
39.76048	11.35235	7.5888	3.58399	0.6959	0.83973	0.23995	0.7779	0.53984	0.44888	0.37325	0.80763	0.56683	0.08867	0.78533	0.22158	0.19663	Age | Children	Weighted	0	RandomForestClassifier	Morgan
91.52036	34.27734	55.40974	23.21132	0.56126	0.62288	0.40375	0.72752	0.51332	0.50149	0.48993	0.67115	0.53702	0.02462	0.73612	0.2445	0.20082	Weight | Average	Weighted	0	RandomForestClassifier	Morgan
62.59137	28.52611	53.64194	26.54345	0.52033	0.5385	0.482	0.68693	0.51025	0.50947	0.50868	0.60372	0.52966	0.01918	0.72104	0.24877	0.16988	Weight | High	Weighted	0	RandomForestClassifier	Morgan
81.7471	26.08991	48.72505	19.50877	0.57509	0.62655	0.42784	0.75806	0.52719	0.51775	0.50847	0.68606	0.53485	0.0489	0.76283	0.24475	0.21135	Weight | Low	Weighted	0	RandomForestClassifier	Morgan
307.03008	149.92963	200.84464	157.33475	0.56968	0.60454	0.51205	0.6719	0.55829	0.55638	0.55446	0.63644	0.57168	0.11384	0.68406	0.24528	0.10538	Weight | Unknown	Weighted	0	RandomForestClassifier	Morgan
1877.0	1070.0	1231.0	1035.0	0.5586	0.60393	0.49169	0.63692	0.54781	0.54492	0.54206	0.61998	0.56542	0.09464	0.65005	0.24563	0.08018	Total | Total	Unweighted	0	RandomForestClassifier	Morgan
368.0	210.0	461.0	450.0	0.54936	0.44391	0.68182	0.63668	0.56286	0.55015	0.53772	0.5231	0.56579	0.12816	0.60769	0.25246	0.08296	Sex | Male	Unweighted	0	RandomForestClassifier	Morgan
657.0	354.0	341.0	238.0	0.56289	0.65832	0.40203	0.64985	0.53017	0.51445	0.4992	0.65406	0.55305	0.06062	0.67291	0.24246	0.09646	Sex | Female	Unweighted	0	RandomForestClassifier	Morgan
852.0	506.0	429.0	347.0	0.56186	0.66511	0.4068	0.62739	0.53595	0.52016	0.50483	0.6457	0.56095	0.07322	0.65666	0.24322	0.06612	Sex | Unknown	Unweighted	0	RandomForestClassifier	Morgan
143.0	34.0	67.0	43.0	0.64808	0.68095	0.55844	0.80791	0.6197	0.61666	0.61364	0.73902	0.61707	0.21817	0.7895	0.23402	0.22077	Age | Adolescent	Unweighted	0	RandomForestClassifier	Morgan
