Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 325 | max_depth: 8 | learning_rate: 0.01074926 | max_leaves: 1 | subsample: 0.8811258 | colsample_bytree: 0.9857548 | gamma: 3.276719 | reg_alpha: 3.413705 | reg_lambda: 2.836229	0.0	0	0	XGBClassifier	ChemBERTa
n_estimators: 350 | max_depth: 2 | learning_rate: 0.08023719 | max_leaves: 0 | subsample: 0.5880302 | colsample_bytree: 0.9846362 | gamma: 0.3777486 | reg_alpha: 3.048611 | reg_lambda: 4.004479	0.46384	1	0	XGBClassifier	ChemBERTa
n_estimators: 650 | max_depth: 10 | learning_rate: 0.01200134 | max_leaves: 8 | subsample: 0.6692874 | colsample_bytree: 0.9971047 | gamma: 1.303784 | reg_alpha: 4.974749 | reg_lambda: 3.689195	0.42772	2	0	XGBClassifier	ChemBERTa
n_estimators: 275 | max_depth: 9 | learning_rate: 0.01674731 | max_leaves: 6 | subsample: 0.956702 | colsample_bytree: 0.8069643 | gamma: 3.877438 | reg_alpha: 0.9605651 | reg_lambda: 4.017767	0.39475	3	0	XGBClassifier	ChemBERTa
n_estimators: 975 | max_depth: 6 | learning_rate: 0.01515135 | max_leaves: 1 | subsample: 0.5579055 | colsample_bytree: 0.8366577 | gamma: 0.9269884 | reg_alpha: 1.977745 | reg_lambda: 4.33136	0.0	4	0	XGBClassifier	ChemBERTa
n_estimators: 200 | max_depth: 2 | learning_rate: 0.0132892 | max_leaves: 8 | subsample: 0.6072062 | colsample_bytree: 0.5599984 | gamma: 3.261772 | reg_alpha: 3.14163 | reg_lambda: 1.02027	0.24187	5	0	XGBClassifier	ChemBERTa
n_estimators: 475 | max_depth: 5 | learning_rate: 0.03426847 | max_leaves: 4 | subsample: 0.732917 | colsample_bytree: 0.9675971 | gamma: 1.227512 | reg_alpha: 0.821991 | reg_lambda: 2.265771	0.45858	6	0	XGBClassifier	ChemBERTa
n_estimators: 975 | max_depth: 7 | learning_rate: 0.04497858 | max_leaves: 7 | subsample: 0.7795553 | colsample_bytree: 0.9499616 | gamma: 0.6350508 | reg_alpha: 1.054795 | reg_lambda: 0.9522695	0.50213	7	0	XGBClassifier	ChemBERTa
n_estimators: 775 | max_depth: 9 | learning_rate: 0.02741495 | max_leaves: 6 | subsample: 0.8378349 | colsample_bytree: 0.772329 | gamma: 1.278868 | reg_alpha: 0.3570445 | reg_lambda: 4.552853	0.4791	8	0	XGBClassifier	ChemBERTa
n_estimators: 575 | max_depth: 9 | learning_rate: 0.006189624 | max_leaves: 7 | subsample: 0.7126637 | colsample_bytree: 0.7332484 | gamma: 1.051511 | reg_alpha: 0.9667065 | reg_lambda: 3.959565	0.35182	9	0	XGBClassifier	ChemBERTa
n_estimators: 1000 | max_depth: 12 | learning_rate: 0.06196581 | max_leaves: 12 | subsample: 0.8143285 | colsample_bytree: 0.6391043 | gamma: 4.956739 | reg_alpha: 1.913971 | reg_lambda: 0.05621431	0.42801	10	0	XGBClassifier	ChemBERTa
n_estimators: 800 | max_depth: 5 | learning_rate: 0.03359567 | max_leaves: 11 | subsample: 0.8252402 | colsample_bytree: 0.8814352 | gamma: 2.064842 | reg_alpha: 0.1448981 | reg_lambda: 4.963812	0.48036	11	0	XGBClassifier	ChemBERTa
n_estimators: 825 | max_depth: 4 | learning_rate: 0.04535205 | max_leaves: 12 | subsample: 0.9332304 | colsample_bytree: 0.886042 | gamma: 2.210424 | reg_alpha: 0.02542992 | reg_lambda: 1.64481	0.4923	12	0	XGBClassifier	ChemBERTa
n_estimators: 825 | max_depth: 4 | learning_rate: 0.05170356 | max_leaves: 10 | subsample: 0.9862113 | colsample_bytree: 0.8848482 | gamma: 0.05297881 | reg_alpha: 1.702598 | reg_lambda: 1.44542	0.49724	13	0	XGBClassifier	ChemBERTa
n_estimators: 900 | max_depth: 7 | learning_rate: 0.09226293 | max_leaves: 10 | subsample: 0.9989091 | colsample_bytree: 0.8957383 | gamma: 0.1776154 | reg_alpha: 1.816311 | reg_lambda: 0.5291419	0.47542	14	0	XGBClassifier	ChemBERTa
n_estimators: 700 | max_depth: 3 | learning_rate: 0.04886267 | max_leaves: 9 | subsample: 0.8992724 | colsample_bytree: 0.7182879 | gamma: 0.1384742 | reg_alpha: 1.505976 | reg_lambda: 1.401528	0.49139	15	0	XGBClassifier	ChemBERTa
n_estimators: 900 | max_depth: 6 | learning_rate: 0.06155446 | max_leaves: 4 | subsample: 0.7805424 | colsample_bytree: 0.9216667 | gamma: 0.6193507 | reg_alpha: 2.519805 | reg_lambda: 2.210608	0.48705	16	0	XGBClassifier	ChemBERTa
n_estimators: 500 | max_depth: 4 | learning_rate: 0.02223583 | max_leaves: 4 | subsample: 0.5191439 | colsample_bytree: 0.8306873 | gamma: 1.796478 | reg_alpha: 4.305803 | reg_lambda: 0.8403235	0.39984	17	0	XGBClassifier	ChemBERTa
n_estimators: 900 | max_depth: 12 | learning_rate: 0.04135057 | max_leaves: 10 | subsample: 0.6670844 | colsample_bytree: 0.6797757 | gamma: 2.942111 | reg_alpha: 1.357611 | reg_lambda: 1.601836	0.4559	18	0	XGBClassifier	ChemBERTa
n_estimators: 625 | max_depth: 7 | learning_rate: 0.064946 | max_leaves: 9 | subsample: 0.9943918 | colsample_bytree: 0.9269738 | gamma: 1.702463 | reg_alpha: 2.398271 | reg_lambda: 3.018032	0.47827	19	0	XGBClassifier	ChemBERTa
