TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
547.8017	233.22163	353.70858	232.19965	0.57062	0.60765	0.4989	0.70139	0.55328	0.5506	0.54793	0.65116	0.56905	0.10203	0.71814	0.25753	0.15502	Total | Total	Weighted	0	XGBClassifier	Klek
192.04382	76.5056	89.63844	51.10672	0.59407	0.68177	0.40048	0.71512	0.54113	0.52253	0.50457	0.69805	0.56595	0.08022	0.74208	0.24758	0.15086	Sex | Female	Weighted	0	XGBClassifier	Klek
82.84544	44.50593	139.54679	102.5692	0.50184	0.37252	0.69739	0.65053	0.53496	0.5097	0.48563	0.47375	0.52707	0.07201	0.64257	0.27442	0.17704	Sex | Male	Weighted	0	XGBClassifier	Klek
272.91244	112.2101	124.52335	78.52373	0.59751	0.68668	0.41169	0.70864	0.54919	0.5317	0.51476	0.69749	0.56557	0.09686	0.72936	0.25315	0.14583	Sex | Unknown	Weighted	0	XGBClassifier	Klek
51.51602	7.18866	10.96504	5.49201	0.75847	0.82451	0.4331	0.87755	0.6288	0.59757	0.56789	0.8502	0.67896	0.23329	0.90329	0.20559	0.18157	Age | Adolescent	Weighted	0	XGBClassifier	Klek
43.01289	12.88545	4.33639	2.05089	0.7235	0.90842	0.13731	0.76948	0.52286	0.35318	0.23856	0.8332	0.61994	0.06435	0.82483	0.19887	0.09568	Age | Children	Weighted	0	XGBClassifier	Klek
56.90285	36.11988	113.23822	74.22887	0.46751	0.33445	0.67268	0.61171	0.50356	0.47431	0.44676	0.43245	0.49095	0.00739	0.61215	0.2765	0.201	Age | Elderly	Weighted	0	XGBClassifier	Klek
149.1409	56.27789	98.92737	59.45816	0.57338	0.60121	0.51374	0.72603	0.55747	0.55576	0.55404	0.65775	0.56125	0.10798	0.7281	0.2622	0.17841	Age | Adult	Weighted	0	XGBClassifier	Klek
247.22904	120.74975	126.24156	90.96972	0.57793	0.66198	0.42967	0.67186	0.54582	0.53332	0.52111	0.66688	0.5658	0.09115	0.69001	0.2593	0.13024	Age | Unknown	Weighted	0	XGBClassifier	Klek
92.28035	31.5411	54.64975	25.94756	0.57836	0.62806	0.45135	0.74527	0.5397	0.53242	0.52524	0.68166	0.53448	0.07305	0.73604	0.25653	0.19543	Weight | Average	Weighted	0	XGBClassifier	Klek
92.93106	30.89294	37.54109	14.70574	0.61133	0.71227	0.3225	0.75051	0.51739	0.47928	0.44398	0.73089	0.54516	0.03334	0.77119	0.24269	0.16563	Weight | Low	Weighted	0	XGBClassifier	Klek
60.45878	24.82733	55.77453	30.24223	0.52948	0.52015	0.54916	0.70889	0.53466	0.53446	0.53426	0.60003	0.53725	0.06475	0.72807	0.27282	0.19415	Weight | High	Weighted	0	XGBClassifier	Klek
302.13151	145.96026	205.74321	161.30412	0.56854	0.59489	0.52497	0.67426	0.55993	0.55884	0.55775	0.6321	0.57873	0.11675	0.69977	0.25778	0.13664	Weight | Unknown	Weighted	0	XGBClassifier	Klek
1920.0	1093.0	1188.0	1012.0	0.56244	0.61776	0.48076	0.63724	0.54926	0.54497	0.54072	0.62735	0.56696	0.09788	0.658	0.25753	0.11669	Total | Total	Unweighted	0	XGBClassifier	Klek
695.0	362.0	303.0	230.0	0.58176	0.69639	0.38851	0.65752	0.54245	0.52015	0.49877	0.6764	0.56548	0.08695	0.68571	0.24758	0.11614	Sex | Female	Unweighted	0	XGBClassifier	Klek
329.0	212.0	500.0	448.0	0.52183	0.39686	0.67879	0.60813	0.53783	0.51902	0.50088	0.48029	0.54349	0.07814	0.60634	0.27442	0.13902	Sex | Male	Unweighted	0	XGBClassifier	Klek
896.0	519.0	385.0	334.0	0.57638	0.69945	0.39156	0.63322	0.54551	0.52333	0.50206	0.66469	0.56548	0.09432	0.66104	0.25315	0.1059	Sex | Unknown	Unweighted	0	XGBClassifier	Klek
