TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
566.81126	229.39334	334.69902	236.02794	0.58733	0.62874	0.50713	0.71189	0.56793	0.56467	0.56142	0.66773	0.57331	0.13055	0.70575	0.26002	0.13992	Total | Total	Weighted	0	XGBClassifier	RDKit
287.18495	111.06875	110.25084	79.66508	0.62371	0.72259	0.41768	0.72111	0.57014	0.54937	0.52937	0.72185	0.57788	0.14043	0.71762	0.25626	0.11853	Sex | Unknown	Weighted	0	XGBClassifier	RDKit
77.68966	36.37021	144.70257	110.70492	0.50991	0.34934	0.75271	0.68113	0.55102	0.51279	0.4772	0.46182	0.53802	0.10813	0.63395	0.27478	0.19811	Sex | Male	Weighted	0	XGBClassifier	RDKit
201.93665	81.95438	79.74561	45.65794	0.60493	0.7169	0.35779	0.71132	0.53734	0.50645	0.47734	0.7141	0.55814	0.07504	0.72469	0.25124	0.11815	Sex | Female	Weighted	0	XGBClassifier	RDKit
155.99585	53.93899	92.07242	61.79706	0.59865	0.62884	0.53395	0.74307	0.5814	0.57946	0.57752	0.6812	0.56921	0.15347	0.71555	0.25789	0.16998	Age | Adult	Weighted	0	XGBClassifier	RDKit
272.03192	128.90057	101.43868	82.8189	0.60639	0.72839	0.39117	0.6785	0.55978	0.53378	0.509	0.70256	0.58063	0.1237	0.68045	0.26258	0.09718	Age | Unknown	Weighted	0	XGBClassifier	RDKit
47.91572	7.55192	14.56534	5.12875	0.70574	0.76688	0.40445	0.86385	0.58567	0.55693	0.5296	0.81248	0.61165	0.14592	0.87058	0.22007	0.21205	Age | Adolescent	Weighted	0	XGBClassifier	RDKit
42.75046	11.35789	4.59882	3.57845	0.74381	0.90287	0.23958	0.79009	0.57123	0.46509	0.37868	0.84273	0.64852	0.1801	0.8236	0.19191	0.10846	Age | Children	Weighted	0	XGBClassifier	RDKit
48.11731	27.64397	122.02376	82.70478	0.46641	0.28281	0.74949	0.63512	0.51615	0.46039	0.41066	0.39135	0.47201	0.03553	0.61352	0.28582	0.21542	Age | Elderly	Weighted	0	XGBClassifier	RDKit
103.31905	31.72662	43.61105	25.76204	0.63145	0.70319	0.44812	0.76507	0.57565	0.56135	0.5474	0.73282	0.56613	0.14367	0.73819	0.2447	0.17182	Weight | Average	Weighted	0	XGBClassifier	RDKit
