TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
252.63557	311.73256	340.26735	517.62766	0.54158	0.4261	0.62413	0.44764	0.52511	0.51569	0.50644	0.43661	0.54687	0.05062	0.45894	0.30014	0.15546	Total | Total	Weighted	0	LogisticRegression	ChemBERTa
109.0011	132.2827	144.86219	228.36455	0.549	0.42937	0.63321	0.45175	0.53129	0.52142	0.51174	0.44028	0.54464	0.0631	0.45529	0.30114	0.16195	Sex | Unknown	Weighted	0	LogisticRegression	ChemBERTa
92.66848	96.30822	93.25423	124.23844	0.53364	0.49842	0.56332	0.49037	0.53087	0.52988	0.52889	0.49436	0.5735	0.06167	0.51826	0.28411	0.15814	Sex | Female	Weighted	0	LogisticRegression	ChemBERTa
50.96599	83.14164	102.15093	165.02467	0.53825	0.33286	0.66498	0.38004	0.49892	0.47047	0.44364	0.35489	0.50592	-0.00223	0.38803	0.31589	0.1751	Sex | Male	Weighted	0	LogisticRegression	ChemBERTa
19.80271	10.31527	12.85811	11.63298	0.57565	0.60631	0.53002	0.6575	0.56817	0.56688	0.5656	0.63087	0.57459	0.1344	0.66228	0.25436	0.15387	Age | Adolescent	Weighted	0	LogisticRegression	ChemBERTa
74.11119	79.48809	97.60858	112.28638	0.51279	0.43158	0.58551	0.4825	0.50855	0.50269	0.4969	0.45562	0.51696	0.01728	0.49247	0.3111	0.17768	Age | Adult	Weighted	0	LogisticRegression	ChemBERTa
44.91533	70.02794	76.61018	114.8547	0.52143	0.3696	0.62123	0.39076	0.49541	0.47917	0.46346	0.37988	0.52116	-0.00927	0.4119	0.31447	0.17566	Age | Elderly	Weighted	0	LogisticRegression	ChemBERTa
20.87673	17.64468	9.21856	11.10254	0.54347	0.69369	0.38621	0.54195	0.53995	0.5176	0.49618	0.6085	0.56479	0.084	0.54781	0.24845	0.13755	Age | Children	Weighted	0	LogisticRegression	ChemBERTa
92.92961	134.25658	143.97192	267.75106	0.56453	0.39227	0.66603	0.40905	0.52915	0.51114	0.49374	0.40048	0.5524	0.05883	0.42197	0.29808	0.15621	Age | Unknown	Weighted	0	LogisticRegression	ChemBERTa
53.5912	30.87693	37.02312	35.86721	0.5685	0.59142	0.53738	0.63445	0.5644	0.56376	0.56311	0.61218	0.55788	0.12766	0.60926	0.28803	0.1592	Weight | Low	Weighted	0	LogisticRegression	ChemBERTa
38.55661	31.99165	43.81411	58.26009	0.56086	0.46809	0.64553	0.54653	0.55681	0.54969	0.54267	0.50428	0.58675	0.11544	0.53994	0.2922	0.12667	Weight | High	Weighted	0	LogisticRegression	ChemBERTa
54.95446	44.09895	44.21398	51.26375	0.54602	0.55415	0.53757	0.5548	0.54586	0.5458	0.54573	0.55447	0.54727	0.09172	0.54194	0.30156	0.18098	Weight | Average	Weighted	0	LogisticRegression	ChemBERTa
105.5333	204.76503	215.21614	372.23661	0.53219	0.32902	0.64512	0.3401	0.48707	0.46072	0.43579	0.33447	0.50969	-0.02605	0.37992	0.30656	0.1818	Weight | Unknown	Weighted	0	LogisticRegression	ChemBERTa
1384.0	874.0	1676.0	1272.0	0.51018	0.45229	0.59273	0.61293	0.52251	0.51777	0.51307	0.5205	0.53086	0.04471	0.6071	0.30014	0.21366	Total | Total	Unweighted	0	LogisticRegression	ChemBERTa
566.0	355.0	682.0	530.0	0.51383	0.45353	0.59887	0.61455	0.5262	0.52116	0.51616	0.5219	0.52863	0.05212	0.6052	0.30114	0.21181	Sex | Unknown	Unweighted	0	LogisticRegression	ChemBERTa
518.0	282.0	472.0	317.0	0.52549	0.52323	0.52922	0.6475	0.52622	0.52622	0.52621	0.57877	0.5457	0.05084	0.6493	0.28411	0.20245	Sex | Female	Unweighted	0	LogisticRegression	ChemBERTa
300.0	237.0	522.0	425.0	0.48854	0.36496	0.64199	0.55866	0.50348	0.48405	0.46537	0.4415	0.50352	0.0072	0.55123	0.31589	0.23282	Sex | Male	Unweighted	0	LogisticRegression	ChemBERTa
132.0	41.0	78.0	36.0	0.58537	0.62857	0.46753	0.76301	0.54805	0.5421	0.53622	0.6893	0.54997	0.08702	0.76603	0.25436	0.19885	Age | Adolescent	Unweighted	0	LogisticRegression	ChemBERTa
412.0	249.0	499.0	313.0	0.49219	0.45225	0.55694	0.6233	0.50459	0.50187	0.49916	0.52417	0.49936	0.00898	0.61729	0.3111	0.24063	Age | Adult	Unweighted	0	LogisticRegression	ChemBERTa
237.0	203.0	390.0	312.0	0.48074	0.37799	0.60583	0.53864	0.49191	0.47854	0.46553	0.44424	0.49908	-0.01655	0.53984	0.31447	0.22782	Age | Elderly	Unweighted	0	LogisticRegression	ChemBERTa
155.0	48.0	65.0	26.0	0.61565	0.70455	0.35135	0.76355	0.52795	0.49754	0.46888	0.73286	0.52082	0.05247	0.74478	0.24845	0.21766	Age | Children	Unweighted	0	LogisticRegression	ChemBERTa
448.0	333.0	644.0	585.0	0.51393	0.41026	0.63725	0.57362	0.52376	0.51131	0.49916	0.47838	0.53707	0.04855	0.56997	0.29808	0.20061	Age | Unknown	Unweighted	0	LogisticRegression	ChemBERTa
331.0	142.0	254.0	142.0	0.5443	0.56581	0.5	0.69979	0.53291	0.53189	0.53087	0.62571	0.51448	0.06198	0.66809	0.28803	0.22226	Weight | Low	Unweighted	0	LogisticRegression	ChemBERTa
245.0	116.0	297.0	208.0	0.52309	0.45203	0.64198	0.67867	0.547	0.53869	0.53051	0.54264	0.56237	0.09226	0.65784	0.2922	0.22015	Weight | High	Unweighted	0	LogisticRegression	ChemBERTa
340.0	172.0	304.0	157.0	0.51079	0.52795	0.4772	0.66406	0.50258	0.50194	0.5013	0.58824	0.48796	0.00488	0.64754	0.30156	0.24276	Weight | Average	Unweighted	0	LogisticRegression	ChemBERTa
468.0	444.0	821.0	765.0	0.49359	0.36307	0.63275	0.51316	0.49791	0.47931	0.4614	0.42526	0.51024	-0.00433	0.53389	0.30656	0.21231	Weight | Unknown	Unweighted	0	LogisticRegression	ChemBERTa
158.84322	233.89791	144.38141	347.5035	0.57239	0.52385	0.5977	0.40445	0.56077	0.55956	0.55834	0.45647	0.5851	0.11611	0.43967	0.28634	0.1994	Total | Total	Weighted	1	LogisticRegression	ChemBERTa
58.17735	74.67139	36.46347	82.03535	0.55784	0.61472	0.5235	0.43792	0.56911	0.56728	0.56545	0.51147	0.59316	0.13415	0.48055	0.27253	0.19398	Sex | Female	Weighted	1	LogisticRegression	ChemBERTa
33.73398	55.55461	46.59544	112.96784	0.58951	0.41995	0.67034	0.37781	0.54514	0.53057	0.51639	0.39776	0.57135	0.08801	0.41218	0.29552	0.19265	Sex | Male	Weighted	1	LogisticRegression	ChemBERTa
66.93189	103.67191	61.3225	152.50031	0.5708	0.52187	0.5953	0.39232	0.55859	0.55738	0.55617	0.44792	0.57689	0.1112	0.4251	0.29015	0.20894	Sex | Unknown	Weighted	1	LogisticRegression	ChemBERTa
12.90224	4.91418	3.92384	10.21559	0.72343	0.7668	0.6752	0.72418	0.721	0.71954	0.71809	0.74488	0.76408	0.44433	0.78326	0.2019	0.09543	Age | Children	Weighted	1	LogisticRegression	ChemBERTa
9.19644	9.50731	3.28506	11.0968	0.61336	0.73681	0.53857	0.49169	0.63769	0.62994	0.62228	0.58979	0.69332	0.26926	0.57434	0.22809	0.24345	Age | Adolescent	Weighted	1	LogisticRegression	ChemBERTa
48.96886	76.01367	36.11921	87.21674	0.54843	0.57551	0.53432	0.39181	0.55491	0.55453	0.55415	0.46621	0.57345	0.10425	0.43105	0.29006	0.22579	Age | Adult	Weighted	1	LogisticRegression	ChemBERTa
29.33447	53.68266	33.40608	66.67416	0.52436	0.46755	0.55397	0.35335	0.51076	0.50893	0.50711	0.40251	0.5437	0.02052	0.39153	0.29717	0.21235	Age | Elderly	Weighted	1	LogisticRegression	ChemBERTa
58.44121	89.78009	67.64722	172.30021	0.59444	0.46349	0.65743	0.39428	0.56046	0.55201	0.54369	0.4261	0.5767	0.11656	0.41211	0.29815	0.19505	Age | Unknown	Weighted	1	LogisticRegression	ChemBERTa
34.66163	40.42181	13.27211	27.14616	0.53512	0.72312	0.40176	0.46164	0.56244	0.539	0.51654	0.56353	0.547	0.12901	0.45793	0.28151	0.23499	Weight | Low	Weighted	1	LogisticRegression	ChemBERTa
