Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: sag:None | C: 0.006162026	0.51455	0	0	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 4.627088	0.51638	1	0	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.2420732	0.52302	2	0	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.001838278	0.01745	3	0	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.001911687	0.51375	4	0	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 0.04340079	0.47137	5	0	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 0.2515217	0.49682	6	0	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 0.3000555	0.49682	7	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.0119869	0.51246	8	0	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.05758593	0.5144	9	0	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 5.265369	0.51625	10	0	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 6.828296	0.508	11	0	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 1.409917	0.52276	12	0	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.6853322	0.52276	13	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 1.161103	0.5253	14	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 1.192194	0.52494	15	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 1.383635	0.52589	16	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 2.37967	0.52185	17	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.5700651	0.52876	18	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.08676989	0.50223	19	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 0.441287 | l1_ratio: 0.4592648	0.52338	20	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 1.922295	0.52466	21	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.73647	0.52788	22	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.1455829	0.5146	23	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.7339254	0.52829	24	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.5861969	0.52818	25	0	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.03338589	0.45314	26	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.1326623	0.51157	27	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 2.97341	0.49682	28	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.5180594	0.52931	29	0	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 8.93718	0.50755	30	0	LogisticRegression	Morgan
