Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: lbfgs:l2 | C: 4.193265	0.50083	0	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.00116948	0.4981	1	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 1.025806	0.50106	2	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.004245114	0.50778	3	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.1531577	0.32024	4	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.6825539	0.31143	5	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.003217436 | l1_ratio: 0.007558861	0.23699	6	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.002767691	0.33618	7	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 1.090105	0.49642	8	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.4055435	0.49974	9	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.02441943	0.50842	10	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.01592049	0.501	11	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.02637443	0.51244	12	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.05414039	0.46243	13	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.023232	0.5127	14	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.01586509	0.30768	15	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.1008896	0.29881	16	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.008224895	0.07246	17	0	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.04412239	0.32451	18	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.2722983	0.50752	19	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 8.311034	0.50182	20	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.03221667	0.50557	21	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.0220039	0.50787	22	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.008280273	0.51435	23	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.008276906	0.5115	24	0	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.007176538	0.32622	25	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.07531652	0.49839	26	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.001071765 | l1_ratio: 0.9806564	0.0	27	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.01130645	0.12958	28	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.1567646	0.30805	29	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.002096159	0.2281	30	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.005567399	0.5002	31	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.01085801	0.07681	32	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.001884606	0.51133	33	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.04031541	0.45549	34	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.004526081	0.25502	35	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.01946495	0.49809	36	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.01003545	0.50958	37	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.00518454	0.38031	38	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 0.1021194	0.47871	39	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.003351605	0.50134	40	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.002985183	0.49632	41	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.002081741	0.49582	42	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.00187433	0.28527	43	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.001375557	0.51232	44	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.01418967	0.51899	45	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.02910996	0.50205	46	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.06152441	0.5024	47	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.01540778	0.51291	48	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.01443386	0.50642	49	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.03234756	0.50194	50	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.01515956	0.50989	51	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.02089115	0.50384	52	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.00624528	0.5075	53	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.155218	0.4773	54	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.001280373	0.50933	55	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.04653451	0.30847	56	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.01251142 | l1_ratio: 0.5043679	0.17363	57	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.06904159	0.25871	58	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 1.017292	0.50843	59	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.00877925	0.50823	60	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.02432573	0.43264	61	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 0.007116547	0.3964	62	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.01819953	0.31089	63	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 8.609101	0.49274	0	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.7804448	0.49897	1	1	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.006416119 | l1_ratio: 0.3578902	0.20247	2	1	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.8152721 | l1_ratio: 0.2057761	0.43247	3	1	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 1.466323	0.49628	4	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.09313104	0.47865	5	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.02104596	0.48941	6	1	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.4133512	0.42964	7	1	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.08262253	0.38582	8	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 2.566563	0.49421	9	1	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.001959425	0.30037	10	1	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.5271587	0.49308	11	1	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 2.780106	0.50674	12	1	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 4.343826	0.494	13	1	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.2283297	0.49103	14	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 7.954484	0.49765	15	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 1.519637	0.49135	16	1	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 0.1501054	0.48433	17	1	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.01758877	0.43035	18	1	LogisticRegression	RDKit
solver_penalty: sag:None | C: 2.588286	0.46473	19	1	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.8811018	0.4921	20	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 8.027379	0.50665	21	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 3.961721	0.49123	22	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 9.190407	0.49796	23	1	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 1.536667	0.49836	24	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 3.92036	0.50415	25	1	LogisticRegression	RDKit
solver_penalty: sag:None | C: 4.624305	0.45554	26	1	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.3324349	0.45701	27	1	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 3.00958	0.49965	28	1	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 8.677921	0.43377	29	1	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.04199798	0.50828	30	1	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.02759739	0.49817	31	1	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.04522822	0.49165	32	1	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.01028885	0.49952	33	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.05901722	0.46893	34	1	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.003586736	0.43543	35	1	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 5.876046 | l1_ratio: 0.8557587	0.43861	36	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.9048798	0.49181	37	1	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 1.925727	0.49166	38	1	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.1624144	0.42828	39	1	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.009075576	0.21764	40	1	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 3.608766	0.50212	41	1	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 5.721816	0.50483	42	1	LogisticRegression	RDKit
