TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
197.42143	203.98578	395.48149	625.37444	0.57851	0.33297	0.75404	0.49182	0.54351	0.50108	0.46196	0.3971	0.58052	0.09532	0.47387	0.2712	0.06643	Total | Total	Weighted	0	RandomForestClassifier	Klek
32.81606	40.7113	120.30086	207.45501	0.59876	0.21432	0.83595	0.44631	0.52514	0.42327	0.34117	0.28958	0.57178	0.06313	0.42169	0.27742	0.07304	Sex | Male	Weighted	0	RandomForestClassifier	Klek
86.67956	78.51375	99.24315	142.03291	0.56268	0.46621	0.644	0.52472	0.55511	0.54794	0.54087	0.49374	0.59312	0.11179	0.53535	0.26382	0.06448	Sex | Female	Weighted	0	RandomForestClassifier	Klek
77.92581	84.76073	175.93748	275.88652	0.57576	0.30696	0.76498	0.47899	0.53597	0.48458	0.43812	0.37415	0.56901	0.08028	0.46064	0.27237	0.07591	Sex | Unknown	Weighted	0	RandomForestClassifier	Klek
13.85758	7.92274	16.23771	20.82448	0.5894	0.46046	0.7244	0.63624	0.59243	0.57754	0.56303	0.53426	0.66529	0.19137	0.63857	0.25094	0.07277	Age | Children	Weighted	0	RandomForestClassifier	Klek
69.32384	93.5561	167.57769	308.45154	0.59128	0.29263	0.76728	0.42561	0.52995	0.47384	0.42367	0.34681	0.56312	0.06639	0.41157	0.27042	0.07944	Age | Unknown	Weighted	0	RandomForestClassifier	Klek
69.57641	56.6497	102.14336	135.12477	0.56315	0.40517	0.7046	0.5512	0.55489	0.53431	0.51449	0.46704	0.59052	0.11511	0.53285	0.27373	0.07601	Age | Adult	Weighted	0	RandomForestClassifier	Klek
33.71136	40.48201	87.81415	144.40063	0.58129	0.2774	0.78104	0.45437	0.52922	0.46547	0.4094	0.34449	0.54043	0.06674	0.43465	0.27262	0.09471	Age | Elderly	Weighted	0	RandomForestClassifier	Klek
10.95224	5.37523	21.70858	16.57302	0.50404	0.33533	0.7551	0.67079	0.54521	0.5032	0.46442	0.44714	0.69402	0.09684	0.72778	0.2788	0.17925	Age | Adolescent	Weighted	0	RandomForestClassifier	Klek
46.8318	45.36248	52.33664	50.00022	0.49777	0.47225	0.52432	0.50797	0.49828	0.4976	0.49692	0.48946	0.53381	-0.00344	0.5036	0.27374	0.12935	Weight | Average	Weighted	0	RandomForestClassifier	Klek
