TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
242.38104	159.04688	350.52188	670.31334	0.64172	0.4088	0.80823	0.6038	0.60852	0.57481	0.54297	0.48753	0.63386	0.23774	0.55696	0.26129	0.0634	Total | Total	Weighted	0	XGBClassifier	RDKit
104.3746	67.55648	149.48869	293.09077	0.6468	0.41114	0.81268	0.60707	0.61191	0.57804	0.54604	0.49026	0.62396	0.24551	0.54829	0.26029	0.07687	Sex | Unknown	Weighted	0	XGBClassifier	RDKit
97.21417	65.67199	88.70854	154.87467	0.62019	0.52287	0.70223	0.59682	0.61255	0.60595	0.59942	0.55741	0.6493	0.22884	0.61413	0.24655	0.0569	Sex | Female	Weighted	0	XGBClassifier	RDKit
40.79227	25.81841	112.32465	222.3479	0.65575	0.26641	0.89596	0.6124	0.58119	0.48857	0.4107	0.3713	0.6207	0.21199	0.49983	0.27851	0.08492	Sex | Male	Weighted	0	XGBClassifier	RDKit
22.68231	8.61523	9.97851	13.33302	0.65951	0.69448	0.60748	0.72473	0.65098	0.64952	0.64807	0.70928	0.70939	0.29931	0.7585	0.22214	0.08174	Age | Adolescent	Weighted	0	XGBClassifier	RDKit
81.45006	49.44512	90.26971	142.32935	0.61563	0.47432	0.74217	0.62225	0.60825	0.59332	0.57876	0.53831	0.6326	0.22515	0.59538	0.26267	0.07417	Age | Adult	Weighted	0	XGBClassifier	RDKit
24.27391	14.27494	5.82138	14.47228	0.65847	0.80657	0.50343	0.62969	0.655	0.63722	0.61993	0.70724	0.69905	0.326	0.67555	0.20139	0.06309	Age | Children	Weighted	0	XGBClassifier	RDKit
34.30848	23.47703	87.21703	161.40561	0.63874	0.28232	0.87302	0.59372	0.57767	0.49645	0.42666	0.38267	0.58322	0.19425	0.52389	0.28266	0.07915	Age | Elderly	Weighted	0	XGBClassifier	RDKit
79.66628	63.23456	157.23525	338.77308	0.65493	0.33628	0.8427	0.55749	0.58949	0.53234	0.48073	0.41951	0.61816	0.20747	0.48767	0.26249	0.06825	Age | Unknown	Weighted	0	XGBClassifier	RDKit
61.04833	36.01819	38.12011	59.34451	0.61889	0.6156	0.6223	0.62893	0.61895	0.61894	0.61893	0.6222	0.63633	0.23786	0.61934	0.24877	0.0875	Weight | Average	Weighted	0	XGBClassifier	RDKit
33.30004	15.5404	49.07068	74.71134	0.62571	0.40427	0.82781	0.68181	0.61604	0.5785	0.54324	0.50758	0.62892	0.25736	0.63531	0.27447	0.08833	Weight | High	Weighted	0	XGBClassifier	RDKit
63.05918	30.23339	27.55514	36.51075	0.63276	0.69591	0.54703	0.67593	0.62147	0.61699	0.61255	0.68577	0.65136	0.24437	0.71385	0.23347	0.06925	Weight | Low	Weighted	0	XGBClassifier	RDKit
84.97349	77.2549	235.77595	499.74674	0.65132	0.26492	0.86611	0.52379	0.56552	0.47901	0.40574	0.35187	0.59567	0.16319	0.45283	0.27127	0.07243	Weight | Unknown	Weighted	0	XGBClassifier	RDKit
1428.0	565.0	1632.0	1581.0	0.57799	0.46667	0.73672	0.71651	0.60169	0.58635	0.57139	0.56521	0.62679	0.20596	0.69493	0.26129	0.15622	Total | Total	Unweighted	0	XGBClassifier	RDKit
594.0	232.0	654.0	653.0	0.58462	0.47596	0.73785	0.71913	0.60691	0.59261	0.57865	0.57281	0.62381	0.21627	0.6925	0.26029	0.15094	Sex | Unknown	Unweighted	0	XGBClassifier	RDKit
568.0	238.0	422.0	361.0	0.58464	0.57374	0.60267	0.70471	0.5882	0.58803	0.58785	0.63252	0.62825	0.171	0.72694	0.24655	0.12713	Sex | Female	Unweighted	0	XGBClassifier	RDKit
266.0	95.0	556.0	567.0	0.56132	0.3236	0.8565	0.73684	0.59005	0.52646	0.46973	0.4497	0.61681	0.20865	0.65658	0.27851	0.19524	Sex | Male	Unweighted	0	XGBClassifier	RDKit
147.0	40.0	63.0	37.0	0.64111	0.7	0.48052	0.7861	0.59026	0.57997	0.56986	0.74055	0.65152	0.16786	0.81507	0.22214	0.18013	Age | Adolescent	Unweighted	0	XGBClassifier	RDKit
466.0	192.0	445.0	370.0	0.56755	0.51153	0.65836	0.70821	0.58494	0.58032	0.57573	0.59401	0.60262	0.166	0.70002	0.26267	0.15809	Age | Adult	Unweighted	0	XGBClassifier	RDKit
179.0	43.0	41.0	31.0	0.71429	0.81364	0.41892	0.80631	0.61628	0.58382	0.55307	0.80995	0.63372	0.2347	0.80187	0.20139	0.15609	Age | Children	Unweighted	0	XGBClassifier	RDKit
209.0	96.0	418.0	419.0	0.54991	0.33333	0.81359	0.68525	0.57346	0.52077	0.47291	0.4485	0.57666	0.16524	0.64284	0.28266	0.17191	Age | Elderly	Unweighted	0	XGBClassifier	RDKit
427.0	194.0	665.0	724.0	0.57264	0.39103	0.78867	0.6876	0.58985	0.55533	0.52283	0.49854	0.62307	0.19372	0.64591	0.26249	0.15076	Age | Unknown	Unweighted	0	XGBClassifier	RDKit
394.0	142.0	250.0	187.0	0.59712	0.6118	0.56839	0.73507	0.5901	0.5897	0.5893	0.6678	0.60408	0.17138	0.73216	0.24877	0.15046	Weight | Average	Unweighted	0	XGBClassifier	RDKit
216.0	69.0	326.0	255.0	0.54388	0.39852	0.78704	0.75789	0.59278	0.56005	0.52912	0.52237	0.60021	0.19109	0.72465	0.27447	0.19678	Weight | High	Unweighted	0	XGBClassifier	RDKit
403.0	145.0	182.0	139.0	0.62371	0.68889	0.48944	0.7354	0.58916	0.58066	0.57228	0.71139	0.62177	0.1733	0.7617	0.23347	0.12588	Weight | Low	Unweighted	0	XGBClassifier	RDKit
415.0	209.0	874.0	1000.0	0.56645	0.32196	0.82713	0.66506	0.57454	0.51604	0.4635	0.43387	0.60476	0.17211	0.61148	0.27127	0.15886	Weight | Unknown	Unweighted	0	XGBClassifier	RDKit
156.29891	244.67931	146.92572	336.7221	0.55732	0.51546	0.57916	0.38979	0.54731	0.54638	0.54545	0.4439	0.59209	0.09021	0.47717	0.26943	0.16857	Total | Total	Weighted	1	XGBClassifier	RDKit
33.21727	50.63307	47.11215	117.88938	0.60722	0.41351	0.69955	0.39615	0.55653	0.53784	0.51978	0.40465	0.5856	0.11184	0.44709	0.27403	0.15164	Sex | Male	Weighted	1	XGBClassifier	RDKit
60.14867	83.53061	34.49215	73.17613	0.53044	0.63555	0.46696	0.41863	0.55125	0.54477	0.53837	0.50477	0.60413	0.10037	0.5308	0.26239	0.20073	Sex | Female	Weighted	1	XGBClassifier	RDKit
62.93297	110.51563	65.32142	145.65659	0.5426	0.49069	0.56859	0.36283	0.52964	0.5282	0.52677	0.41718	0.57756	0.05617	0.45192	0.27142	0.18251	Sex | Unknown	Weighted	1	XGBClassifier	RDKit
9.4565	11.15433	3.025	9.44978	0.57144	0.75764	0.45864	0.45881	0.60814	0.58948	0.57139	0.57152	0.67503	0.2163	0.61799	0.25914	0.22434	Age | Adolescent	Weighted	1	XGBClassifier	RDKit
30.10878	38.7785	32.63177	81.57832	0.60999	0.47989	0.6778	0.43707	0.57885	0.57033	0.56193	0.45748	0.62614	0.15449	0.51154	0.25797	0.12319	Age | Elderly	Weighted	1	XGBClassifier	RDKit
14.13665	12.59768	2.68943	2.53209	0.52162	0.84016	0.16736	0.52878	0.50376	0.37498	0.27912	0.64906	0.53173	0.01016	0.63708	0.23755	0.23204	Age | Children	Weighted	1	XGBClassifier	RDKit
56.93689	91.53117	69.15154	170.54913	0.58605	0.45156	0.65075	0.3835	0.55116	0.54208	0.53316	0.41476	0.59374	0.09859	0.44718	0.27041	0.14767	Age | Unknown	Weighted	1	XGBClassifier	RDKit
45.66009	90.61763	39.42798	72.61278	0.4763	0.53662	0.44485	0.33505	0.49073	0.48858	0.48644	0.41253	0.53965	-0.01767	0.44884	0.28494	0.24432	Age | Adult	Weighted	1	XGBClassifier	RDKit
22.26679	41.24598	17.60588	41.25336	0.51907	0.55845	0.50004	0.35059	0.52925	0.52844	0.52763	0.43075	0.54978	0.05487	0.46029	0.28314	0.24453	Weight | High	Weighted	1	XGBClassifier	RDKit
64.68589	112.44726	96.53368	242.70758	0.59529	0.40123	0.68339	0.36518	0.54231	0.52364	0.50561	0.38236	0.58329	0.0826	0.41593	0.27488	0.14251	Weight | Unknown	Weighted	1	XGBClassifier	RDKit
35.12718	48.46224	12.80656	19.10573	0.46954	0.73283	0.28276	0.42023	0.5078	0.45521	0.40807	0.53416	0.57785	0.01718	0.55934	0.2593	0.25898	Weight | Low	Weighted	1	XGBClassifier	RDKit
34.21905	42.52383	19.9796	33.65543	0.5206	0.63136	0.44179	0.44589	0.53658	0.52814	0.51983	0.52266	0.60937	0.07327	0.5879	0.25482	0.16357	Weight | Average	Weighted	1	XGBClassifier	RDKit
837.0	589.0	668.0	716.0	0.55267	0.55615	0.54866	0.58696	0.5524	0.55239	0.55238	0.57114	0.59249	0.10455	0.65076	0.26943	0.15695	Total | Total	Unweighted	1	XGBClassifier	RDKit
187.0	134.0	226.0	260.0	0.5539	0.45278	0.6599	0.58255	0.55634	0.54662	0.53707	0.50954	0.58833	0.11508	0.62074	0.27403	0.15654	Sex | Male	Unweighted	1	XGBClassifier	RDKit
327.0	204.0	166.0	156.0	0.56624	0.66329	0.43333	0.61582	0.54831	0.53612	0.5242	0.63867	0.59305	0.09844	0.68931	0.26239	0.15297	Sex | Female	Unweighted	1	XGBClassifier	RDKit
323.0	251.0	276.0	300.0	0.54174	0.53923	0.54446	0.56272	0.54185	0.54184	0.54184	0.55072	0.58416	0.08362	0.63355	0.27142	0.16429	Sex | Unknown	Unweighted	1	XGBClassifier	RDKit
60.0	38.0	21.0	19.0	0.57246	0.74074	0.33333	0.61224	0.53704	0.4969	0.45977	0.67039	0.58783	0.08039	0.71913	0.25914	0.1857	Age | Adolescent	Unweighted	1	XGBClassifier	RDKit
166.0	106.0	150.0	189.0	0.58101	0.52532	0.64068	0.61029	0.583	0.58014	0.57729	0.56463	0.62238	0.1669	0.6564	0.25797	0.13082	Age | Elderly	Unweighted	1	XGBClassifier	RDKit
103.0	38.0	20.0	8.0	0.6568	0.8374	0.17391	0.7305	0.50566	0.38162	0.28801	0.7803	0.51838	0.01354	0.78623	0.23755	0.17271	Age | Children	Unweighted	1	XGBClassifier	RDKit
