TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
485.68121	204.69132	309.40408	217.72967	0.57775	0.61085	0.51543	0.70351	0.56314	0.56112	0.5591	0.65391	0.61104	0.12132	0.7458	0.23985	0.14147	Total | Total	Weighted	0	RandomForestClassifier	CDDD
65.62885	27.14343	128.86639	106.23029	0.52417	0.33743	0.79649	0.70742	0.56696	0.51842	0.47404	0.45692	0.60633	0.14605	0.67696	0.24743	0.13086	Sex | Male	Weighted	0	RandomForestClassifier	CDDD
185.89194	73.48609	64.12927	39.85441	0.62127	0.7435	0.35163	0.71668	0.54757	0.51131	0.47746	0.72985	0.62751	0.09752	0.79302	0.23189	0.14845	Sex | Female	Weighted	0	RandomForestClassifier	CDDD
234.16042	104.0618	116.40842	71.64497	0.58107	0.66794	0.40775	0.69233	0.53785	0.52188	0.50638	0.67992	0.58666	0.07449	0.73973	0.24047	0.14347	Sex | Unknown	Weighted	0	RandomForestClassifier	CDDD
40.19725	5.54783	12.48666	3.92685	0.70986	0.76299	0.41446	0.87872	0.58872	0.56234	0.53714	0.81678	0.67381	0.14468	0.9228	0.22304	0.30518	Age | Adolescent	Weighted	0	RandomForestClassifier	CDDD
213.75159	106.86877	117.32209	90.35255	0.57563	0.64563	0.45813	0.66668	0.55188	0.54386	0.53595	0.65599	0.5989	0.10275	0.70528	0.24234	0.11061	Age | Unknown	Weighted	0	RandomForestClassifier	CDDD
40.67535	10.87567	1.42867	0.65219	0.77058	0.96607	0.05658	0.78903	0.51132	0.23378	0.10689	0.86862	0.61048	0.04817	0.86142	0.20511	0.2049	Age | Children	Weighted	0	RandomForestClassifier	CDDD
141.07658	54.93317	77.35171	48.13851	0.58854	0.64587	0.46704	0.71974	0.55646	0.54922	0.54209	0.68081	0.61994	0.10802	0.77703	0.2368	0.15846	Age | Adult	Weighted	0	RandomForestClassifier	CDDD
49.98044	26.46588	100.81495	74.65957	0.49476	0.33145	0.73829	0.6538	0.53487	0.49467	0.4575	0.43989	0.55243	0.07435	0.6536	0.25138	0.1337	Age | Elderly	Weighted	0	RandomForestClassifier	CDDD
241.22108	121.01243	222.26688	167.34031	0.54341	0.52045	0.58033	0.66593	0.55039	0.54957	0.54876	0.58427	0.59653	0.09807	0.70382	0.24591	0.1223	Weight | Unknown	Weighted	0	RandomForestClassifier	CDDD
51.0594	17.01029	42.68638	27.76848	0.56905	0.54466	0.62013	0.7501	0.58239	0.58117	0.57995	0.63108	0.60513	0.15417	0.76216	0.24291	0.17402	Weight | High	Weighted	0	RandomForestClassifier	CDDD
85.96398	28.94926	24.18194	11.52395	0.64725	0.78046	0.28473	0.74808	0.53259	0.4714	0.41724	0.76392	0.6037	0.06795	0.8085	0.2292	0.18176	Weight | Low	Weighted	0	RandomForestClassifier	CDDD
107.43675	37.71934	20.26888	11.09693	0.6715	0.84128	0.22732	0.74015	0.5343	0.43731	0.35793	0.78748	0.60319	0.08028	0.79253	0.23037	0.16447	Weight | Average	Weighted	0	RandomForestClassifier	CDDD
1774.0	992.0	1016.0	946.0	0.5753	0.63584	0.48813	0.64136	0.56199	0.55711	0.55228	0.63859	0.60383	0.12375	0.68805	0.23985	0.07478	Total | Total	Unweighted	0	RandomForestClassifier	CDDD
299.0	150.0	460.0	445.0	0.54948	0.39394	0.7479	0.66592	0.57092	0.5428	0.51606	0.49503	0.60105	0.14953	0.6455	0.24743	0.08904	Sex | Male	Unweighted	0	RandomForestClassifier	CDDD
695.0	364.0	208.0	174.0	0.60305	0.76966	0.32342	0.65628	0.54654	0.49892	0.45545	0.70846	0.6228	0.102	0.73861	0.23189	0.08321	Sex | Female	Unweighted	0	RandomForestClassifier	CDDD
780.0	478.0	348.0	327.0	0.57268	0.69149	0.40621	0.62003	0.54885	0.52999	0.51178	0.65381	0.59162	0.10103	0.67216	0.24047	0.05849	Sex | Unknown	Unweighted	0	RandomForestClassifier	CDDD
131.0	37.0	49.0	22.0	0.64017	0.72778	0.37288	0.77976	0.55033	0.52094	0.49311	0.75287	0.62721	0.09498	0.85162	0.22304	0.21856	Age | Adolescent	Unweighted	0	RandomForestClassifier	CDDD
685.0	467.0	335.0	367.0	0.56742	0.67157	0.44005	0.59462	0.55581	0.54362	0.5317	0.63076	0.59036	0.11448	0.62667	0.24234	0.03303	Age | Unknown	Unweighted	0	RandomForestClassifier	CDDD
191.0	54.0	4.0	3.0	0.76984	0.97949	0.05263	0.77959	0.51606	0.22705	0.0999	0.86818	0.63131	0.08177	0.86362	0.20511	0.18859	Age | Children	Unweighted	0	RandomForestClassifier	CDDD
539.0	291.0	276.0	220.0	0.5724	0.66135	0.43053	0.6494	0.54594	0.5336	0.52154	0.65532	0.60938	0.09241	0.72101	0.2368	0.09013	Age | Adult	Unweighted	0	RandomForestClassifier	CDDD
228.0	143.0	352.0	334.0	0.53169	0.3931	0.70021	0.61456	0.54666	0.52465	0.50352	0.4795	0.55821	0.09729	0.61	0.25138	0.07613	Age | Elderly	Unweighted	0	RandomForestClassifier	CDDD
629.0	474.0	606.0	650.0	0.54218	0.50931	0.57829	0.57026	0.5438	0.54271	0.54161	0.53807	0.57752	0.08769	0.60644	0.24591	0.03618	Weight | Unknown	Unweighted	0	RandomForestClassifier	CDDD
250.0	103.0	206.0	163.0	0.57202	0.54825	0.61278	0.70822	0.58051	0.57962	0.57872	0.61805	0.60293	0.15539	0.71605	0.24291	0.12916	Weight | High	Unweighted	0	RandomForestClassifier	CDDD
410.0	189.0	106.0	73.0	0.62082	0.79457	0.27863	0.68447	0.5366	0.47052	0.41258	0.73543	0.61229	0.08219	0.76086	0.2292	0.11246	Weight | Low	Unweighted	0	RandomForestClassifier	CDDD
485.0	226.0	98.0	60.0	0.62716	0.8319	0.20979	0.68214	0.52085	0.41776	0.33508	0.74961	0.57717	0.0508	0.7378	0.23037	0.11462	Weight | Average	Unweighted	0	RandomForestClassifier	CDDD
221.69836	125.88484	187.73881	168.44254	0.55436	0.54147	0.5723	0.63783	0.55688	0.55667	0.55646	0.58571	0.58408	0.11224	0.69169	0.24468	0.08416	Total | Total	Weighted	1	RandomForestClassifier	CDDD
77.24234	43.77173	45.94503	37.54302	0.56129	0.62703	0.4617	0.63829	0.54437	0.53805	0.53181	0.63261	0.59867	0.08835	0.71974	0.24123	0.08937	Sex | Female	Weighted	1	RandomForestClassifier	CDDD
101.72956	53.58079	85.38347	65.26103	0.5458	0.54368	0.54914	0.65501	0.54641	0.5464	0.5464	0.59417	0.5685	0.09049	0.70137	0.24623	0.11459	Sex | Unknown	Weighted	1	RandomForestClassifier	CDDD
42.72646	28.53232	56.41031	65.63849	0.56058	0.43098	0.69702	0.5996	0.564	0.54809	0.53263	0.5015	0.56728	0.13262	0.62749	0.24606	0.03048	Sex | Male	Weighted	1	RandomForestClassifier	CDDD
