Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 600 | criterion: gini | max_depth: 6 | min_samples_leaf: 2 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.0009529451	0.49375	0	0	RandomForestClassifier	MACCS
n_estimators: 475 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 6 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 0.002147729	0.38669	1	0	RandomForestClassifier	MACCS
n_estimators: 525 | criterion: log_loss | max_depth: 5 | min_samples_leaf: 7 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.004863452	0.02548	2	0	RandomForestClassifier	MACCS
n_estimators: 675 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 9 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.0003348008	0.5334	3	0	RandomForestClassifier	MACCS
n_estimators: 625 | criterion: gini | max_depth: 10 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.02855915	0.0	4	0	RandomForestClassifier	MACCS
n_estimators: 225 | criterion: gini | max_depth: 15 | min_samples_leaf: 3 | min_samples_split: 5 | max_features: None | ccp_alpha: 1.786428e-05	0.53199	5	0	RandomForestClassifier	MACCS
n_estimators: 825 | criterion: gini | max_depth: 7 | min_samples_leaf: 9 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0001277218	0.3445	6	0	RandomForestClassifier	MACCS
n_estimators: 700 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 9 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.0004854501	0.52483	7	0	RandomForestClassifier	MACCS
n_estimators: 275 | criterion: log_loss | max_depth: 5 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.0001534271	0.48069	8	0	RandomForestClassifier	MACCS
n_estimators: 750 | criterion: entropy | max_depth: 12 | min_samples_leaf: 8 | min_samples_split: 9 | max_features: sqrt | ccp_alpha: 3.068992e-05	0.46014	9	0	RandomForestClassifier	MACCS
