TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
358.8978	134.06842	436.18749	288.35257	0.53162	0.4514	0.68262	0.72804	0.56701	0.5551	0.54343	0.55727	0.57988	0.12995	0.70728	0.24987	0.16962	Total | Total	Weighted	0	RandomForestClassifier	RDKit
43.32669	21.21916	151.16855	112.15456	0.47422	0.22276	0.8409	0.67125	0.53183	0.43281	0.35222	0.33452	0.55102	0.07866	0.63463	0.25888	0.17095	Sex | Male	Weighted	0	RandomForestClassifier	RDKit
177.40336	65.71833	173.16548	109.98844	0.54609	0.50604	0.62598	0.72969	0.56601	0.56283	0.55966	0.59763	0.57276	0.12488	0.71456	0.24737	0.16807	Sex | Unknown	Weighted	0	RandomForestClassifier	RDKit
138.16775	47.13093	111.85346	66.20957	0.56246	0.55262	0.58417	0.74565	0.56839	0.56818	0.56796	0.63479	0.57474	0.12677	0.73155	0.24474	0.17749	Sex | Female	Weighted	0	RandomForestClassifier	RDKit
103.35998	35.62921	115.06831	67.44247	0.53127	0.4732	0.65433	0.74365	0.56376	0.55644	0.54921	0.57837	0.5862	0.12014	0.73474	0.24822	0.18788	Age | Adult	Weighted	0	RandomForestClassifier	RDKit
27.52048	3.94083	25.16343	5.53385	0.53177	0.52237	0.58407	0.87474	0.55322	0.55236	0.5515	0.65412	0.56069	0.07652	0.86415	0.2466	0.34584	Age | Adolescent	Weighted	0	RandomForestClassifier	RDKit
28.06271	19.49742	122.73268	81.62803	0.43542	0.1861	0.8072	0.59005	0.49665	0.38758	0.30246	0.28295	0.49882	-0.0084	0.61628	0.26369	0.17609	Age | Elderly	Weighted	0	RandomForestClassifier	RDKit
165.7816	68.98936	165.29208	128.23196	0.55653	0.50074	0.65019	0.70614	0.57547	0.57059	0.56576	0.58596	0.58345	0.14692	0.67883	0.24825	0.141	Age | Unknown	Weighted	0	RandomForestClassifier	RDKit
34.17303	6.0116	7.93099	5.51626	0.74003	0.81163	0.47852	0.8504	0.64507	0.6232	0.60207	0.83056	0.70718	0.27499	0.89855	0.21552	0.23886	Age | Children	Weighted	0	RandomForestClassifier	RDKit
33.03087	10.76882	60.71491	34.00995	0.48396	0.35235	0.75951	0.75413	0.55593	0.51731	0.48138	0.48029	0.57971	0.11251	0.75504	0.25393	0.20635	Weight | High	Weighted	0	RandomForestClassifier	RDKit
186.72055	85.19953	276.76741	203.15321	0.51856	0.40286	0.70453	0.68667	0.55369	0.53275	0.5126	0.5078	0.56334	0.10868	0.66031	0.25341	0.15086	Weight | Unknown	Weighted	0	RandomForestClassifier	RDKit
71.90894	20.71241	55.79669	28.10386	0.56657	0.56308	0.57571	0.77638	0.5694	0.56936	0.56933	0.65275	0.55686	0.12431	0.75666	0.24696	0.20571	Weight | Average	Weighted	0	RandomForestClassifier	RDKit
67.23744	17.38766	42.90848	23.08555	0.59968	0.61044	0.57039	0.79453	0.59042	0.59008	0.58974	0.69043	0.61721	0.16156	0.79371	0.2386	0.21318	Weight | Low	Weighted	0	RandomForestClassifier	RDKit
1296.0	656.0	1494.0	1282.0	0.54526	0.46452	0.66151	0.66393	0.56301	0.55433	0.54578	0.5466	0.57944	0.12589	0.65131	0.24987	0.10543	Total | Total	Unweighted	0	RandomForestClassifier	RDKit
