Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 650 | max_depth: 8 | learning_rate: 0.009993682 | max_leaves: 12 | subsample: 0.5327047 | colsample_bytree: 0.8002261 | gamma: 3.776468 | reg_alpha: 0.3838497 | reg_lambda: 1.655667	0.38688	0	0	XGBClassifier	RDKit
n_estimators: 825 | max_depth: 8 | learning_rate: 0.01932983 | max_leaves: 0 | subsample: 0.6560148 | colsample_bytree: 0.6432891 | gamma: 3.994407 | reg_alpha: 0.7873557 | reg_lambda: 1.982763	0.39834	1	0	XGBClassifier	RDKit
n_estimators: 775 | max_depth: 2 | learning_rate: 0.07039052 | max_leaves: 3 | subsample: 0.708808 | colsample_bytree: 0.5051385 | gamma: 1.594606 | reg_alpha: 2.79808 | reg_lambda: 4.453464	0.44329	2	0	XGBClassifier	RDKit
n_estimators: 375 | max_depth: 11 | learning_rate: 0.005929242 | max_leaves: 5 | subsample: 0.6483137 | colsample_bytree: 0.7589709 | gamma: 0.1713563 | reg_alpha: 3.932909 | reg_lambda: 2.634698	0.22683	3	0	XGBClassifier	RDKit
n_estimators: 700 | max_depth: 12 | learning_rate: 0.005419356 | max_leaves: 9 | subsample: 0.8777297 | colsample_bytree: 0.7256433 | gamma: 0.9656759 | reg_alpha: 0.5364608 | reg_lambda: 4.444853	0.35482	4	0	XGBClassifier	RDKit
n_estimators: 650 | max_depth: 7 | learning_rate: 0.04366958 | max_leaves: 10 | subsample: 0.94207 | colsample_bytree: 0.6721649 | gamma: 4.333188 | reg_alpha: 4.414311 | reg_lambda: 0.7241287	0.34826	5	0	XGBClassifier	RDKit
n_estimators: 975 | max_depth: 12 | learning_rate: 0.009789904 | max_leaves: 0 | subsample: 0.6629256 | colsample_bytree: 0.6544856 | gamma: 4.831579 | reg_alpha: 4.142073 | reg_lambda: 3.919158	0.31538	6	0	XGBClassifier	RDKit
n_estimators: 225 | max_depth: 3 | learning_rate: 0.01414546 | max_leaves: 2 | subsample: 0.6424321 | colsample_bytree: 0.6610503 | gamma: 0.4728107 | reg_alpha: 3.431301 | reg_lambda: 1.313099	0.05276	7	0	XGBClassifier	RDKit
n_estimators: 425 | max_depth: 12 | learning_rate: 0.04761961 | max_leaves: 7 | subsample: 0.6487534 | colsample_bytree: 0.8161465 | gamma: 2.844358 | reg_alpha: 2.683258 | reg_lambda: 3.948993	0.39643	8	0	XGBClassifier	RDKit
n_estimators: 225 | max_depth: 10 | learning_rate: 0.03109228 | max_leaves: 7 | subsample: 0.609918 | colsample_bytree: 0.8358582 | gamma: 3.027887 | reg_alpha: 2.774508 | reg_lambda: 1.090149	0.36499	9	0	XGBClassifier	RDKit
n_estimators: 950 | max_depth: 2 | learning_rate: 0.09054937 | max_leaves: 4 | subsample: 0.7962606 | colsample_bytree: 0.5094753 | gamma: 1.620126 | reg_alpha: 1.45392 | reg_lambda: 4.966329	0.44537	10	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 2 | learning_rate: 0.09939468 | max_leaves: 4 | subsample: 0.8054664 | colsample_bytree: 0.5106565 | gamma: 1.60195 | reg_alpha: 1.736068 | reg_lambda: 4.81739	0.45386	11	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 4 | learning_rate: 0.08953868 | max_leaves: 4 | subsample: 0.8048312 | colsample_bytree: 0.5047077 | gamma: 1.860539 | reg_alpha: 1.694491 | reg_lambda: 4.994955	0.45454	12	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 5 | learning_rate: 0.09177385 | max_leaves: 2 | subsample: 0.8041855 | colsample_bytree: 0.5743568 | gamma: 1.975989 | reg_alpha: 1.726983 | reg_lambda: 2.922391	0.42035	13	0	XGBClassifier	RDKit
n_estimators: 825 | max_depth: 4 | learning_rate: 0.05686384 | max_leaves: 6 | subsample: 0.9993042 | colsample_bytree: 0.9460237 | gamma: 2.356876 | reg_alpha: 1.754983 | reg_lambda: 3.206031	0.40246	14	0	XGBClassifier	RDKit
n_estimators: 525 | max_depth: 5 | learning_rate: 0.03177625 | max_leaves: 4 | subsample: 0.8645777 | colsample_bytree: 0.5811426 | gamma: 1.047584 | reg_alpha: 1.185821 | reg_lambda: 0.003631624	0.39796	15	0	XGBClassifier	RDKit
n_estimators: 900 | max_depth: 4 | learning_rate: 0.09817497 | max_leaves: 2 | subsample: 0.7588794 | colsample_bytree: 0.5756838 | gamma: 3.231462 | reg_alpha: 2.103673 | reg_lambda: 3.455717	0.41241	16	0	XGBClassifier	RDKit
n_estimators: 100 | max_depth: 6 | learning_rate: 0.06423525 | max_leaves: 8 | subsample: 0.8672622 | colsample_bytree: 0.9816796 | gamma: 2.205235 | reg_alpha: 2.17798 | reg_lambda: 4.729059	0.38589	17	0	XGBClassifier	RDKit
n_estimators: 875 | max_depth: 3 | learning_rate: 0.02903703 | max_leaves: 5 | subsample: 0.8099489 | colsample_bytree: 0.5384597 | gamma: 1.070065 | reg_alpha: 3.350131 | reg_lambda: 3.908453	0.44147	18	0	XGBClassifier	RDKit
n_estimators: 725 | max_depth: 2 | learning_rate: 0.0423647 | max_leaves: 4 | subsample: 0.7356328 | colsample_bytree: 0.9030421 | gamma: 1.458873 | reg_alpha: 0.981013 | reg_lambda: 2.289939	0.44648	19	0	XGBClassifier	RDKit
n_estimators: 525 | max_depth: 4 | learning_rate: 0.07525677 | max_leaves: 6 | subsample: 0.9310279 | colsample_bytree: 0.6056115 | gamma: 2.797216 | reg_alpha: 0.1390875 | reg_lambda: 4.985303	0.4187	20	0	XGBClassifier	RDKit
n_estimators: 750 | max_depth: 2 | learning_rate: 0.04445936 | max_leaves: 4 | subsample: 0.7317841 | colsample_bytree: 0.8811856 | gamma: 1.612312 | reg_alpha: 0.9480857 | reg_lambda: 2.112797	0.43262	21	0	XGBClassifier	RDKit
n_estimators: 900 | max_depth: 3 | learning_rate: 0.05341664 | max_leaves: 3 | subsample: 0.7755898 | colsample_bytree: 0.9084535 | gamma: 1.851273 | reg_alpha: 1.375791 | reg_lambda: 2.258957	0.44147	22	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 2 | learning_rate: 0.03795955 | max_leaves: 1 | subsample: 0.7134808 | colsample_bytree: 0.7420649 | gamma: 1.243127 | reg_alpha: 2.283379 | reg_lambda: 3.562004	0.0	23	0	XGBClassifier	RDKit
n_estimators: 625 | max_depth: 5 | learning_rate: 0.02208056 | max_leaves: 5 | subsample: 0.8285788 | colsample_bytree: 0.5413985 | gamma: 0.622621 | reg_alpha: 1.771395 | reg_lambda: 4.373986	0.42447	24	0	XGBClassifier	RDKit
