TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
229.3824	226.23039	356.37646	497.97074	0.55525	0.3916	0.68761	0.50346	0.53961	0.51891	0.49901	0.44054	0.52872	0.08269	0.46502	0.33722	0.22844	Total | Total	Weighted	0	LogisticRegression	CDDD
50.79862	66.69098	98.62579	161.18942	0.56185	0.33996	0.70734	0.43237	0.52365	0.49038	0.45922	0.38064	0.50179	0.04996	0.38407	0.35871	0.25054	Sex | Male	Weighted	0	LogisticRegression	CDDD
73.78278	57.92883	105.32549	132.54272	0.55827	0.41195	0.69587	0.56018	0.55391	0.53541	0.51752	0.47476	0.55274	0.1125	0.53527	0.32417	0.20822	Sex | Female	Weighted	0	LogisticRegression	CDDD
104.801	101.61058	152.42518	204.2386	0.54884	0.40743	0.66778	0.50773	0.5376	0.5216	0.50608	0.45208	0.526	0.07774	0.47469	0.33188	0.2269	Sex | Unknown	Weighted	0	LogisticRegression	CDDD
11.48758	6.2362	16.45503	17.73532	0.56291	0.41111	0.73985	0.64815	0.57548	0.55151	0.52853	0.50311	0.5327	0.15872	0.61013	0.35979	0.26031	Age | Children	Weighted	0	LogisticRegression	CDDD
101.89944	110.05275	146.32375	232.83799	0.56628	0.41052	0.67904	0.48077	0.54478	0.52798	0.51169	0.44287	0.53568	0.09217	0.43841	0.32586	0.21811	Age | Unknown	Weighted	0	LogisticRegression	CDDD
62.54021	55.36786	100.13438	112.91982	0.53015	0.38445	0.67099	0.53042	0.52772	0.5079	0.48882	0.44579	0.5115	0.05788	0.49428	0.34462	0.25822	Age | Adult	Weighted	0	LogisticRegression	CDDD
10.96448	3.5937	18.72265	11.73569	0.50426	0.36933	0.76557	0.75315	0.56745	0.53174	0.49828	0.49562	0.55518	0.13667	0.7137	0.33998	0.29561	Age | Adolescent	Weighted	0	LogisticRegression	CDDD
42.49069	50.97988	74.74065	122.74192	0.5679	0.36245	0.70654	0.45459	0.5345	0.50605	0.47912	0.40333	0.5266	0.07247	0.41567	0.34185	0.21937	Age | Elderly	Weighted	0	LogisticRegression	CDDD
38.91853	26.93487	54.44173	54.78007	0.53519	0.41686	0.67038	0.59099	0.54362	0.52864	0.51407	0.48888	0.53351	0.08985	0.5529	0.35005	0.22681	Weight | Average	Weighted	0	LogisticRegression	CDDD
27.57378	19.25319	43.72419	52.97592	0.56122	0.38674	0.73344	0.58884	0.56009	0.53259	0.50644	0.46686	0.57376	0.12817	0.56147	0.33879	0.21255	Weight | High	Weighted	0	LogisticRegression	CDDD
34.97616	17.65623	46.60309	40.60247	0.54047	0.42874	0.69693	0.66454	0.56284	0.54663	0.53089	0.52121	0.56077	0.12788	0.63532	0.32804	0.23185	Weight | Low	Weighted	0	LogisticRegression	CDDD
127.91393	162.3861	211.60745	349.61228	0.56079	0.37675	0.68284	0.44063	0.52979	0.50721	0.48558	0.40619	0.51308	0.06155	0.40699	0.33503	0.24236	Weight | Unknown	Weighted	0	LogisticRegression	CDDD
1134.0	645.0	1656.0	1293.0	0.51332	0.40645	0.66718	0.63744	0.53682	0.52075	0.50516	0.49639	0.53239	0.07475	0.61011	0.33722	0.25898	Total | Total	Unweighted	0	LogisticRegression	CDDD
267.0	190.0	492.0	405.0	0.49631	0.35178	0.68067	0.58425	0.51623	0.48933	0.46384	0.43914	0.50017	0.03406	0.54972	0.35871	0.28569	Sex | Male	Unweighted	0	LogisticRegression	CDDD
388.0	177.0	515.0	361.0	0.51978	0.42968	0.671	0.68673	0.55034	0.53695	0.52389	0.52861	0.55798	0.09975	0.66878	0.32417	0.25273	Sex | Female	Unweighted	0	LogisticRegression	CDDD
479.0	278.0	649.0	527.0	0.52043	0.42465	0.65466	0.63276	0.53965	0.52725	0.51514	0.50822	0.53396	0.08009	0.60688	0.33188	0.24654	Sex | Unknown	Unweighted	0	LogisticRegression	CDDD
82.0	18.0	113.0	39.0	0.48016	0.42051	0.68421	0.82	0.55236	0.53639	0.52089	0.55593	0.54845	0.08955	0.82331	0.35979	0.36353	Age | Children	Unweighted	0	LogisticRegression	CDDD
436.0	281.0	584.0	553.0	0.53344	0.42745	0.66307	0.60809	0.54526	0.53238	0.51981	0.50201	0.53959	0.09247	0.57051	0.32586	0.23353	Age | Unknown	Unweighted	0	LogisticRegression	CDDD
325.0	167.0	490.0	344.0	0.50452	0.39877	0.67319	0.66057	0.53598	0.51812	0.50086	0.49732	0.52833	0.0725	0.62812	0.34462	0.28307	Age | Adult	Unweighted	0	LogisticRegression	CDDD
72.0	18.0	108.0	41.0	0.4728	0.4	0.69492	0.8	0.54746	0.52722	0.50774	0.53333	0.55546	0.08447	0.79636	0.33998	0.33831	Age | Adolescent	Unweighted	0	LogisticRegression	CDDD
219.0	161.0	361.0	316.0	0.50615	0.37759	0.66247	0.57632	0.52003	0.50014	0.48101	0.45625	0.51425	0.04154	0.55085	0.34185	0.25312	Age | Elderly	Unweighted	0	LogisticRegression	CDDD
247.0	105.0	336.0	181.0	0.49252	0.42367	0.63287	0.7017	0.52827	0.51781	0.50756	0.52834	0.51015	0.05412	0.67636	0.35005	0.29402	Weight | Average	Unweighted	0	LogisticRegression	CDDD
172.0	73.0	284.0	193.0	0.50554	0.37719	0.72556	0.70204	0.55138	0.52314	0.49635	0.49073	0.55811	0.10469	0.67307	0.33879	0.29755	Weight | High	Unweighted	0	LogisticRegression	CDDD
227.0	84.0	289.0	178.0	0.52057	0.43992	0.67939	0.7299	0.55966	0.5467	0.53404	0.54897	0.56182	0.11511	0.71257	0.32804	0.26641	Weight | Low	Unweighted	0	LogisticRegression	CDDD
488.0	383.0	747.0	741.0	0.52098	0.39514	0.65925	0.56028	0.5272	0.51039	0.49412	0.46344	0.52087	0.05629	0.53282	0.33503	0.23837	Weight | Unknown	Unweighted	0	LogisticRegression	CDDD
134.72094	173.3177	175.80232	333.67193	0.57295	0.43385	0.65814	0.43735	0.546	0.53436	0.52296	0.43559	0.5552	0.09214	0.42345	0.32501	0.19778	Total | Total	Weighted	1	LogisticRegression	CDDD
26.41772	44.04833	51.52773	113.29203	0.59379	0.33893	0.72004	0.3749	0.52949	0.49401	0.4609	0.35601	0.55762	0.0606	0.36323	0.33642	0.19096	Sex | Male	Weighted	1	LogisticRegression	CDDD
62.33238	77.86544	78.9385	134.48698	0.55658	0.44123	0.63332	0.4446	0.53727	0.52862	0.5201	0.44291	0.54426	0.07464	0.44336	0.32437	0.20445	Sex | Unknown	Weighted	1	LogisticRegression	CDDD
45.97084	51.40393	45.33609	85.89292	0.57682	0.50348	0.6256	0.4721	0.56454	0.56123	0.55793	0.48728	0.55966	0.12785	0.44691	0.31485	0.19447	Sex | Female	Weighted	1	LogisticRegression	CDDD
59.80908	72.15257	81.80381	151.01336	0.57795	0.42234	0.67669	0.45323	0.54951	0.5346	0.52008	0.43724	0.55358	0.10044	0.42511	0.32618	0.19356	Age | Unknown	Weighted	1	LogisticRegression	CDDD
35.9516	48.98017	43.99097	97.7365	0.58982	0.44972	0.66616	0.4233	0.55794	0.54734	0.53695	0.43611	0.56479	0.11438	0.41484	0.32381	0.20325	Age | Adult	Weighted	1	LogisticRegression	CDDD
24.68764	35.55386	38.91006	72.14483	0.56529	0.38818	0.66988	0.40981	0.52903	0.50994	0.49153	0.3987	0.54892	0.05875	0.39078	0.33129	0.19031	Age | Elderly	Weighted	1	LogisticRegression	CDDD
6.90355	9.16453	7.65191	3.07427	0.37239	0.47429	0.25119	0.42964	0.36274	0.34516	0.32844	0.45087	0.38205	-0.27909	0.52907	0.35591	0.3839	Age | Children	Weighted	1	LogisticRegression	CDDD
7.36907	7.46657	3.44557	9.70297	0.61006	0.6814	0.56513	0.49671	0.62326	0.62055	0.61784	0.57458	0.67959	0.24052	0.59647	0.24815	0.17478	Age | Adolescent	Weighted	1	LogisticRegression	CDDD
16.8124	23.4042	19.46248	47.81089	0.6012	0.46347	0.67136	0.41805	0.56742	0.55781	0.54837	0.43959	0.5657	0.13175	0.41278	0.3243	0.22216	Weight | High	Weighted	1	LogisticRegression	CDDD
67.78842	102.42922	110.43555	212.19725	0.56809	0.38036	0.67444	0.39825	0.5274	0.50649	0.4864	0.38909	0.54777	0.05537	0.39374	0.3247	0.20616	Weight | Unknown	Weighted	1	LogisticRegression	CDDD
25.61371	23.73975	24.24112	39.94023	0.57739	0.51377	0.6272	0.51899	0.57048	0.56766	0.56485	0.51636	0.5678	0.14113	0.50469	0.32007	0.16557	Weight | Average	Weighted	1	LogisticRegression	CDDD
24.50641	23.74453	21.66317	33.72356	0.56186	0.53079	0.58682	0.50789	0.55881	0.5581	0.5574	0.51909	0.53926	0.11719	0.48149	0.33172	0.20198	Weight | Low	Weighted	1	LogisticRegression	CDDD
637.0	417.0	780.0	754.0	0.53748	0.44954	0.64389	0.60436	0.54672	0.53801	0.52945	0.51558	0.5402	0.09465	0.58719	0.32501	0.23912	Total | Total	Unweighted	1	LogisticRegression	CDDD
137.0	109.0	245.0	258.0	0.52737	0.35864	0.703	0.55691	0.53082	0.50212	0.47497	0.43631	0.53462	0.06561	0.53135	0.33642	0.26477	Sex | Male	Unweighted	1	LogisticRegression	CDDD
271.0	180.0	312.0	302.0	0.53803	0.46484	0.62656	0.60089	0.5457	0.53967	0.53372	0.52418	0.53668	0.09207	0.59573	0.32437	0.23448	Sex | Unknown	Unweighted	1	LogisticRegression	CDDD
229.0	128.0	223.0	194.0	0.54651	0.50664	0.60248	0.64146	0.55456	0.55249	0.55042	0.56613	0.54262	0.1079	0.62086	0.31485	0.23043	Sex | Female	Unweighted	1	LogisticRegression	CDDD
233.0	165.0	295.0	324.0	0.54769	0.44129	0.66258	0.58543	0.55193	0.54073	0.52975	0.50324	0.53375	0.10633	0.55365	0.32618	0.23716	Age | Unknown	Unweighted	1	LogisticRegression	CDDD
181.0	117.0	229.0	221.0	0.53743	0.44146	0.65385	0.60738	0.54765	0.53726	0.52706	0.5113	0.54282	0.09689	0.60262	0.32381	0.24175	Age | Adult	Unweighted	1	LogisticRegression	CDDD
127.0	85.0	180.0	176.0	0.53345	0.41368	0.67433	0.59906	0.54401	0.52816	0.51278	0.4894	0.5385	0.09068	0.54961	0.33129	0.25681	Age | Elderly	Unweighted	1	LogisticRegression	CDDD
52.0	28.0	54.0	12.0	0.43836	0.49057	0.3	0.65	0.39528	0.38363	0.37232	0.55914	0.4059	-0.18768	0.71337	0.35591	0.33469	Age | Children	Unweighted	1	LogisticRegression	CDDD
44.0	22.0	22.0	21.0	0.59633	0.66667	0.48837	0.66667	0.57752	0.5706	0.56376	0.66667	0.62333	0.15504	0.71007	0.24815	0.14316	Age | Adolescent	Unweighted	1	LogisticRegression	CDDD
102.0	71.0	118.0	120.0	0.54015	0.46364	0.62827	0.5896	0.54595	0.53971	0.53354	0.51908	0.53684	0.09285	0.59148	0.3243	0.24531	Weight | High	Unweighted	1	LogisticRegression	CDDD
233.0	190.0	377.0	410.0	0.5314	0.38197	0.68333	0.55083	0.53265	0.51089	0.49002	0.45111	0.53534	0.06847	0.54325	0.3247	0.23624	Weight | Unknown	Unweighted	1	LogisticRegression	CDDD
153.0	76.0	152.0	119.0	0.544	0.50164	0.61026	0.66812	0.55595	0.55329	0.55064	0.57303	0.53797	0.10954	0.63913	0.32007	0.25733	Weight | Average	Unweighted	1	LogisticRegression	CDDD
149.0	80.0	133.0	105.0	0.5439	0.52837	0.56757	0.65066	0.54797	0.54762	0.54727	0.58317	0.51748	0.09386	0.62515	0.33172	0.26	Weight | Low	Unweighted	1	LogisticRegression	CDDD
98.54156	148.78919	196.11405	262.65415	0.51154	0.33443	0.63837	0.39842	0.4864	0.46205	0.43892	0.36363	0.49446	-0.02811	0.41788	0.33534	0.22378	Total | Total	Weighted	3	LogisticRegression	CDDD
48.20198	68.30951	85.18263	98.56269	0.4888	0.36138	0.59065	0.41371	0.47601	0.462	0.4484	0.38578	0.48072	-0.04892	0.43465	0.33587	0.23957	Sex | Unknown	Weighted	3	LogisticRegression	CDDD
33.7591	40.77857	51.97389	63.47006	0.51178	0.39377	0.60883	0.45291	0.5013	0.48963	0.47824	0.42128	0.50754	0.00265	0.47537	0.32902	0.21762	Sex | Female	Weighted	3	LogisticRegression	CDDD
16.58048	39.70111	58.95753	100.6214	0.54295	0.2195	0.71707	0.2946	0.46829	0.39673	0.33611	0.25156	0.48032	-0.06891	0.32951	0.34074	0.22144	Sex | Male	Weighted	3	LogisticRegression	CDDD
44.02363	78.03863	87.7075	114.14029	0.4883	0.33419	0.59393	0.36067	0.46406	0.44552	0.42772	0.34692	0.4716	-0.07286	0.38772	0.33678	0.24056	Age | Unknown	Weighted	3	LogisticRegression	CDDD
