Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 700 | criterion: entropy | max_depth: 12 | min_samples_leaf: 3 | min_samples_split: 10 | max_features: sqrt | ccp_alpha: 0.0004138975	0.40874	0	0	RandomForestClassifier	ChemBERTa
n_estimators: 975 | criterion: gini | max_depth: 12 | min_samples_leaf: 8 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 5.087251e-05	0.35231	1	0	RandomForestClassifier	ChemBERTa
n_estimators: 150 | criterion: log_loss | max_depth: 11 | min_samples_leaf: 9 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0001816756	0.37731	2	0	RandomForestClassifier	ChemBERTa
n_estimators: 1000 | criterion: entropy | max_depth: 14 | min_samples_leaf: 7 | min_samples_split: 7 | max_features: sqrt | ccp_alpha: 0.0002158853	0.44108	3	0	RandomForestClassifier	ChemBERTa
n_estimators: 175 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 2 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.005237522	0.47974	4	0	RandomForestClassifier	ChemBERTa
n_estimators: 700 | criterion: entropy | max_depth: 17 | min_samples_leaf: 7 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 0.005634157	0.22079	5	0	RandomForestClassifier	ChemBERTa
n_estimators: 925 | criterion: gini | max_depth: 11 | min_samples_leaf: 8 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 0.01846522	0.0	6	0	RandomForestClassifier	ChemBERTa
n_estimators: 850 | criterion: entropy | max_depth: 11 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.01875798	0.41304	7	0	RandomForestClassifier	ChemBERTa
n_estimators: 300 | criterion: entropy | max_depth: 4 | min_samples_leaf: 10 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.003576864	0.34929	8	0	RandomForestClassifier	ChemBERTa
n_estimators: 1000 | criterion: entropy | max_depth: 8 | min_samples_leaf: 6 | min_samples_split: 9 | max_features: None | ccp_alpha: 0.00880105	0.44685	9	0	RandomForestClassifier	ChemBERTa
n_estimators: 400 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.001393895	0.52909	10	0	RandomForestClassifier	ChemBERTa
n_estimators: 375 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.001331575	0.52492	11	0	RandomForestClassifier	ChemBERTa
n_estimators: 425 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.001257671	0.52013	12	0	RandomForestClassifier	ChemBERTa
n_estimators: 450 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 4 | max_features: None | ccp_alpha: 0.001108334	0.52838	13	0	RandomForestClassifier	ChemBERTa
n_estimators: 575 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 5 | min_samples_split: 4 | max_features: None | ccp_alpha: 1.652938e-05	0.53782	14	0	RandomForestClassifier	ChemBERTa
n_estimators: 575 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 5 | min_samples_split: 4 | max_features: None | ccp_alpha: 1.17925e-05	0.52718	15	0	RandomForestClassifier	ChemBERTa
n_estimators: 575 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 1 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 1.511588e-05	0.44968	16	0	RandomForestClassifier	ChemBERTa
n_estimators: 700 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 5 | min_samples_split: 4 | max_features: None | ccp_alpha: 0.0001064446	0.53719	17	0	RandomForestClassifier	ChemBERTa
n_estimators: 725 | criterion: gini | max_depth: 18 | min_samples_leaf: 5 | min_samples_split: 5 | max_features: None | ccp_alpha: 5.791189e-05	0.51768	18	0	RandomForestClassifier	ChemBERTa
n_estimators: 800 | criterion: log_loss | max_depth: 8 | min_samples_leaf: 6 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 4.137711e-05	0.19328	19	0	RandomForestClassifier	ChemBERTa
n_estimators: 525 | criterion: log_loss | max_depth: 2 | min_samples_leaf: 7 | min_samples_split: 4 | max_features: None | ccp_alpha: 9.612089e-05	0.24751	20	0	RandomForestClassifier	ChemBERTa
n_estimators: 275 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 3 | max_features: None | ccp_alpha: 2.311029e-05	0.53846	21	0	RandomForestClassifier	ChemBERTa
n_estimators: 250 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 3 | max_features: None | ccp_alpha: 1.490392e-05	0.53423	22	0	RandomForestClassifier	ChemBERTa
n_estimators: 625 | criterion: log_loss | max_depth: 14 | min_samples_leaf: 5 | min_samples_split: 4 | max_features: None | ccp_alpha: 2.91055e-05	0.52315	23	0	RandomForestClassifier	ChemBERTa
n_estimators: 500 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.0001137118	0.54276	24	0	RandomForestClassifier	ChemBERTa
n_estimators: 500 | criterion: gini | max_depth: 15 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: None | ccp_alpha: 2.570194e-05	0.51551	25	0	RandomForestClassifier	ChemBERTa
n_estimators: 325 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0004007452	0.54173	26	0	RandomForestClassifier	ChemBERTa
n_estimators: 300 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0004568407	0.54824	27	0	RandomForestClassifier	ChemBERTa
n_estimators: 100 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.0003220598	0.45525	28	0	RandomForestClassifier	ChemBERTa
n_estimators: 350 | criterion: gini | max_depth: 13 | min_samples_leaf: 3 | min_samples_split: 8 | max_features: sqrt | ccp_alpha: 0.0004361171	0.39951	29	0	RandomForestClassifier	ChemBERTa
n_estimators: 225 | criterion: log_loss | max_depth: 9 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0006412422	0.30205	30	0	RandomForestClassifier	ChemBERTa
n_estimators: 300 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 3 | min_samples_split: 8 | max_features: None | ccp_alpha: 9.642685e-05	0.5476	31	0	RandomForestClassifier	ChemBERTa
n_estimators: 325 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 2 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.0001525565	0.54213	32	0	RandomForestClassifier	ChemBERTa
n_estimators: 450 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 2 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.0001225147	0.53188	33	0	RandomForestClassifier	ChemBERTa
n_estimators: 225 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 2 | min_samples_split: 9 | max_features: None | ccp_alpha: 0.0001898782	0.53206	34	0	RandomForestClassifier	ChemBERTa
n_estimators: 175 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 1 | min_samples_split: 9 | max_features: None | ccp_alpha: 5.963731e-05	0.52449	35	0	RandomForestClassifier	ChemBERTa
n_estimators: 325 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 3 | min_samples_split: 8 | max_features: sqrt | ccp_alpha: 0.0003177492	0.44348	36	0	RandomForestClassifier	ChemBERTa
