Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 700 | criterion: entropy | max_depth: 12 | min_samples_leaf: 4 | min_samples_split: 6 | max_features: None | ccp_alpha: 1.649685e-05	0.49641	0	0	RandomForestClassifier	RDKit
n_estimators: 100 | criterion: log_loss | max_depth: 8 | min_samples_leaf: 9 | min_samples_split: 8 | max_features: None | ccp_alpha: 2.186696e-05	0.45994	1	0	RandomForestClassifier	RDKit
n_estimators: 225 | criterion: gini | max_depth: 9 | min_samples_leaf: 8 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.0002720767	0.47866	2	0	RandomForestClassifier	RDKit
n_estimators: 275 | criterion: entropy | max_depth: 4 | min_samples_leaf: 4 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.008178593	0.36755	3	0	RandomForestClassifier	RDKit
n_estimators: 750 | criterion: gini | max_depth: 11 | min_samples_leaf: 10 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.01397163	0.0	4	0	RandomForestClassifier	RDKit
n_estimators: 200 | criterion: entropy | max_depth: 6 | min_samples_leaf: 5 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.02018152	0.28871	5	0	RandomForestClassifier	RDKit
n_estimators: 425 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 10 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.0001173812	0.49564	6	0	RandomForestClassifier	RDKit
n_estimators: 175 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 5 | min_samples_split: 3 | max_features: sqrt | ccp_alpha: 0.006368857	0.40481	7	0	RandomForestClassifier	RDKit
n_estimators: 725 | criterion: entropy | max_depth: 11 | min_samples_leaf: 3 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.0004408807	0.50013	8	0	RandomForestClassifier	RDKit
n_estimators: 250 | criterion: gini | max_depth: 18 | min_samples_leaf: 6 | min_samples_split: 6 | max_features: None | ccp_alpha: 4.531875e-05	0.49491	9	0	RandomForestClassifier	RDKit
n_estimators: 975 | criterion: entropy | max_depth: 2 | min_samples_leaf: 1 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.001390192	0.02827	10	0	RandomForestClassifier	RDKit
n_estimators: 675 | criterion: entropy | max_depth: 14 | min_samples_leaf: 2 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 1.112852e-05	0.49206	11	0	RandomForestClassifier	RDKit
n_estimators: 825 | criterion: entropy | max_depth: 15 | min_samples_leaf: 3 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.001008671	0.49316	12	0	RandomForestClassifier	RDKit
n_estimators: 500 | criterion: entropy | max_depth: 11 | min_samples_leaf: 7 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 0.0002303611	0.45539	13	0	RandomForestClassifier	RDKit
n_estimators: 650 | criterion: entropy | max_depth: 16 | min_samples_leaf: 3 | min_samples_split: 9 | max_features: None | ccp_alpha: 6.077562e-05	0.5065	14	0	RandomForestClassifier	RDKit
n_estimators: 575 | criterion: entropy | max_depth: 20 | min_samples_leaf: 1 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 7.304177e-05	0.50351	15	0	RandomForestClassifier	RDKit
n_estimators: 575 | criterion: entropy | max_depth: 20 | min_samples_leaf: 1 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 6.116576e-05	0.50049	16	0	RandomForestClassifier	RDKit
n_estimators: 425 | criterion: entropy | max_depth: 16 | min_samples_leaf: 2 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 7.867193e-05	0.49879	17	0	RandomForestClassifier	RDKit
n_estimators: 900 | criterion: gini | max_depth: 20 | min_samples_leaf: 2 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.001810159	0.41996	18	0	RandomForestClassifier	RDKit
n_estimators: 600 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 1 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 3.181202e-05	0.50595	19	0	RandomForestClassifier	RDKit
n_estimators: 350 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 3 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 3.354203e-05	0.49788	20	0	RandomForestClassifier	RDKit
n_estimators: 625 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 1 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.0001389701	0.50333	21	0	RandomForestClassifier	RDKit
n_estimators: 525 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 1 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.04851521	0.0	22	0	RandomForestClassifier	RDKit
n_estimators: 600 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 2.960596e-05	0.50936	23	0	RandomForestClassifier	RDKit
n_estimators: 825 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 4 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 2.999273e-05	0.4869	24	0	RandomForestClassifier	RDKit
n_estimators: 475 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 2 | min_samples_split: 8 | max_features: sqrt | ccp_alpha: 1.025777e-05	0.49851	25	0	RandomForestClassifier	RDKit
n_estimators: 625 | criterion: log_loss | max_depth: 14 | min_samples_leaf: 3 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 0.0001670658	0.4877	26	0	RandomForestClassifier	RDKit
n_estimators: 800 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.0004954882	0.47667	27	0	RandomForestClassifier	RDKit
