Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 175 | max_depth: 9 | learning_rate: 0.06119524 | max_leaves: 6 | subsample: 0.5030396 | colsample_bytree: 0.560312 | gamma: 0.1681596 | reg_alpha: 1.119023 | reg_lambda: 0.02275156	0.46829	0	0	XGBClassifier	Klek
n_estimators: 450 | max_depth: 6 | learning_rate: 0.0109067 | max_leaves: 4 | subsample: 0.774219 | colsample_bytree: 0.7144966 | gamma: 2.486583 | reg_alpha: 1.848647 | reg_lambda: 1.247762	0.35265	1	0	XGBClassifier	Klek
n_estimators: 225 | max_depth: 12 | learning_rate: 0.01958478 | max_leaves: 2 | subsample: 0.7256482 | colsample_bytree: 0.5295484 | gamma: 4.926227 | reg_alpha: 3.869645 | reg_lambda: 2.809908	0.14227	2	0	XGBClassifier	Klek
n_estimators: 475 | max_depth: 4 | learning_rate: 0.01204912 | max_leaves: 6 | subsample: 0.7874422 | colsample_bytree: 0.904342 | gamma: 4.008409 | reg_alpha: 4.942864 | reg_lambda: 0.9187449	0.34712	3	0	XGBClassifier	Klek
n_estimators: 300 | max_depth: 9 | learning_rate: 0.0425057 | max_leaves: 0 | subsample: 0.9976973 | colsample_bytree: 0.842503 | gamma: 4.148033 | reg_alpha: 2.885644 | reg_lambda: 3.976981	0.397	4	0	XGBClassifier	Klek
n_estimators: 350 | max_depth: 2 | learning_rate: 0.01953881 | max_leaves: 7 | subsample: 0.972081 | colsample_bytree: 0.9183654 | gamma: 4.807263 | reg_alpha: 4.172956 | reg_lambda: 1.149514	0.30807	5	0	XGBClassifier	Klek
n_estimators: 375 | max_depth: 5 | learning_rate: 0.02495848 | max_leaves: 11 | subsample: 0.5225322 | colsample_bytree: 0.8435686 | gamma: 1.132605 | reg_alpha: 2.45655 | reg_lambda: 0.05289889	0.49274	6	0	XGBClassifier	Klek
n_estimators: 575 | max_depth: 11 | learning_rate: 0.01199566 | max_leaves: 2 | subsample: 0.8313332 | colsample_bytree: 0.8815554 | gamma: 4.677523 | reg_alpha: 0.1029914 | reg_lambda: 2.869836	0.18038	7	0	XGBClassifier	Klek
n_estimators: 900 | max_depth: 3 | learning_rate: 0.018469 | max_leaves: 10 | subsample: 0.5130744 | colsample_bytree: 0.7792265 | gamma: 3.166118 | reg_alpha: 0.8001363 | reg_lambda: 1.804712	0.43692	8	0	XGBClassifier	Klek
n_estimators: 1000 | max_depth: 4 | learning_rate: 0.006795936 | max_leaves: 6 | subsample: 0.6507714 | colsample_bytree: 0.5958964 | gamma: 0.05810991 | reg_alpha: 1.25842 | reg_lambda: 3.91608	0.42567	9	0	XGBClassifier	Klek
n_estimators: 700 | max_depth: 6 | learning_rate: 0.09615664 | max_leaves: 11 | subsample: 0.619438 | colsample_bytree: 0.986838 | gamma: 1.490123 | reg_alpha: 2.855815 | reg_lambda: 4.818507	0.50853	10	0	XGBClassifier	Klek
n_estimators: 675 | max_depth: 6 | learning_rate: 0.09382276 | max_leaves: 12 | subsample: 0.6074255 | colsample_bytree: 0.9986272 | gamma: 1.307834 | reg_alpha: 2.777846 | reg_lambda: 4.957918	0.50844	11	0	XGBClassifier	Klek
n_estimators: 700 | max_depth: 7 | learning_rate: 0.09513516 | max_leaves: 12 | subsample: 0.6182614 | colsample_bytree: 0.9782418 | gamma: 1.620136 | reg_alpha: 3.033285 | reg_lambda: 4.8945	0.50391	12	0	XGBClassifier	Klek
n_estimators: 750 | max_depth: 7 | learning_rate: 0.09822552 | max_leaves: 9 | subsample: 0.6252608 | colsample_bytree: 0.9904894 | gamma: 1.357487 | reg_alpha: 3.510382 | reg_lambda: 4.965342	0.4954	13	0	XGBClassifier	Klek
n_estimators: 675 | max_depth: 9 | learning_rate: 0.04805993 | max_leaves: 9 | subsample: 0.6951294 | colsample_bytree: 0.6743829 | gamma: 2.186038 | reg_alpha: 2.068229 | reg_lambda: 4.115587	0.4621	14	0	XGBClassifier	Klek
n_estimators: 825 | max_depth: 6 | learning_rate: 0.06582245 | max_leaves: 12 | subsample: 0.5803315 | colsample_bytree: 0.9883909 | gamma: 0.6710587 | reg_alpha: 3.268498 | reg_lambda: 3.393283	0.52422	15	0	XGBClassifier	Klek
n_estimators: 850 | max_depth: 8 | learning_rate: 0.06133029 | max_leaves: 9 | subsample: 0.5772252 | colsample_bytree: 0.7948328 | gamma: 0.6889657 | reg_alpha: 4.546453 | reg_lambda: 3.124023	0.50594	16	0	XGBClassifier	Klek
n_estimators: 850 | max_depth: 5 | learning_rate: 0.03121767 | max_leaves: 11 | subsample: 0.8752432 | colsample_bytree: 0.9405628 | gamma: 0.6982237 | reg_alpha: 3.605136 | reg_lambda: 3.489732	0.49399	17	0	XGBClassifier	Klek
n_estimators: 575 | max_depth: 6 | learning_rate: 0.06480753 | max_leaves: 8 | subsample: 0.679997 | colsample_bytree: 0.6561192 | gamma: 1.865385 | reg_alpha: 3.261908 | reg_lambda: 2.139536	0.46125	18	0	XGBClassifier	Klek
n_estimators: 1000 | max_depth: 2 | learning_rate: 0.03913935 | max_leaves: 12 | subsample: 0.567755 | colsample_bytree: 0.8482813 | gamma: 2.96293 | reg_alpha: 2.346439 | reg_lambda: 4.388971	0.44676	19	0	XGBClassifier	Klek
n_estimators: 775 | max_depth: 8 | learning_rate: 0.07175327 | max_leaves: 10 | subsample: 0.5589914 | colsample_bytree: 0.9435147 | gamma: 0.6679846 | reg_alpha: 4.070256 | reg_lambda: 3.41659	0.51158	20	0	XGBClassifier	Klek
n_estimators: 775 | max_depth: 8 | learning_rate: 0.07032897 | max_leaves: 10 | subsample: 0.5627412 | colsample_bytree: 0.9570411 | gamma: 0.7559767 | reg_alpha: 4.136549 | reg_lambda: 3.514692	0.5164	21	0	XGBClassifier	Klek
n_estimators: 800 | max_depth: 10 | learning_rate: 0.07342647 | max_leaves: 10 | subsample: 0.5603811 | colsample_bytree: 0.936094 | gamma: 0.8546355 | reg_alpha: 4.253318 | reg_lambda: 3.409054	0.49356	22	0	XGBClassifier	Klek
n_estimators: 925 | max_depth: 8 | learning_rate: 0.05127579 | max_leaves: 8 | subsample: 0.5522028 | colsample_bytree: 0.9522922 | gamma: 0.3655685 | reg_alpha: 4.84908 | reg_lambda: 3.499917	0.5185	23	0	XGBClassifier	Klek
n_estimators: 925 | max_depth: 8 | learning_rate: 0.0508141 | max_leaves: 8 | subsample: 0.6677613 | colsample_bytree: 0.8773491 | gamma: 0.2674333 | reg_alpha: 4.98441 | reg_lambda: 2.239869	0.52155	24	0	XGBClassifier	Klek
n_estimators: 950 | max_depth: 7 | learning_rate: 0.03417785 | max_leaves: 4 | subsample: 0.6824021 | colsample_bytree: 0.8845149 | gamma: 0.2948199 | reg_alpha: 4.926856 | reg_lambda: 2.358256	0.50395	25	0	XGBClassifier	Klek
n_estimators: 900 | max_depth: 10 | learning_rate: 0.05193057 | max_leaves: 7 | subsample: 0.6547458 | colsample_bytree: 0.812789 | gamma: 0.2135587 | reg_alpha: 4.609846 | reg_lambda: 1.856803	0.51936	26	0	XGBClassifier	Klek
n_estimators: 875 | max_depth: 11 | learning_rate: 0.02713333 | max_leaves: 5 | subsample: 0.7422659 | colsample_bytree: 0.797253 | gamma: 0.08618074 | reg_alpha: 4.474573 | reg_lambda: 1.841582	0.49748	27	0	XGBClassifier	Klek
n_estimators: 950 | max_depth: 10 | learning_rate: 0.05079932 | max_leaves: 7 | subsample: 0.6527558 | colsample_bytree: 0.7268672 | gamma: 1.076203 | reg_alpha: 4.573823 | reg_lambda: 1.614573	0.48732	28	0	XGBClassifier	Klek
n_estimators: 125 | max_depth: 10 | learning_rate: 0.03731464 | max_leaves: 7 | subsample: 0.7183084 | colsample_bytree: 0.8253278 | gamma: 0.4731939 | reg_alpha: 3.680646 | reg_lambda: 2.569066	0.41114	29	0	XGBClassifier	Klek
n_estimators: 625 | max_depth: 12 | learning_rate: 0.05289912 | max_leaves: 5 | subsample: 0.6517139 | colsample_bytree: 0.754344 | gamma: 1.860953 | reg_alpha: 4.601324 | reg_lambda: 0.6744416	0.44987	30	0	XGBClassifier	Klek
