TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
285.70877	312.76217	300.05009	411.43896	0.53219	0.48776	0.56813	0.4774	0.52794	0.52641	0.52488	0.48252	0.54157	0.05578	0.49768	0.27719	0.15537	Total | Total	Weighted	0	XGBClassifier	MACCS
47.29391	66.81333	102.1305	161.06707	0.55224	0.31651	0.70681	0.41447	0.51166	0.47298	0.43723	0.35892	0.51331	0.02482	0.40831	0.30001	0.16045	Sex | Male	Weighted	0	XGBClassifier	MACCS
99.47989	99.07017	79.62838	91.40138	0.51648	0.55542	0.47987	0.50103	0.51764	0.51626	0.51489	0.52682	0.54015	0.03537	0.54556	0.2653	0.15649	Sex | Female	Weighted	0	XGBClassifier	MACCS
138.93497	146.87867	118.29121	158.97051	0.52907	0.54013	0.51977	0.4861	0.52995	0.52985	0.52975	0.51169	0.54266	0.05968	0.51136	0.27008	0.15122	Sex | Unknown	Weighted	0	XGBClassifier	MACCS
34.69501	55.46945	82.53633	118.25235	0.52568	0.29595	0.6807	0.3848	0.48833	0.44884	0.41254	0.33458	0.4768	-0.02476	0.39615	0.30832	0.16505	Age | Elderly	Weighted	0	XGBClassifier	MACCS
125.52361	156.55692	122.69958	186.33382	0.52758	0.50569	0.54342	0.44499	0.52455	0.52422	0.52388	0.4734	0.54343	0.04853	0.46508	0.27512	0.1595	Age | Unknown	Weighted	0	XGBClassifier	MACCS
22.13769	10.31191	7.54944	5.01748	0.60323	0.7457	0.32731	0.68222	0.53651	0.49404	0.45494	0.71255	0.56663	0.07713	0.7246	0.22228	0.12986	Age | Adolescent	Weighted	0	XGBClassifier	MACCS
24.76859	20.18946	3.17402	3.78206	0.54996	0.88641	0.15777	0.55093	0.52209	0.37397	0.26787	0.67952	0.52919	0.06466	0.62928	0.18651	0.20632	Age | Children	Weighted	0	XGBClassifier	MACCS
78.58387	70.23443	84.09072	98.05325	0.53371	0.48307	0.58265	0.52805	0.53286	0.53053	0.52821	0.50456	0.54185	0.06605	0.53788	0.2824	0.15092	Age | Adult	Weighted	0	XGBClassifier	MACCS
53.86267	41.00185	27.71658	17.25685	0.50859	0.66025	0.29621	0.56779	0.47823	0.44224	0.40895	0.61054	0.5122	-0.04595	0.60826	0.26131	0.17573	Weight | Low	Weighted	0	XGBClassifier	MACCS
60.69369	56.19897	32.66657	25.51597	0.49242	0.6501	0.31226	0.51923	0.48118	0.45055	0.42188	0.57734	0.51287	-0.03987	0.53848	0.26312	0.18567	Weight | Average	Weighted	0	XGBClassifier	MACCS
140.51416	187.20413	199.00722	324.79425	0.54644	0.41386	0.63437	0.42877	0.52411	0.51238	0.50092	0.42118	0.52767	0.04853	0.44549	0.28082	0.16333	Weight | Unknown	Weighted	0	XGBClassifier	MACCS
30.63825	28.35722	40.65972	43.87189	0.51914	0.42972	0.6074	0.51933	0.51856	0.51089	0.50334	0.4703	0.50087	0.03772	0.516	0.29938	0.15734	Weight | High	Weighted	0	XGBClassifier	MACCS
1454.0	882.0	1336.0	1056.0	0.53088	0.52115	0.54489	0.62243	0.53302	0.53289	0.53275	0.5673	0.54906	0.06496	0.63894	0.27719	0.15898	Total | Total	Unweighted	0	XGBClassifier	MACCS
276.0	198.0	483.0	397.0	0.49705	0.36364	0.66723	0.58228	0.51543	0.49257	0.47073	0.44769	0.52651	0.03211	0.58705	0.30001	0.19407	Sex | Male	Unweighted	0	XGBClassifier	MACCS
534.0	276.0	369.0	262.0	0.55239	0.59136	0.48699	0.65926	0.53918	0.53664	0.53412	0.62347	0.55485	0.07639	0.68006	0.2653	0.14341	Sex | Female	Unweighted	0	XGBClassifier	MACCS
644.0	408.0	484.0	397.0	0.53854	0.57092	0.49317	0.61217	0.53204	0.53062	0.5292	0.59083	0.55044	0.06344	0.63595	0.27008	0.14821	Sex | Unknown	Unweighted	0	XGBClassifier	MACCS
192.0	163.0	388.0	314.0	0.47871	0.33103	0.65828	0.54085	0.49466	0.46681	0.44053	0.4107	0.48692	-0.01126	0.54053	0.30832	0.20385	Age | Elderly	Unweighted	0	XGBClassifier	MACCS
542.0	400.0	478.0	434.0	0.52643	0.53137	0.52038	0.57537	0.52588	0.52585	0.52582	0.5525	0.54402	0.0515	0.58517	0.27512	0.14299	Age | Unknown	Unweighted	0	XGBClassifier	MACCS
