Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 575 | max_depth: 2 | learning_rate: 0.02337563 | max_leaves: 8 | subsample: 0.5409267 | colsample_bytree: 0.7691659 | gamma: 2.950028 | reg_alpha: 2.676848 | reg_lambda: 3.83384	0.45251	0	0	XGBClassifier	RDKit
n_estimators: 950 | max_depth: 2 | learning_rate: 0.01380442 | max_leaves: 9 | subsample: 0.6866819 | colsample_bytree: 0.986778 | gamma: 4.034923 | reg_alpha: 1.818896 | reg_lambda: 3.361693	0.47181	1	0	XGBClassifier	RDKit
n_estimators: 475 | max_depth: 12 | learning_rate: 0.005362796 | max_leaves: 1 | subsample: 0.9514946 | colsample_bytree: 0.622444 | gamma: 0.3786645 | reg_alpha: 0.788734 | reg_lambda: 3.77508	0.0	2	0	XGBClassifier	RDKit
n_estimators: 125 | max_depth: 4 | learning_rate: 0.07037136 | max_leaves: 3 | subsample: 0.8694755 | colsample_bytree: 0.8712065 | gamma: 1.247603 | reg_alpha: 4.061484 | reg_lambda: 0.3192816	0.42793	3	0	XGBClassifier	RDKit
n_estimators: 375 | max_depth: 4 | learning_rate: 0.0112858 | max_leaves: 7 | subsample: 0.7730527 | colsample_bytree: 0.5218063 | gamma: 1.975969 | reg_alpha: 3.795171 | reg_lambda: 4.403119	0.39738	4	0	XGBClassifier	RDKit
n_estimators: 525 | max_depth: 5 | learning_rate: 0.0160315 | max_leaves: 0 | subsample: 0.8241425 | colsample_bytree: 0.5542195 | gamma: 1.423569 | reg_alpha: 0.7484615 | reg_lambda: 4.702498	0.48674	5	0	XGBClassifier	RDKit
n_estimators: 200 | max_depth: 4 | learning_rate: 0.01305961 | max_leaves: 10 | subsample: 0.7297552 | colsample_bytree: 0.6859304 | gamma: 2.477488 | reg_alpha: 1.693203 | reg_lambda: 0.901372	0.37962	6	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 7 | learning_rate: 0.01423561 | max_leaves: 4 | subsample: 0.791386 | colsample_bytree: 0.6420915 | gamma: 4.692015 | reg_alpha: 4.868706 | reg_lambda: 2.934768	0.4251	7	0	XGBClassifier	RDKit
n_estimators: 750 | max_depth: 3 | learning_rate: 0.03134545 | max_leaves: 4 | subsample: 0.5387764 | colsample_bytree: 0.8639453 | gamma: 2.529869 | reg_alpha: 2.08527 | reg_lambda: 2.617016	0.49176	8	0	XGBClassifier	RDKit
n_estimators: 600 | max_depth: 8 | learning_rate: 0.01171525 | max_leaves: 11 | subsample: 0.5434583 | colsample_bytree: 0.8893968 | gamma: 3.009039 | reg_alpha: 1.981877 | reg_lambda: 4.532953	0.45898	9	0	XGBClassifier	RDKit
n_estimators: 775 | max_depth: 10 | learning_rate: 0.04946447 | max_leaves: 5 | subsample: 0.6194576 | colsample_bytree: 0.8088404 | gamma: 3.664788 | reg_alpha: 3.014212 | reg_lambda: 2.003156	0.48355	10	0	XGBClassifier	RDKit
n_estimators: 750 | max_depth: 6 | learning_rate: 0.03591518 | max_leaves: 0 | subsample: 0.8769327 | colsample_bytree: 0.5375918 | gamma: 1.419875 | reg_alpha: 0.290032 | reg_lambda: 1.819212	0.5034	11	0	XGBClassifier	RDKit
n_estimators: 800 | max_depth: 6 | learning_rate: 0.03655679 | max_leaves: 2 | subsample: 0.9670757 | colsample_bytree: 0.9962794 | gamma: 0.03201192 | reg_alpha: 0.01599537 | reg_lambda: 1.991968	0.44696	12	0	XGBClassifier	RDKit
n_estimators: 750 | max_depth: 9 | learning_rate: 0.0312906 | max_leaves: 6 | subsample: 0.890166 | colsample_bytree: 0.8449561 | gamma: 1.132087 | reg_alpha: 0.9280568 | reg_lambda: 1.484608	0.51585	13	0	XGBClassifier	RDKit
n_estimators: 700 | max_depth: 9 | learning_rate: 0.09598632 | max_leaves: 12 | subsample: 0.8941739 | colsample_bytree: 0.711564 | gamma: 0.825623 | reg_alpha: 0.1019982 | reg_lambda: 1.322911	0.53638	14	0	XGBClassifier	RDKit
n_estimators: 675 | max_depth: 9 | learning_rate: 0.09948982 | max_leaves: 12 | subsample: 0.9079406 | colsample_bytree: 0.7286178 | gamma: 0.5611311 | reg_alpha: 1.078925 | reg_lambda: 1.027168	0.53611	15	0	XGBClassifier	RDKit
n_estimators: 375 | max_depth: 11 | learning_rate: 0.09436099 | max_leaves: 11 | subsample: 0.9824488 | colsample_bytree: 0.7189783 | gamma: 0.493325 | reg_alpha: 1.360249 | reg_lambda: 0.09786427	0.53199	16	0	XGBClassifier	RDKit
n_estimators: 875 | max_depth: 9 | learning_rate: 0.09833739 | max_leaves: 12 | subsample: 0.9193914 | colsample_bytree: 0.7684309 | gamma: 0.7222776 | reg_alpha: 0.4062666 | reg_lambda: 1.015293	0.54601	17	0	XGBClassifier	RDKit
n_estimators: 900 | max_depth: 10 | learning_rate: 0.06295086 | max_leaves: 12 | subsample: 0.8383836 | colsample_bytree: 0.7810426 | gamma: 1.939666 | reg_alpha: 0.1821664 | reg_lambda: 0.8483323	0.50295	18	0	XGBClassifier	RDKit
n_estimators: 875 | max_depth: 8 | learning_rate: 0.05897055 | max_leaves: 9 | subsample: 0.9259406 | colsample_bytree: 0.6554656 | gamma: 0.8223196 | reg_alpha: 0.5166773 | reg_lambda: 0.5685045	0.52962	19	0	XGBClassifier	RDKit
n_estimators: 650 | max_depth: 12 | learning_rate: 0.07387394 | max_leaves: 10 | subsample: 0.701956 | colsample_bytree: 0.594726 | gamma: 1.924985 | reg_alpha: 1.219789 | reg_lambda: 1.428625	0.51224	20	0	XGBClassifier	RDKit
n_estimators: 675 | max_depth: 9 | learning_rate: 0.09958939 | max_leaves: 12 | subsample: 0.9074358 | colsample_bytree: 0.7271417 | gamma: 0.102256 | reg_alpha: 0.003506732 | reg_lambda: 1.177944	0.54458	21	0	XGBClassifier	RDKit
n_estimators: 900 | max_depth: 9 | learning_rate: 0.08406901 | max_leaves: 12 | subsample: 0.9907572 | colsample_bytree: 0.6954277 | gamma: 0.02880783 | reg_alpha: 0.123034 | reg_lambda: 1.200028	0.54678	22	0	XGBClassifier	RDKit
n_estimators: 875 | max_depth: 10 | learning_rate: 0.05014909 | max_leaves: 11 | subsample: 0.9955324 | colsample_bytree: 0.8114497 | gamma: 0.007207208 | reg_alpha: 0.5434027 | reg_lambda: 2.386127	0.54327	23	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 8 | learning_rate: 0.07662687 | max_leaves: 10 | subsample: 0.9534673 | colsample_bytree: 0.6803627 | gamma: 0.004038858 | reg_alpha: 1.483757 | reg_lambda: 0.6853397	0.54572	24	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 7 | learning_rate: 0.04397079 | max_leaves: 10 | subsample: 0.9429168 | colsample_bytree: 0.6822105 | gamma: 0.8286136 | reg_alpha: 1.500869 | reg_lambda: 0.06173304	0.52369	25	0	XGBClassifier	RDKit
n_estimators: 850 | max_depth: 8 | learning_rate: 0.06747865 | max_leaves: 8 | subsample: 0.9909785 | colsample_bytree: 0.6131342 | gamma: 0.3553564 | reg_alpha: 2.492125 | reg_lambda: 0.5640131	0.52623	26	0	XGBClassifier	RDKit
n_estimators: 950 | max_depth: 11 | learning_rate: 0.07490394 | max_leaves: 9 | subsample: 0.8526341 | colsample_bytree: 0.5803023 | gamma: 0.9695309 | reg_alpha: 0.6212049 | reg_lambda: 1.755438	0.52842	27	0	XGBClassifier	RDKit
n_estimators: 925 | max_depth: 7 | learning_rate: 0.007765674 | max_leaves: 11 | subsample: 0.9271632 | colsample_bytree: 0.9224757 | gamma: 0.4949612 | reg_alpha: 1.137901 | reg_lambda: 0.6365899	0.48921	28	0	XGBClassifier	RDKit
n_estimators: 825 | max_depth: 6 | learning_rate: 0.02272014 | max_leaves: 8 | subsample: 0.9519059 | colsample_bytree: 0.8003873 | gamma: 1.528892 | reg_alpha: 2.411881 | reg_lambda: 0.4018676	0.49828	29	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 11 | learning_rate: 0.08119739 | max_leaves: 7 | subsample: 0.8074648 | colsample_bytree: 0.7693068 | gamma: 0.2281235 | reg_alpha: 3.040158 | reg_lambda: 2.271917	0.53955	30	0	XGBClassifier	RDKit
