Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: newton-cg:l2 | C: 0.001581714	0.31394	0	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 0.009269275	0.00483	1	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 0.01347755	0.28572	2	0	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.005061416	0.02992	3	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.003547893	0.51261	4	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 0.1278503	0.28261	5	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 1.983622	0.23355	6	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 0.01008664	0.28517	7	0	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.002424516 | l1_ratio: 0.1030366	0.10829	8	0	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 4.653323 | l1_ratio: 0.01456024	0.28525	9	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.1625249	0.51468	10	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.1479201	0.51691	11	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.2401213	0.52315	12	0	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.7109483	0.5081	13	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.05048443	0.52074	14	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.05154514	0.51257	15	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.03995866	0.23331	16	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.5188708	0.50968	17	0	LogisticRegression	CDDD
solver_penalty: sag:None | C: 0.4389053	0.3358	18	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.02946824	0.453	19	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 1.603389	0.52595	20	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 2.176497	0.52166	21	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 8.309009	0.51619	22	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 1.763629	0.51578	23	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 1.547165	0.51104	24	0	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 0.286511	0.3367	25	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 3.567521	0.51899	26	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 0.9375806	0.52659	27	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.8812341	0.51915	28	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.3078887	0.50496	29	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 1.249243	0.51253	30	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 2.907584	0.527	31	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 8.828188	0.52752	32	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 9.294619	0.52298	33	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 3.965685	0.51931	34	0	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 6.307299	0.52554	35	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 3.030385	0.51677	36	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 1.067723	0.23303	37	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 6.4382	0.52313	38	0	LogisticRegression	CDDD
