Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: saga:None | C: 3.430539	0.51183	0	0	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 0.04858538	0.50731	1	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.001131469	0.50252	2	0	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.02335451 | l1_ratio: 0.2542943	0.42356	3	0	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 1.841634	0.51224	4	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 9.261518	0.50448	5	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.01013106	0.50212	6	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 0.01776025	0.45437	7	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.01881363	0.50472	8	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.2792295	0.51214	9	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.5787143	0.5029	10	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.4701167	0.51588	11	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.054618	0.53203	12	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.221275	0.51097	13	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.034634	0.53095	14	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.509802	0.52227	15	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.09503808	0.47532	16	0	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 8.095425	0.50832	17	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 1.333267	0.51366	18	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 0.7055072	0.51289	19	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 3.260741	0.51868	20	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.398428	0.52524	21	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.1810694	0.50688	22	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 4.142999	0.50843	23	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.9349506	0.53145	24	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.6097649	0.52146	25	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.09004068	0.47017	26	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.9317026	0.51582	27	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.3505069	0.50307	28	0	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 3.237431 | l1_ratio: 0.99015	0.51893	29	0	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 0.1414182	0.50674	30	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 2.737102	0.51328	31	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.9792522	0.53167	32	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 5.339481	0.51311	33	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 0.9965714	0.51256	34	0	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 1.876215	0.51214	35	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.002154358	0.38892	36	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.04879758	0.50307	37	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.4325531	0.51588	38	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 2.505001	0.5076	39	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.918699	0.50475	40	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.514929	0.52242	41	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 5.668105	0.51287	42	0	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 0.2903381	0.51339	43	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 2.207717	0.51688	44	0	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 1.037473	0.5082	45	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.5103367	0.51674	46	0	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.003690904 | l1_ratio: 0.7295826	0.0	47	0	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 0.782338	0.51174	48	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.35347	0.52712	49	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 9.762956	0.50272	50	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.403492	0.52564	51	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.915655	0.51908	52	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.187802	0.53012	53	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.3964454	0.5154	54	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.6088807	0.52168	55	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 4.738935	0.50489	56	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.2281622	0.51215	57	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.1370507	0.50195	58	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.7322712	0.51654	59	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.250887	0.53044	60	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.252558	0.52975	61	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.068076	0.53096	62	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 3.278759	0.51294	63	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 2.501576	0.48823	0	1	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.5099498	0.49157	1	1	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.2334142	0.48798	2	1	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 0.007575847	0.4909	3	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 0.002102839	0.34328	4	1	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.09530862	0.48577	5	1	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.02400297	0.19109	6	1	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.01148925 | l1_ratio: 0.01310268	0.41734	7	1	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 3.439834	0.47994	8	1	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.002629795	0.0	9	1	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.4401958	0.4929	10	1	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.5924408	0.49144	11	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.8028219	0.47994	12	1	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 9.991264	0.49066	13	1	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.1336292	0.48374	14	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.06001613	0.48618	15	1	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.5186674	0.49175	16	1	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 2.168365	0.49032	17	1	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.335676	0.49179	18	1	LogisticRegression	ChemBERTa
