Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: sag:l2 | C: 0.1813584	0.4938	0	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.2324152	0.50744	1	0	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 0.0828077	0.385	2	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.7887165	0.50696	3	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.01513675	0.3064	4	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 0.7827786 | l1_ratio: 0.2034178	0.50848	5	0	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.1553847	0.48811	6	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 7.956221	0.49868	7	0	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.14654	0.50396	8	0	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.003780354	0.5064	9	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 4.499916 | l1_ratio: 0.1578429	0.50101	10	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.7449302	0.50744	11	0	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.03345132	0.4989	12	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 0.3633373 | l1_ratio: 0.6157213	0.49457	13	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 2.340312	0.50732	14	0	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 0.001274907	0.0	15	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.02505265	0.37204	16	0	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 0.3373432	0.5022	17	0	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 0.08153374	0.49992	18	0	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 2.015443	0.5015	19	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.3861789	0.5075	20	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.5243495	0.5075	21	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.5059826	0.50742	22	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.735028 | l1_ratio: 0.005036893	0.50322	23	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 3.763645	0.50715	24	0	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.08060018	0.47132	25	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 1.105657	0.49992	26	0	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 0.4935637	0.50611	27	0	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 0.03854534	0.49868	28	0	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 0.179765	0.4598	29	0	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 8.486108	0.50116	30	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.2609209	0.50772	31	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.2361448	0.50764	32	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.2042616	0.50728	33	0	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 0.1076451	0.43973	34	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.283474	0.50763	35	0	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.04822657	0.43578	36	0	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.25172	0.5057	37	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.1324774	0.48563	38	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.9011566	0.50431	39	0	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.007428795	0.4991	40	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.3178319	0.50775	41	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.2687208	0.50735	42	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.724351	0.50743	43	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.393639 | l1_ratio: 0.930969	0.51377	44	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.632318 | l1_ratio: 0.9888431	0.51275	45	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.319142 | l1_ratio: 0.9987471	0.51581	46	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 3.633582 | l1_ratio: 0.9870449	0.51101	47	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 4.910704 | l1_ratio: 0.9998973	0.51022	48	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 4.243722 | l1_ratio: 0.9854394	0.51128	49	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 2.978619 | l1_ratio: 0.9978992	0.5131	50	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 3.437681 | l1_ratio: 0.9820189	0.51306	51	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 2.563671 | l1_ratio: 0.9746245	0.51325	52	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 2.769574 | l1_ratio: 0.8976837	0.51185	53	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.530896 | l1_ratio: 0.873615	0.51545	54	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 6.10468 | l1_ratio: 0.7525331	0.5125	55	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.378012 | l1_ratio: 0.8204172	0.51958	56	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.348813 | l1_ratio: 0.8055945	0.51765	57	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.209248 | l1_ratio: 0.8153404	0.51641	58	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.778598 | l1_ratio: 0.799276	0.51386	59	0	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 1.163803	0.52024	60	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.051936 | l1_ratio: 0.7926323	0.51481	61	0	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 1.191586	0.51968	62	0	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 0.6643514	0.51502	63	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 1.71924 | l1_ratio: 0.8885502	0.491	0	1	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.001885061	0.5078	1	1	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 0.07753798	0.33176	2	1	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.006133994	0.50127	3	1	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 3.038905	0.52186	4	1	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.00373525	0.11556	5	1	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 0.001823475	0.0	6	1	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 0.009204689	0.0	7	1	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.1513882	0.47524	8	1	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 8.413532	0.51338	9	1	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.6482545	0.51555	10	1	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.9146344	0.51881	11	1	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 9.618964	0.51211	12	1	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 1.2831	0.52403	13	1	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 2.481561	0.52192	14	1	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.2992904	0.49624	15	1	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.03535513	0.40678	16	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 3.074778	0.52222	17	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.4402162	0.50676	18	1	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 4.382815	0.49916	19	1	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 1.029984	0.48576	20	1	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 2.24333	0.52202	21	1	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 5.212863	0.51757	22	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.812299	0.52453	23	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.1678842	0.47704	24	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.474126	0.52437	25	1	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 1.120639	0.49916	26	1	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.05279408	0.50325	27	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.3082374	0.4984	28	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.339309	0.52483	29	1	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 0.02302137 | l1_ratio: 0.006660647	0.37113	30	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.471705	0.524	31	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.5904138	0.51114	32	1	LogisticRegression	Morgan
solver_penalty: saga:None | C: 1.712474	0.50801	33	1	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.2469054	0.50102	34	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 4.445007	0.51798	35	1	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.6796665	0.5148	36	1	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 1.975805	0.49891	37	1	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 0.1096778	0.42398	38	1	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.4891116	0.50325	39	1	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 6.137898	0.5173	40	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.531853	0.52428	41	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.300728	0.5241	42	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 3.232958	0.52267	43	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.8172017	0.51724	44	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.539984	0.52428	45	1	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 7.39518	0.49891	46	1	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 3.06412	0.49464	47	1	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 0.372074 | l1_ratio: 0.2866399	0.47484	48	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.781299	0.5249	49	1	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.7368	0.51723	50	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.862832	0.5238	51	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 4.138293	0.51866	52	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.401363	0.5246	53	1	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.003461251	0.50782	54	1	LogisticRegression	Morgan
solver_penalty: sag:None | C: 2.561717	0.50047	55	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.9324659	0.51884	56	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.001061915	0.0	57	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 9.83773	0.51235	58	1	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.5060227	0.51	59	1	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.2095648	0.48851	60	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.241846	0.52401	61	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.972696	0.52399	62	1	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 1.487619	0.52457	63	1	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 0.06901217	0.50758	0	3	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.003685907	0.10934	1	3	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.1215496	0.47283	2	3	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.002327687	0.50893	3	3	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 0.01264161	0.50758	4	3	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.001858074	0.03458	5	3	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.07436892	0.50608	6	3	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 6.617609 | l1_ratio: 0.9363178	0.50389	7	3	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.02400568	0.36645	8	3	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 0.03629262	0.50758	9	3	LogisticRegression	Morgan
solver_penalty: saga:None | C: 1.260094	0.50845	10	3	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.8126002	0.50886	11	3	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.5325802	0.50882	12	3	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.5275027	0.5088	13	3	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 7.755145	0.50619	14	3	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 0.001074096	0.00036	15	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.006935033	0.522	16	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.004002144	0.522	17	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.007583878	0.522	18	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.007175494	0.522	19	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.004910385	0.522	20	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.01267823	0.522	21	3	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.009863915	0.31021	22	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.001115306	0.522	23	3	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.02872646	0.3856	24	3	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 0.002945329	0.0	25	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.176731	0.522	26	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.006468905	0.522	27	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.01792554	0.522	28	3	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.05169192	0.43304	29	3	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.004664105	0.50594	30	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.007877119	0.522	31	3	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.001892983	0.03644	32	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.003769109	0.522	33	3	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 0.01692764	0.32936	34	3	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 0.007291151	0.50758	35	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.1627083	0.522	36	3	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 0.002109259 | l1_ratio: 0.0499071	0.0	37	3	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 0.003143917	0.0	38	3	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 0.01194196	0.0	39	3	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.0879471	0.47269	40	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.005422046	0.522	41	3	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 0.004751485	0.522	42	3	LogisticRegression	Morgan
