Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: lbfgs:None | C: 0.00355616	0.47449	0	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.001131836	0.0	1	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.176322	0.40336	2	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.181542	0.48208	3	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.7436871	0.47263	4	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.006328376 | l1_ratio: 0.440916	0.0	5	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.02682882	0.17852	6	0	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.03269529	0.38254	7	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.2548625	0.48664	8	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.1245274 | l1_ratio: 0.05926626	0.43496	9	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 6.866474	0.48141	10	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.407044	0.47045	11	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.6736489	0.45789	12	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 5.691675	0.46447	13	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.3488476	0.48266	14	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.3003515	0.45296	15	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.04724131	0.47959	16	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 3.150788	0.46113	17	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.2722287	0.46158	18	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.07360744	0.42571	19	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.01338664	0.48023	20	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.775077	0.47671	21	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.5149312	0.4764	22	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.129771	0.48068	23	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.3583977	0.4855	24	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.3040426	0.45184	25	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.08289472	0.43	26	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.1333292	0.47815	27	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 2.951358	0.47051	28	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.4643559	0.47357	29	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.1860322	0.4461	30	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.9781945	0.47436	31	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 3.078678	0.4676	32	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.4101083	0.47454	33	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.1864038	0.47686	34	0	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 1.940717	0.4601	35	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.6534153	0.45988	36	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.002266316	0.07219	37	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.01810948	0.11919	38	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.07529893	0.46824	39	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.7693586	0.48146	40	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.095659	0.4747	41	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.2403282	0.47208	42	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.8112092 | l1_ratio: 0.993802	0.46351	43	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.4018983	0.47943	44	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.1147853	0.37314	45	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 8.467181	0.48158	46	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 8.157105	0.48187	47	0	LogisticRegression	MACCS
