Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 850 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 9 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.001473193	0.4863	0	0	RandomForestClassifier	MACCS
n_estimators: 925 | criterion: gini | max_depth: 6 | min_samples_leaf: 5 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.0001985412	0.06966	1	0	RandomForestClassifier	MACCS
n_estimators: 500 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 5 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.003049066	0.13161	2	0	RandomForestClassifier	MACCS
n_estimators: 925 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 6 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 1.74742e-05	0.35227	3	0	RandomForestClassifier	MACCS
n_estimators: 475 | criterion: gini | max_depth: 20 | min_samples_leaf: 1 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 0.001826131	0.12223	4	0	RandomForestClassifier	MACCS
n_estimators: 350 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 10 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 3.500038e-05	0.33097	5	0	RandomForestClassifier	MACCS
n_estimators: 375 | criterion: gini | max_depth: 3 | min_samples_leaf: 7 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.03816754	0.0	6	0	RandomForestClassifier	MACCS
n_estimators: 325 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 6 | min_samples_split: 4 | max_features: sqrt | ccp_alpha: 0.003514688	0.18405	7	0	RandomForestClassifier	MACCS
n_estimators: 700 | criterion: gini | max_depth: 19 | min_samples_leaf: 7 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.0001931053	0.50152	8	0	RandomForestClassifier	MACCS
n_estimators: 375 | criterion: gini | max_depth: 4 | min_samples_leaf: 1 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 0.0001446869	0.01544	9	0	RandomForestClassifier	MACCS
n_estimators: 725 | criterion: entropy | max_depth: 8 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.0002459828	0.48868	10	0	RandomForestClassifier	MACCS
n_estimators: 700 | criterion: entropy | max_depth: 10 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.0003015632	0.50819	11	0	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: entropy | max_depth: 10 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: None | ccp_alpha: 6.5213e-05	0.51076	12	0	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: entropy | max_depth: 10 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: None | ccp_alpha: 5.103999e-05	0.51365	13	0	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: entropy | max_depth: 10 | min_samples_leaf: 3 | min_samples_split: 3 | max_features: None | ccp_alpha: 4.670263e-05	0.49854	14	0	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: entropy | max_depth: 12 | min_samples_leaf: 2 | min_samples_split: 2 | max_features: None | ccp_alpha: 1.063236e-05	0.51915	15	0	RandomForestClassifier	MACCS
n_estimators: 225 | criterion: entropy | max_depth: 13 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: None | ccp_alpha: 1.022883e-05	0.51988	16	0	RandomForestClassifier	MACCS
n_estimators: 225 | criterion: entropy | max_depth: 13 | min_samples_leaf: 1 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 1.046345e-05	0.47834	17	0	RandomForestClassifier	MACCS
n_estimators: 225 | criterion: entropy | max_depth: 13 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: None | ccp_alpha: 0.0123493	0.15313	18	0	RandomForestClassifier	MACCS
n_estimators: 225 | criterion: entropy | max_depth: 7 | min_samples_leaf: 4 | min_samples_split: 4 | max_features: None | ccp_alpha: 1.833078e-05	0.4754	19	0	RandomForestClassifier	MACCS
n_estimators: 200 | criterion: entropy | max_depth: 17 | min_samples_leaf: 2 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.0005872672	0.51618	20	0	RandomForestClassifier	MACCS
