TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
776.90447	342.7278	359.21452	233.58347	0.59009	0.68382	0.40531	0.69389	0.54457	0.52646	0.50895	0.68882	0.56701	0.08853	0.71308	0.25688	0.12162	Total | Total	Weighted	0	XGBClassifier	RDKit
140.01827	74.52649	151.23935	102.54939	0.51794	0.48074	0.57913	0.65263	0.52993	0.52764	0.52536	0.55365	0.53415	0.05826	0.64909	0.27416	0.16393	Sex | Male	Weighted	0	XGBClassifier	RDKit
376.39344	156.41245	116.47232	77.65714	0.62461	0.76368	0.33177	0.70644	0.54773	0.50336	0.46258	0.73395	0.57428	0.10081	0.72596	0.25074	0.11062	Sex | Unknown	Weighted	0	XGBClassifier	RDKit
260.49276	111.78886	91.50285	53.37694	0.60691	0.74005	0.32317	0.69972	0.53161	0.48904	0.44988	0.71932	0.56762	0.06563	0.73601	0.24857	0.10113	Sex | Female	Weighted	0	XGBClassifier	RDKit
372.83984	185.44394	97.12718	69.48026	0.61019	0.79333	0.27255	0.66783	0.53294	0.465	0.40572	0.72519	0.56581	0.07477	0.69311	0.26005	0.09314	Age | Unknown	Weighted	0	XGBClassifier	RDKit
67.93124	38.64514	160.45483	98.86487	0.45586	0.29744	0.71896	0.63739	0.5082	0.46244	0.4208	0.40561	0.4771	0.01749	0.62478	0.29263	0.2207	Age | Elderly	Weighted	0	XGBClassifier	RDKit
216.84579	88.14094	87.91069	58.36883	0.60987	0.71154	0.3984	0.711	0.55497	0.53242	0.51079	0.71127	0.57609	0.10998	0.72505	0.2486	0.12582	Age | Adult	Weighted	0	XGBClassifier	RDKit
59.95811	15.52758	11.58634	2.12109	0.69601	0.83805	0.12018	0.7943	0.47912	0.31737	0.21022	0.81559	0.53715	-0.04613	0.81307	0.22428	0.14221	Age | Adolescent	Weighted	0	XGBClassifier	RDKit
59.32949	14.9702	2.13548	4.74842	0.7893	0.96526	0.24081	0.79852	0.60303	0.48212	0.38546	0.874	0.71303	0.31721	0.86756	0.16912	0.0785	Age | Children	Weighted	0	XGBClassifier	RDKit
126.03349	40.04683	42.9861	27.12243	0.64845	0.74567	0.40379	0.75887	0.57473	0.54872	0.52389	0.75221	0.60259	0.14759	0.77991	0.2358	0.14327	Weight | Low	Weighted	0	XGBClassifier	RDKit
127.58721	54.44339	51.62682	27.69675	0.59415	0.71193	0.33719	0.70091	0.52456	0.48995	0.45763	0.70638	0.5546	0.04959	0.71912	0.25417	0.12241	Weight | Average	Weighted	0	XGBClassifier	RDKit
448.04909	214.93456	189.22312	133.46793	0.58997	0.70307	0.38309	0.67581	0.54308	0.51898	0.49594	0.68917	0.56446	0.08777	0.69329	0.26276	0.11575	Weight | Unknown	Weighted	0	XGBClassifier	RDKit
75.23468	33.30302	75.37848	45.29636	0.52585	0.49952	0.57629	0.69317	0.53791	0.53654	0.53517	0.58062	0.54757	0.07208	0.72865	0.26627	0.16148	Weight | High	Weighted	0	XGBClassifier	RDKit
2566.0	1448.0	1227.0	980.0	0.57	0.67651	0.40362	0.63926	0.54007	0.52255	0.5056	0.65736	0.56254	0.0817	0.66518	0.25688	0.10554	Total | Total	Unweighted	0	XGBClassifier	RDKit
512.0	319.0	547.0	431.0	0.52128	0.48347	0.57467	0.61613	0.52907	0.5271	0.52514	0.5418	0.53362	0.05748	0.62021	0.27416	0.13026	Sex | Male	Unweighted	0	XGBClassifier	RDKit
1162.0	651.0	364.0	313.0	0.59237	0.76147	0.32469	0.64093	0.54308	0.49723	0.45526	0.69602	0.57266	0.09432	0.6684	0.25074	0.09141	Sex | Unknown	Unweighted	0	XGBClassifier	RDKit
892.0	478.0	316.0	236.0	0.58689	0.73841	0.33053	0.65109	0.53447	0.49403	0.45665	0.69201	0.56927	0.07363	0.69588	0.24857	0.10123	Sex | Female	Unweighted	0	XGBClassifier	RDKit
1036.0	724.0	292.0	263.0	0.56112	0.78012	0.26646	0.58864	0.52329	0.45593	0.39724	0.67098	0.55657	0.05396	0.62342	0.26005	0.1118	Age | Unknown	Unweighted	0	XGBClassifier	RDKit
275.0	163.0	566.0	435.0	0.4934	0.32699	0.72742	0.62785	0.52721	0.48771	0.45117	0.43002	0.49827	0.05828	0.60475	0.29263	0.17636	Age | Elderly	Unweighted	0	XGBClassifier	RDKit
776.0	401.0	313.0	249.0	0.58942	0.71258	0.38308	0.6593	0.54783	0.52247	0.49828	0.68491	0.56915	0.09895	0.68351	0.2486	0.09008	Age | Adult	Unweighted	0	XGBClassifier	RDKit
209.0	88.0	44.0	12.0	0.62606	0.82609	0.12	0.7037	0.47304	0.31485	0.20956	0.76	0.5285	-0.06649	0.72548	0.22428	0.11888	Age | Adolescent	Unweighted	0	XGBClassifier	RDKit
