TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
429.22461	391.07622	462.10143	580.04016	0.5419	0.48156	0.59729	0.52325	0.53942	0.53631	0.53322	0.50154	0.58296	0.07934	0.55788	0.28189	0.15593	Total | Total	Weighted	0	LogisticRegression	Klek
92.99775	90.21905	145.28047	205.20964	0.55875	0.39029	0.69462	0.50758	0.54245	0.52067	0.49977	0.44128	0.57374	0.0889	0.51759	0.29925	0.16731	Sex | Male	Weighted	0	LogisticRegression	Klek
139.25557	120.99231	131.96155	156.85713	0.5393	0.51345	0.56454	0.53509	0.53899	0.53839	0.53778	0.52404	0.58863	0.07809	0.58156	0.27293	0.15347	Sex | Female	Weighted	0	LogisticRegression	Klek
196.97129	179.86486	184.85941	217.97339	0.53221	0.51586	0.54789	0.5227	0.53188	0.53164	0.5314	0.51926	0.57863	0.06378	0.56421	0.2762	0.16203	Sex | Unknown	Weighted	0	LogisticRegression	Klek
24.20558	16.15512	21.61981	15.21024	0.51063	0.52821	0.48494	0.59973	0.50658	0.50611	0.50565	0.56171	0.56961	0.01293	0.6635	0.27819	0.19721	Age | Adolescent	Weighted	0	LogisticRegression	Klek
29.99036	13.06383	12.6787	26.61703	0.6874	0.70286	0.67078	0.69657	0.68682	0.68663	0.68644	0.6997	0.7206	0.37378	0.69315	0.22011	0.10331	Age | Children	Weighted	0	LogisticRegression	Klek
192.90871	202.73276	176.85679	237.32414	0.53127	0.52171	0.5393	0.48758	0.5305	0.53043	0.53036	0.50407	0.57883	0.06079	0.53573	0.27384	0.16094	Age | Unknown	Weighted	0	LogisticRegression	Klek
65.02639	66.71117	125.72736	157.97913	0.53679	0.34089	0.7031	0.49361	0.52199	0.48957	0.45916	0.40328	0.5488	0.04711	0.50181	0.31177	0.18506	Age | Elderly	Weighted	0	LogisticRegression	Klek
117.09357	92.41334	125.21877	142.90962	0.54436	0.48323	0.60729	0.5589	0.54526	0.54172	0.53821	0.51832	0.59145	0.09121	0.5964	0.28196	0.14627	Age | Adult	Weighted	0	LogisticRegression	Klek
67.26533	59.71754	72.06348	79.53543	0.52696	0.48278	0.57116	0.52972	0.52697	0.52511	0.52326	0.50516	0.58907	0.05415	0.59648	0.28043	0.16541	Weight | Average	Weighted	0	LogisticRegression	Klek
68.1039	47.07185	64.65678	58.68361	0.53157	0.51298	0.5549	0.5913	0.53394	0.53353	0.53312	0.54937	0.61232	0.06748	0.67248	0.2626	0.15547	Weight | Low	Weighted	0	LogisticRegression	Klek
246.15013	237.1015	250.39222	356.07918	0.55264	0.49573	0.60029	0.50936	0.54801	0.54551	0.54302	0.50245	0.58233	0.09626	0.52746	0.27577	0.15247	Weight | Unknown	Weighted	0	LogisticRegression	Klek
47.70525	47.18533	74.98895	85.74194	0.52205	0.38881	0.64503	0.50274	0.51692	0.5008	0.48517	0.4385	0.54589	0.035	0.54417	0.31828	0.19518	Weight | High	Weighted	0	LogisticRegression	Klek
1836.0	999.0	1957.0	1429.0	0.52484	0.48405	0.58855	0.64762	0.5363	0.53375	0.53121	0.55401	0.56831	0.07111	0.66964	0.28189	0.18324	Total | Total	Unweighted	0	LogisticRegression	Klek
412.0	238.0	647.0	512.0	0.51078	0.38905	0.68267	0.63385	0.53586	0.51535	0.49563	0.48215	0.55815	0.07363	0.63769	0.29925	0.2002	Sex | Male	Unweighted	0	LogisticRegression	Klek
628.0	316.0	580.0	398.0	0.53382	0.51987	0.55742	0.66525	0.53865	0.53832	0.53799	0.58364	0.57372	0.07471	0.69406	0.27293	0.177	Sex | Female	Unweighted	0	LogisticRegression	Klek
796.0	445.0	730.0	519.0	0.52811	0.52163	0.53838	0.64142	0.53	0.52994	0.52987	0.57535	0.56615	0.05846	0.67071	0.2762	0.17573	Sex | Unknown	Unweighted	0	LogisticRegression	Klek
139.0	57.0	114.0	43.0	0.51558	0.54941	0.43	0.70918	0.4897	0.48605	0.48242	0.61915	0.54087	-0.01867	0.7404	0.27819	0.21167	Age | Adolescent	Unweighted	0	LogisticRegression	Klek
202.0	44.0	80.0	49.0	0.66933	0.71631	0.52688	0.82114	0.6216	0.61434	0.60716	0.76515	0.63929	0.22108	0.82533	0.22011	0.2075	Age | Children	Unweighted	0	LogisticRegression	Klek
695.0	458.0	633.0	529.0	0.52873	0.52334	0.53597	0.60278	0.52966	0.52962	0.52958	0.56026	0.5674	0.05866	0.63965	0.27384	0.16339	Age | Unknown	Unweighted	0	LogisticRegression	Klek
