Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: saga:l1 | C: 0.02289812	0.23021	0	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 5.065585	0.50912	1	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 1.602383	0.50194	2	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.001943804	0.39136	3	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.1274342	0.49889	4	0	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.01546013	0.4627	5	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.9155526	0.50093	6	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.003876763 | l1_ratio: 0.8007434	0.0	7	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.01304187	0.46688	8	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.3952719	0.50715	9	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 5.480098	0.50796	10	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 6.777027	0.49799	11	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 8.531335	0.49789	12	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 2.447207	0.51316	13	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 1.708234	0.50992	14	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.2358955	0.50792	15	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 1.591484	0.50811	16	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.5545904	0.48986	17	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.04485096	0.50556	18	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 1.404101	0.50206	19	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.08856495	0.50418	20	0	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 3.342218	0.50714	21	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 3.310139	0.50628	22	0	LogisticRegression	Klek
