Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 325 | criterion: entropy | max_depth: 14 | min_samples_leaf: 8 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.006982464	0.47063	0	0	RandomForestClassifier	CDDD
n_estimators: 150 | criterion: log_loss | max_depth: 10 | min_samples_leaf: 10 | min_samples_split: 7 | max_features: sqrt | ccp_alpha: 4.674176e-05	0.44895	1	0	RandomForestClassifier	CDDD
n_estimators: 850 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.001410008	0.48272	2	0	RandomForestClassifier	CDDD
n_estimators: 950 | criterion: log_loss | max_depth: 9 | min_samples_leaf: 8 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.02000371	0.0	3	0	RandomForestClassifier	CDDD
n_estimators: 775 | criterion: entropy | max_depth: 10 | min_samples_leaf: 10 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.005708575	0.34902	4	0	RandomForestClassifier	CDDD
n_estimators: 725 | criterion: gini | max_depth: 17 | min_samples_leaf: 10 | min_samples_split: 3 | max_features: sqrt | ccp_alpha: 0.006930926	0.35266	5	0	RandomForestClassifier	CDDD
n_estimators: 600 | criterion: log_loss | max_depth: 8 | min_samples_leaf: 10 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 0.02762525	0.0	6	0	RandomForestClassifier	CDDD
n_estimators: 775 | criterion: gini | max_depth: 11 | min_samples_leaf: 5 | min_samples_split: 9 | max_features: None | ccp_alpha: 0.0005943445	0.48987	7	0	RandomForestClassifier	CDDD
n_estimators: 725 | criterion: entropy | max_depth: 14 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.00228688	0.45221	8	0	RandomForestClassifier	CDDD
n_estimators: 900 | criterion: gini | max_depth: 16 | min_samples_leaf: 6 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0004672329	0.4752	9	0	RandomForestClassifier	CDDD
n_estimators: 450 | criterion: gini | max_depth: 4 | min_samples_leaf: 1 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.0001471163	0.47341	10	0	RandomForestClassifier	CDDD
n_estimators: 875 | criterion: gini | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.0007166115	0.47332	11	0	RandomForestClassifier	CDDD
n_estimators: 1000 | criterion: log_loss | max_depth: 5 | min_samples_leaf: 5 | min_samples_split: 9 | max_features: None | ccp_alpha: 1.008737e-05	0.466	12	0	RandomForestClassifier	CDDD
n_estimators: 650 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 2 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.0006517927	0.4912	13	0	RandomForestClassifier	CDDD
n_estimators: 550 | criterion: gini | max_depth: 13 | min_samples_leaf: 1 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.0001900704	0.48218	14	0	RandomForestClassifier	CDDD
