TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
425.77094	414.10683	465.5551	557.00955	0.52768	0.47768	0.57358	0.50694	0.52563	0.52344	0.52126	0.49188	0.54963	0.05146	0.50736	0.25258	0.06318	Total | Total	Weighted	0	RandomForestClassifier	RDKit
150.84107	135.51551	120.37605	142.33393	0.53395	0.55616	0.51227	0.52676	0.53422	0.53377	0.53332	0.54106	0.55416	0.06849	0.52694	0.2495	0.05434	Sex | Female	Weighted	0	RandomForestClassifier	RDKit
199.37122	194.25897	182.45948	203.57928	0.51682	0.52215	0.51171	0.50649	0.51693	0.5169	0.51688	0.5142	0.54256	0.03385	0.50945	0.2504	0.07252	Sex | Unknown	Weighted	0	RandomForestClassifier	RDKit
75.55865	84.33235	162.71957	211.09634	0.5371	0.3171	0.71454	0.47256	0.51582	0.47601	0.43927	0.37953	0.54465	0.03434	0.47812	0.25887	0.06025	Sex | Male	Weighted	0	RandomForestClassifier	RDKit
51.54588	59.22483	139.20787	165.46547	0.52236	0.27022	0.73642	0.46534	0.50332	0.44609	0.39537	0.3419	0.53038	0.00748	0.48357	0.26459	0.07972	Age | Elderly	Weighted	0	RandomForestClassifier	RDKit
21.71866	18.58761	24.10673	12.77775	0.4469	0.47394	0.40738	0.53884	0.44066	0.43941	0.43815	0.50431	0.43997	-0.11669	0.56853	0.25388	0.1474	Age | Adolescent	Weighted	0	RandomForestClassifier	RDKit
191.43016	204.81742	178.33534	235.23948	0.52687	0.51771	0.53457	0.48311	0.52614	0.52607	0.526	0.49981	0.54795	0.05209	0.48321	0.25307	0.06927	Age | Unknown	Weighted	0	RandomForestClassifier	RDKit
31.65991	19.1102	11.00915	20.57066	0.63425	0.74199	0.5184	0.62359	0.6302	0.6202	0.61036	0.67766	0.67487	0.26759	0.68382	0.2187	0.08273	Age | Children	Weighted	0	RandomForestClassifier	RDKit
129.41633	112.36677	112.89601	122.95619	0.52838	0.53409	0.5225	0.53526	0.52829	0.52826	0.52823	0.53467	0.55713	0.05659	0.53505	0.24904	0.07339	Age | Adult	Weighted	0	RandomForestClassifier	RDKit
222.09325	250.03747	274.4491	343.14321	0.5187	0.44728	0.57848	0.47041	0.51288	0.50867	0.50449	0.45855	0.52944	0.02589	0.48117	0.25772	0.07347	Weight | Unknown	Weighted	0	RandomForestClassifier	RDKit
