Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 575 | max_depth: 11 | learning_rate: 0.01558695 | max_leaves: 12 | subsample: 0.6896036 | colsample_bytree: 0.9984178 | gamma: 4.334216 | reg_alpha: 1.841246 | reg_lambda: 3.272086	0.46146	0	0	XGBClassifier	CDDD
n_estimators: 925 | max_depth: 11 | learning_rate: 0.03470109 | max_leaves: 7 | subsample: 0.7415835 | colsample_bytree: 0.7732025 | gamma: 2.381011 | reg_alpha: 0.4903485 | reg_lambda: 1.129949	0.489	1	0	XGBClassifier	CDDD
n_estimators: 775 | max_depth: 11 | learning_rate: 0.02049109 | max_leaves: 7 | subsample: 0.6178192 | colsample_bytree: 0.6041985 | gamma: 1.184393 | reg_alpha: 3.909378 | reg_lambda: 4.257967	0.47509	2	0	XGBClassifier	CDDD
n_estimators: 825 | max_depth: 10 | learning_rate: 0.007654701 | max_leaves: 8 | subsample: 0.5599618 | colsample_bytree: 0.9584634 | gamma: 1.257678 | reg_alpha: 1.974244 | reg_lambda: 4.824955	0.45178	3	0	XGBClassifier	CDDD
n_estimators: 500 | max_depth: 10 | learning_rate: 0.03601561 | max_leaves: 6 | subsample: 0.7244695 | colsample_bytree: 0.7102663 | gamma: 0.3165907 | reg_alpha: 3.046432 | reg_lambda: 2.304721	0.48178	4	0	XGBClassifier	CDDD
n_estimators: 150 | max_depth: 6 | learning_rate: 0.01645353 | max_leaves: 12 | subsample: 0.766927 | colsample_bytree: 0.8787965 | gamma: 0.9928434 | reg_alpha: 1.091966 | reg_lambda: 1.113912	0.4175	5	0	XGBClassifier	CDDD
n_estimators: 800 | max_depth: 7 | learning_rate: 0.01702667 | max_leaves: 7 | subsample: 0.6796344 | colsample_bytree: 0.5642823 | gamma: 3.756283 | reg_alpha: 0.08802995 | reg_lambda: 0.6012776	0.48149	6	0	XGBClassifier	CDDD
n_estimators: 975 | max_depth: 3 | learning_rate: 0.08593415 | max_leaves: 6 | subsample: 0.8696068 | colsample_bytree: 0.9796623 | gamma: 4.301661 | reg_alpha: 1.205758 | reg_lambda: 0.8157647	0.46821	7	0	XGBClassifier	CDDD
n_estimators: 225 | max_depth: 7 | learning_rate: 0.05343807 | max_leaves: 0 | subsample: 0.8957178 | colsample_bytree: 0.8690699 | gamma: 3.059659 | reg_alpha: 4.701684 | reg_lambda: 0.6184496	0.46967	8	0	XGBClassifier	CDDD
n_estimators: 775 | max_depth: 5 | learning_rate: 0.03449363 | max_leaves: 12 | subsample: 0.5596104 | colsample_bytree: 0.8322982 | gamma: 2.869969 | reg_alpha: 2.417786 | reg_lambda: 0.9227393	0.47329	9	0	XGBClassifier	CDDD
n_estimators: 1000 | max_depth: 12 | learning_rate: 0.007439087 | max_leaves: 3 | subsample: 0.9643699 | colsample_bytree: 0.7190868 | gamma: 2.059531 | reg_alpha: 0.007121063 | reg_lambda: 2.009577	0.42212	10	0	XGBClassifier	CDDD
n_estimators: 425 | max_depth: 9 | learning_rate: 0.03749742 | max_leaves: 4 | subsample: 0.7517311 | colsample_bytree: 0.7019873 | gamma: 0.2783151 | reg_alpha: 3.299981 | reg_lambda: 2.210962	0.46338	11	0	XGBClassifier	CDDD
n_estimators: 525 | max_depth: 9 | learning_rate: 0.03410633 | max_leaves: 9 | subsample: 0.8196614 | colsample_bytree: 0.6714686 | gamma: 0.07398673 | reg_alpha: 3.262206 | reg_lambda: 2.924354	0.49277	12	0	XGBClassifier	CDDD
n_estimators: 350 | max_depth: 8 | learning_rate: 0.07007494 | max_leaves: 9 | subsample: 0.8266632 | colsample_bytree: 0.6392822 | gamma: 2.202869 | reg_alpha: 4.036186 | reg_lambda: 3.103683	0.49015	13	0	XGBClassifier	CDDD
n_estimators: 325 | max_depth: 8 | learning_rate: 0.09574883 | max_leaves: 10 | subsample: 0.832917 | colsample_bytree: 0.642003 | gamma: 1.665272 | reg_alpha: 4.95874 | reg_lambda: 3.318492	0.48198	14	0	XGBClassifier	CDDD
n_estimators: 625 | max_depth: 4 | learning_rate: 0.07009899 | max_leaves: 10 | subsample: 0.9927223 | colsample_bytree: 0.5215494 | gamma: 0.04749039 | reg_alpha: 3.94881 | reg_lambda: 3.314923	0.50849	15	0	XGBClassifier	CDDD
n_estimators: 625 | max_depth: 2 | learning_rate: 0.05564726 | max_leaves: 10 | subsample: 0.9860268 | colsample_bytree: 0.5095034 | gamma: 0.2422151 | reg_alpha: 3.409191 | reg_lambda: 4.027125	0.49646	16	0	XGBClassifier	CDDD
n_estimators: 650 | max_depth: 2 | learning_rate: 0.05162447 | max_leaves: 10 | subsample: 0.9917234 | colsample_bytree: 0.5002249 | gamma: 0.8156049 | reg_alpha: 4.175141 | reg_lambda: 4.077575	0.48513	17	0	XGBClassifier	CDDD
n_estimators: 675 | max_depth: 4 | learning_rate: 0.05884049 | max_leaves: 10 | subsample: 0.9306229 | colsample_bytree: 0.5463766 | gamma: 0.6289526 | reg_alpha: 2.785054 | reg_lambda: 3.979542	0.50522	18	0	XGBClassifier	CDDD
n_estimators: 675 | max_depth: 4 | learning_rate: 0.01113967 | max_leaves: 4 | subsample: 0.9202692 | colsample_bytree: 0.564031 | gamma: 0.6962832 | reg_alpha: 2.466326 | reg_lambda: 4.78552	0.44024	19	0	XGBClassifier	CDDD
n_estimators: 700 | max_depth: 4 | learning_rate: 0.07002146 | max_leaves: 11 | subsample: 0.9171692 | colsample_bytree: 0.5587248 | gamma: 1.91698 | reg_alpha: 2.808611 | reg_lambda: 3.614817	0.47262	20	0	XGBClassifier	CDDD
n_estimators: 600 | max_depth: 2 | learning_rate: 0.05157276 | max_leaves: 10 | subsample: 0.9675508 | colsample_bytree: 0.5090213 | gamma: 0.5245491 | reg_alpha: 3.634264 | reg_lambda: 4.040986	0.48426	21	0	XGBClassifier	CDDD
n_estimators: 450 | max_depth: 3 | learning_rate: 0.06595671 | max_leaves: 9 | subsample: 0.9923598 | colsample_bytree: 0.5362102 | gamma: 1.437741 | reg_alpha: 4.499565 | reg_lambda: 3.725684	0.47522	22	0	XGBClassifier	CDDD
