TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
501.11545	516.99663	390.21059	454.11975	0.51289	0.56221	0.46763	0.4922	0.51492	0.51274	0.51058	0.52488	0.52874	0.02994	0.50952	0.26732	0.13099	Total | Total	Weighted	0	XGBClassifier	MACCS
83.61429	116.32202	154.66393	179.10667	0.49226	0.35091	0.60626	0.4182	0.47859	0.46124	0.44452	0.38161	0.49645	-0.04399	0.43295	0.29012	0.15588	Sex | Male	Weighted	0	XGBClassifier	MACCS
242.0802	233.58008	139.7505	164.25817	0.52117	0.634	0.41288	0.50894	0.52344	0.51163	0.50008	0.56462	0.53437	0.04804	0.52504	0.26104	0.12165	Sex | Unknown	Weighted	0	XGBClassifier	MACCS
175.42096	167.09453	95.79616	110.75491	0.5212	0.64679	0.39861	0.51215	0.5227	0.50776	0.49324	0.57165	0.54435	0.04686	0.5506	0.254	0.12007	Sex | Female	Weighted	0	XGBClassifier	MACCS
233.98694	261.65385	135.77856	178.40305	0.50924	0.6328	0.40541	0.47209	0.5191	0.5065	0.4942	0.54076	0.53357	0.03906	0.48671	0.26637	0.13432	Age | Unknown	Weighted	0	XGBClassifier	MACCS
31.58952	24.94569	14.23587	6.41967	0.49241	0.68935	0.20467	0.55876	0.44701	0.37562	0.31563	0.61722	0.42189	-0.11758	0.57573	0.26376	0.16118	Age | Adolescent	Weighted	0	XGBClassifier	MACCS
59.81292	69.4935	130.94083	155.1968	0.51754	0.31356	0.69071	0.46257	0.50214	0.46538	0.43132	0.37376	0.51027	0.0046	0.46304	0.29095	0.1227	Age | Elderly	Weighted	0	XGBClassifier	MACCS
136.31026	128.67899	106.00208	106.64397	0.50866	0.56254	0.45318	0.5144	0.50786	0.50491	0.50197	0.53739	0.5283	0.01581	0.53632	0.26693	0.13449	Age | Adult	Weighted	0	XGBClassifier	MACCS
39.41581	32.2246	3.25325	7.45626	0.56918	0.92376	0.18791	0.55019	0.55583	0.41663	0.31229	0.68963	0.63402	0.16588	0.6821	0.18771	0.13212	Age | Children	Weighted	0	XGBClassifier	MACCS
90.10857	92.96533	49.22024	46.28764	0.48961	0.64673	0.3324	0.4922	0.48957	0.46365	0.43911	0.55898	0.50542	-0.02198	0.5042	0.26322	0.15868	Weight | Average	Weighted	0	XGBClassifier	MACCS
274.03505	308.70694	222.5073	284.47374	0.51252	0.55189	0.47957	0.47025	0.51573	0.51446	0.5132	0.50781	0.52942	0.03141	0.49281	0.27052	0.13258	Weight | Unknown	Weighted	0	XGBClassifier	MACCS
49.16894	53.75249	73.52526	79.17478	0.50209	0.40074	0.59562	0.47773	0.49818	0.48856	0.47913	0.43586	0.51817	-0.0037	0.50969	0.28119	0.13752	Weight | High	Weighted	0	XGBClassifier	MACCS
87.80289	61.57187	44.95779	44.18359	0.55336	0.66136	0.41779	0.5878	0.53958	0.52565	0.51209	0.62242	0.54579	0.08128	0.59492	0.24996	0.10465	Weight | Low	Weighted	0	XGBClassifier	MACCS
2111.0	1270.0	1682.0	1158.0	0.52548	0.55655	0.47694	0.62437	0.51674	0.51521	0.51368	0.58851	0.52693	0.0328	0.63513	0.26732	0.1387	Total | Total	Unweighted	0	XGBClassifier	MACCS
