Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: newton-cholesky:None | C: 0.01728317	0.47076	0	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.007958692 | l1_ratio: 0.9856688	0.0	1	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.0291338	0.39992	2	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.9110195	0.4707	3	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.0270955	0.39131	4	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.01720907	0.0	5	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.00151977	0.01298	6	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.02369276	0.47742	7	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.004374822	0.47927	8	0	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.07231829	0.4426	9	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.6189507	0.47654	10	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.001477236	0.47803	11	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.001107305	0.01296	12	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 8.41132	0.47441	13	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.002805136	0.48275	14	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.004553054	0.47292	15	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.004288368	0.0	16	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.197011	0.47798	17	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.003895121	0.4737	18	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.1021459	0.48184	19	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.1472598	0.48389	20	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.1744839	0.47248	21	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.6225561	0.48019	22	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.07023573	0.48114	23	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.2707134	0.46235	24	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 2.590418	0.4798	25	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.05893531	0.30447	26	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.1532868	0.46044	27	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 1.444971	0.46906	28	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.3163209 | l1_ratio: 0.1946667	0.46876	29	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.03817743	0.4714	30	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.09058489	0.47366	31	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.01329662	0.47884	32	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.04605468	0.47631	33	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.01069992	0.0	34	0	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.130347	0.45365	35	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.3785011	0.47968	36	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.09530229	0.44954	37	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 2.389596	0.47695	38	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.007626714	0.29385	39	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.02273123 | l1_ratio: 0.7491465	0.06615	40	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.9960707	0.47644	41	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.6419497	0.47642	42	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.4816336	0.47523	43	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.05954702	0.48011	44	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.2181306	0.46396	45	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 6.940104	0.47602	46	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.1203936	0.47571	47	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 1.106823	0.47026	48	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.03210691	0.40484	49	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.001776128	0.0	50	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.4751886	0.47344	51	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.05949832	0.48232	52	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.08279421	0.47228	53	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.02119088	0.47723	54	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.043456	0.42188	55	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.24314	0.47452	56	0	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.002786613	0.08829	57	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 1.698567	0.4762	58	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.05869833	0.30837	59	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.1535105	0.46158	60	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.0508117	0.48282	61	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.03131872	0.47758	62	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.007778811	0.47363	63	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.2356597 | l1_ratio: 0.6302028	0.49691	0	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.001287972	0.49507	1	1	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.05930535	0.34018	2	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.01533559	0.39554	3	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.002104438	0.13247	4	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.06178078	0.4997	5	1	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 3.694483	0.49466	6	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.3474906	0.49184	7	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.02927502	0.49083	8	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 5.908496	0.50097	9	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 8.128381	0.48991	10	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.238165	0.49634	11	1	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.01108596	0.35424	12	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.8908793	0.49036	13	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.1313422	0.4967	14	1	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.00507186	0.28597	15	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.8890586	0.48963	16	1	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.04607532	0.46536	17	1	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 3.288161	0.48893	18	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.1505517	0.49308	19	1	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.5433007	0.49774	20	1	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 9.586972	0.49401	21	1	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 2.220476	0.49933	22	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 3.009885	0.50158	23	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 4.493055	0.50133	24	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 4.631304	0.49036	25	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.702859	0.49483	26	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 5.854211	0.5036	27	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 2.484966	0.49245	28	1	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.4526943 | l1_ratio: 0.009711986	0.49484	29	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.2505676	0.49946	30	1	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 6.211605	0.49307	31	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 9.801587	0.4947	32	1	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 4.339856	0.49478	33	1	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 1.535949	0.49064	34	1	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 5.343861	0.49545	35	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 2.698274	0.50149	36	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 1.001508	0.49889	37	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.4894863	0.49641	38	1	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 2.697063	0.49728	39	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 1.954743	0.49686	40	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 6.128373	0.49214	41	1	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 4.557334	0.49041	42	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 3.079627	0.49969	43	1	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 6.961998 | l1_ratio: 0.9804453	0.49575	44	1	LogisticRegression	MACCS
