TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
297.60014	373.30705	453.68199	675.91415	0.54069	0.39612	0.64421	0.44358	0.52016	0.50516	0.49058	0.41851	0.53835	0.04113	0.44254	0.30582	0.18979	Total | Total	Weighted	0	LogisticRegression	RDKit
120.85567	158.73182	191.10364	291.32432	0.54091	0.38741	0.64731	0.43226	0.51736	0.50077	0.48472	0.40861	0.53425	0.03542	0.43327	0.30226	0.18971	Sex | Unknown	Weighted	0	LogisticRegression	RDKit
108.09608	112.21011	131.18961	177.88907	0.54022	0.45174	0.6132	0.49066	0.53247	0.52632	0.52023	0.4704	0.54279	0.06557	0.47407	0.29969	0.18437	Sex | Female	Weighted	0	LogisticRegression	RDKit
68.64839	102.36512	131.38874	206.70076	0.54085	0.34318	0.66879	0.40142	0.50599	0.47908	0.4536	0.37002	0.52933	0.01238	0.41789	0.31725	0.19556	Sex | Male	Weighted	0	LogisticRegression	RDKit
23.06732	16.2113	16.1123	23.74387	0.59154	0.58876	0.59426	0.58727	0.59151	0.5915	0.5915	0.58802	0.63343	0.18302	0.63154	0.25889	0.11411	Age | Children	Weighted	0	LogisticRegression	RDKit
91.06118	98.8726	122.54022	141.28611	0.51205	0.42631	0.5883	0.47944	0.50731	0.5008	0.49438	0.45132	0.51226	0.01479	0.47088	0.31473	0.21425	Age | Adult	Weighted	0	LogisticRegression	RDKit
17.64425	11.76638	22.6165	19.81201	0.52139	0.43825	0.62739	0.59993	0.53282	0.52436	0.51603	0.5065	0.54513	0.06626	0.59623	0.31655	0.18457	Age | Adolescent	Weighted	0	LogisticRegression	RDKit
104.94761	162.70248	183.69686	345.90133	0.56551	0.36359	0.6801	0.39211	0.52184	0.49727	0.47385	0.37731	0.54198	0.04446	0.39269	0.29815	0.17054	Age | Unknown	Weighted	0	LogisticRegression	RDKit
60.87978	83.75429	108.71611	145.17083	0.51704	0.35897	0.63414	0.42092	0.49656	0.47711	0.45843	0.38749	0.51427	-0.00708	0.42726	0.31701	0.22211	Age | Elderly	Weighted	0	LogisticRegression	RDKit
59.29029	75.96897	65.41801	64.26205	0.46634	0.47543	0.45826	0.43835	0.46685	0.46677	0.46669	0.45614	0.47138	-0.06621	0.44752	0.31358	0.26209	Weight | Average	Weighted	0	LogisticRegression	RDKit
133.4417	187.67892	262.0619	481.00247	0.57738	0.3374	0.71933	0.41555	0.52836	0.49265	0.45934	0.37242	0.54617	0.05972	0.401	0.30337	0.17193	Weight | Unknown	Weighted	0	LogisticRegression	RDKit
57.26679	49.33512	62.85798	56.98981	0.50456	0.47673	0.536	0.5372	0.50636	0.50549	0.50463	0.50516	0.51633	0.01272	0.54213	0.3004	0.23592	Weight | Low	Weighted	0	LogisticRegression	RDKit
47.60136	60.32404	63.3441	73.65982	0.49509	0.42905	0.54977	0.44106	0.48941	0.48567	0.48197	0.43497	0.50514	-0.02124	0.47461	0.30914	0.23001	Weight | High	Weighted	0	LogisticRegression	RDKit
1597.0	893.0	2111.0	1613.0	0.51658	0.43069	0.64366	0.64137	0.53717	0.52651	0.51607	0.51533	0.56304	0.07442	0.64068	0.30582	0.22406	Total | Total	Unweighted	0	LogisticRegression	RDKit
637.0	350.0	833.0	669.0	0.52471	0.43333	0.65653	0.64539	0.54493	0.53338	0.52208	0.51852	0.56862	0.09033	0.63949	0.30226	0.21638	Sex | Unknown	Unweighted	0	LogisticRegression	RDKit
569.0	276.0	627.0	449.0	0.52993	0.47575	0.61931	0.67337	0.54753	0.54281	0.53812	0.55757	0.5664	0.09283	0.66308	0.29969	0.22474	Sex | Female	Unweighted	0	LogisticRegression	RDKit
391.0	267.0	651.0	495.0	0.49113	0.37524	0.64961	0.59422	0.51242	0.49372	0.4757	0.46	0.54576	0.0255	0.61367	0.31725	0.24063	Sex | Male	Unweighted	0	LogisticRegression	RDKit
168.0	42.0	114.0	51.0	0.584	0.59574	0.54839	0.8	0.57207	0.57158	0.57109	0.68293	0.59769	0.12539	0.80813	0.25889	0.22458	Age | Children	Unweighted	0	LogisticRegression	RDKit
486.0	266.0	595.0	388.0	0.50375	0.44958	0.59327	0.64628	0.52143	0.51645	0.51153	0.53028	0.53312	0.04191	0.64252	0.31473	0.24296	Age | Adult	Unweighted	0	LogisticRegression	RDKit
113.0	50.0	140.0	50.0	0.46176	0.44664	0.5	0.69325	0.47332	0.47257	0.47182	0.54327	0.49253	-0.04823	0.70288	0.31655	0.27676	Age | Adolescent	Unweighted	0	LogisticRegression	RDKit
499.0	323.0	756.0	735.0	0.53351	0.39761	0.69471	0.60706	0.54616	0.52557	0.50575	0.4805	0.57462	0.09609	0.60292	0.29815	0.19965	Age | Unknown	Unweighted	0	LogisticRegression	RDKit
331.0	212.0	506.0	389.0	0.5007	0.39546	0.64725	0.60958	0.52136	0.50593	0.49096	0.47971	0.54887	0.04346	0.61139	0.31701	0.24178	Age | Elderly	Unweighted	0	LogisticRegression	RDKit
371.0	204.0	394.0	219.0	0.49663	0.48497	0.51773	0.64522	0.50135	0.50108	0.50081	0.55373	0.51065	0.00258	0.64822	0.31358	0.24849	Weight | Average	Unweighted	0	LogisticRegression	RDKit
545.0	375.0	958.0	916.0	0.52291	0.36261	0.70953	0.59239	0.53607	0.50723	0.47994	0.44986	0.57195	0.07653	0.58516	0.30337	0.21707	Weight | Unknown	Unweighted	0	LogisticRegression	RDKit
370.0	165.0	377.0	209.0	0.5165	0.49531	0.55882	0.69159	0.52707	0.52611	0.52516	0.57722	0.54559	0.05111	0.7002	0.3004	0.24126	Weight | Low	Unweighted	0	LogisticRegression	RDKit
311.0	149.0	382.0	269.0	0.52205	0.44877	0.64354	0.67609	0.54616	0.5374	0.52879	0.53946	0.55844	0.09079	0.68129	0.30914	0.21459	Weight | High	Unweighted	0	LogisticRegression	RDKit
161.00297	188.16096	229.05694	533.35133	0.62466	0.41276	0.73921	0.46111	0.57599	0.55238	0.52973	0.4356	0.60386	0.15626	0.44088	0.27172	0.10624	Total | Total	Weighted	1	LogisticRegression	RDKit
60.66153	69.56438	66.07751	134.42442	0.58987	0.47863	0.65898	0.46582	0.56881	0.56161	0.55451	0.47214	0.58239	0.13693	0.45536	0.28038	0.12348	Sex | Female	Weighted	1	LogisticRegression	RDKit
33.08085	35.54117	64.07299	174.96937	0.67622	0.3405	0.83117	0.48207	0.58583	0.53199	0.48309	0.3991	0.63286	0.19168	0.43094	0.26749	0.07838	Sex | Male	Weighted	1	LogisticRegression	RDKit
67.26059	83.05541	98.90644	223.95754	0.61545	0.40478	0.72947	0.44746	0.56712	0.54339	0.52065	0.42505	0.59263	0.13764	0.4395	0.268	0.11244	Sex | Unknown	Weighted	1	LogisticRegression	RDKit
56.18682	63.62054	56.8418	131.0327	0.60848	0.4971	0.67316	0.46898	0.58513	0.57847	0.57189	0.48263	0.60889	0.16833	0.47085	0.27146	0.11272	Age | Adult	Weighted	1	LogisticRegression	RDKit
25.81745	29.44156	55.24254	123.61649	0.63828	0.3185	0.80764	0.46721	0.56307	0.50718	0.45684	0.37878	0.62038	0.14133	0.4398	0.2762	0.09568	Age | Elderly	Weighted	1	LogisticRegression	RDKit
51.01732	60.58192	106.62512	260.24787	0.65054	0.32363	0.81117	0.45715	0.5674	0.51236	0.46267	0.37897	0.59723	0.14982	0.41251	0.27183	0.09196	Age | Unknown	Weighted	1	LogisticRegression	RDKit
14.03661	19.5747	4.81537	12.72661	0.5232	0.74457	0.394	0.41762	0.56928	0.54163	0.51531	0.5351	0.55906	0.14082	0.49113	0.26183	0.26328	Age | Adolescent	Weighted	1	LogisticRegression	RDKit
13.94477	14.94224	5.53211	5.72766	0.49001	0.71597	0.2771	0.48273	0.49653	0.44542	0.39956	0.57666	0.50809	-0.00771	0.51299	0.26459	0.18277	Age | Children	Weighted	1	LogisticRegression	RDKit
57.11574	87.79158	143.71287	323.97412	0.62209	0.2844	0.78679	0.39415	0.5356	0.47304	0.41778	0.3304	0.55678	0.07864	0.36742	0.2894	0.12527	Weight | Unknown	Weighted	1	LogisticRegression	RDKit
40.80793	34.8713	32.55576	65.0527	0.6109	0.55624	0.65102	0.53922	0.60363	0.60177	0.59991	0.5476	0.64019	0.20647	0.54159	0.26055	0.10021	Weight | Average	Weighted	1	LogisticRegression	RDKit
37.32521	36.45607	24.47045	59.48735	0.61375	0.60401	0.62003	0.50589	0.61202	0.61197	0.61191	0.55061	0.62682	0.21918	0.49248	0.26303	0.11422	Weight | Low	Weighted	1	LogisticRegression	RDKit
25.75409	29.04201	28.31786	84.83716	0.65847	0.47629	0.74498	0.47	0.61063	0.59567	0.58108	0.47312	0.67186	0.2205	0.49161	0.25036	0.10709	Weight | High	Weighted	1	LogisticRegression	RDKit
828.0	467.0	1022.0	1078.0	0.56141	0.44757	0.69773	0.63938	0.57265	0.55882	0.54533	0.52655	0.59755	0.14896	0.62319	0.27172	0.15893	Total | Total	Unweighted	1	LogisticRegression	RDKit
308.0	172.0	310.0	270.0	0.54528	0.49838	0.61086	0.64167	0.55462	0.55176	0.54892	0.56102	0.56474	0.10821	0.63583	0.28038	0.17843	Sex | Female	Unweighted	1	LogisticRegression	RDKit
