Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: newton-cg:None | C: 0.6649249	0.49808	0	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.7995409	0.50356	1	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.03650228	0.28094	2	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.192831	0.47027	3	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 5.909814	0.49379	4	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.056039	0.49929	5	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 1.249247	0.4931	6	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 9.146049	0.49974	7	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.002128892	0.2161	8	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 3.107053	0.29112	9	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.007560948 | l1_ratio: 0.98446	0.0085	10	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 9.542152	0.50199	11	0	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.388739	0.33006	12	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 1.816779	0.49618	13	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 9.247035	0.49998	14	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.1763432	0.49903	15	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.7319204	0.50838	16	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.01926258	0.50474	17	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.0153128	0.11945	18	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.003670797	0.50847	19	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.001116692	0.50559	20	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.001079725	0.5035	21	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.003400377	0.29986	22	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.004056781	0.50412	23	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.00103358	0.50594	24	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.008315381	0.50354	25	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.002408558	0.0	26	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.08359679 | l1_ratio: 0.03202431	0.29038	27	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.006532281	0.37122	28	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.3337466	0.50069	29	0	LogisticRegression	RDKit
