TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
457.1159	544.78873	294.16623	504.43247	0.53404	0.60845	0.48077	0.45625	0.54461	0.54085	0.53712	0.52147	0.55453	0.08855	0.45869	0.2501	0.09791	Total | Total	Weighted	0	RandomForestClassifier	MACCS
189.88407	231.61939	122.07524	218.43675	0.53584	0.60868	0.48535	0.45049	0.54702	0.54353	0.54007	0.51777	0.55737	0.09301	0.46077	0.24959	0.10648	Sex | Unknown	Weighted	0	RandomForestClassifier	MACCS
171.11106	182.61911	68.17463	107.48007	0.52625	0.71509	0.37049	0.48373	0.54279	0.51472	0.4881	0.57709	0.56504	0.09046	0.50859	0.24286	0.08607	Sex | Female	Weighted	0	RandomForestClassifier	MACCS
96.12077	130.55023	103.91636	178.51565	0.53945	0.48051	0.5776	0.42405	0.52906	0.52682	0.5246	0.45052	0.53109	0.05711	0.40027	0.25851	0.09977	Sex | Male	Weighted	0	RandomForestClassifier	MACCS
81.25934	91.70848	88.33655	137.21664	0.54822	0.47914	0.5994	0.46979	0.53927	0.5359	0.53256	0.47442	0.55727	0.07834	0.47357	0.25764	0.06666	Age | Elderly	Weighted	0	RandomForestClassifier	MACCS
31.27126	28.60786	7.90836	11.34731	0.53856	0.79815	0.284	0.52224	0.54108	0.4761	0.41894	0.63137	0.54156	0.09572	0.57421	0.22418	0.06438	Age | Children	Weighted	0	RandomForestClassifier	MACCS
25.88271	21.6103	14.37804	9.96809	0.49904	0.64288	0.31566	0.54498	0.47927	0.45048	0.42342	0.58989	0.50139	-0.04348	0.59302	0.24894	0.09829	Age | Adolescent	Weighted	0	RandomForestClassifier	MACCS
158.06648	242.46097	130.57799	266.14284	0.53209	0.54762	0.52328	0.39465	0.53545	0.53531	0.53517	0.45871	0.53872	0.06815	0.38797	0.25338	0.14373	Age | Unknown	Weighted	0	RandomForestClassifier	MACCS
160.63611	160.40112	52.96529	79.75759	0.52978	0.75204	0.3321	0.50037	0.54207	0.49975	0.46074	0.60091	0.55427	0.09232	0.509	0.24531	0.07979	Age | Adult	Weighted	0	RandomForestClassifier	MACCS
67.25874	70.54727	43.68672	63.43659	0.5336	0.60623	0.47346	0.48807	0.53985	0.53575	0.53169	0.54077	0.55221	0.07997	0.50754	0.24794	0.06054	Weight | High	Weighted	0	RandomForestClassifier	MACCS
89.35965	68.32517	30.76512	37.99976	0.56242	0.74389	0.35739	0.5667	0.55064	0.51562	0.48282	0.64332	0.59104	0.10992	0.59115	0.23821	0.03115	Weight | Low	Weighted	0	RandomForestClassifier	MACCS
94.26908	104.10967	30.43922	36.12135	0.49215	0.75592	0.25758	0.4752	0.50675	0.44126	0.38424	0.58355	0.53057	0.01554	0.48698	0.24801	0.10159	Weight | Average	Weighted	0	RandomForestClassifier	MACCS
206.22843	301.80662	189.27517	366.87477	0.53854	0.52143	0.54865	0.40593	0.53504	0.53487	0.5347	0.45649	0.53053	0.06781	0.39619	0.25662	0.13146	Weight | Unknown	Weighted	0	RandomForestClassifier	MACCS
2245.0	1349.0	1463.0	1157.0	0.54747	0.60545	0.46169	0.62465	0.53357	0.52871	0.52389	0.6149	0.54476	0.0667	0.62922	0.2501	0.08716	Total | Total	Unweighted	0	RandomForestClassifier	MACCS
898.0	546.0	572.0	473.0	0.55082	0.61088	0.46418	0.62188	0.53753	0.5325	0.52752	0.61633	0.54985	0.07479	0.62914	0.24959	0.08041	Sex | Unknown	Unweighted	0	RandomForestClassifier	MACCS
