TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
195.13833	285.88171	556.1438	763.33949	0.53234	0.25974	0.72753	0.40568	0.49364	0.43471	0.38281	0.31671	0.49691	-0.01419	0.41533	0.2777	0.09054	Total | Total	Weighted	0	RandomForestClassifier	Morgan
77.88467	118.59077	234.07464	331.46537	0.53719	0.24966	0.7365	0.39641	0.49308	0.42881	0.37291	0.30637	0.50224	-0.01556	0.41158	0.27657	0.08358	Sex | Unknown	Weighted	0	RandomForestClassifier	Morgan
69.92132	87.20558	169.36437	202.8936	0.51534	0.29221	0.69939	0.445	0.4958	0.45207	0.4122	0.35277	0.49608	-0.00915	0.44937	0.27878	0.09412	Sex | Female	Weighted	0	RandomForestClassifier	Morgan
47.33234	80.08536	152.70479	228.98052	0.54274	0.23662	0.74088	0.37147	0.48875	0.41869	0.35868	0.28909	0.48289	-0.02537	0.38348	0.2781	0.10097	Sex | Male	Weighted	0	RandomForestClassifier	Morgan
66.54079	122.11535	222.10368	386.48846	0.56824	0.23053	0.7599	0.35271	0.49521	0.41854	0.35374	0.27882	0.50556	-0.01082	0.36054	0.27217	0.08892	Age | Unknown	Weighted	0	RandomForestClassifier	Morgan
11.23684	7.42558	29.02391	24.15281	0.49262	0.2791	0.76485	0.60211	0.52198	0.46203	0.40897	0.38141	0.54262	0.04975	0.60478	0.28695	0.12463	Age | Adolescent	Weighted	0	RandomForestClassifier	Morgan
67.86137	84.65018	145.74003	155.50853	0.49226	0.3177	0.64752	0.44496	0.48261	0.45356	0.42626	0.37071	0.46693	-0.03675	0.45624	0.27981	0.116	Age | Adult	Weighted	0	RandomForestClassifier	Morgan
12.22086	13.29094	26.95876	26.66423	0.49138	0.31192	0.66735	0.47903	0.48964	0.45625	0.42513	0.37782	0.55895	-0.02217	0.56362	0.27392	0.10978	Age | Children	Weighted	0	RandomForestClassifier	Morgan
37.27847	58.39966	132.31742	170.52546	0.52144	0.21981	0.7449	0.38962	0.48235	0.40464	0.33945	0.28106	0.46259	-0.04086	0.4	0.28275	0.10084	Age | Elderly	Weighted	0	RandomForestClassifier	Morgan
83.97677	146.08161	311.52683	522.59978	0.56999	0.21233	0.78154	0.36502	0.49693	0.40736	0.33393	0.26848	0.50466	-0.0072	0.3735	0.27215	0.08148	Weight | Unknown	Weighted	0	RandomForestClassifier	Morgan
31.28126	46.26621	79.6642	87.71765	0.48585	0.28195	0.65469	0.40338	0.46832	0.42964	0.39415	0.33191	0.45127	-0.0678	0.44802	0.28325	0.12544	Weight | High	Weighted	0	RandomForestClassifier	Morgan
41.48593	56.90046	83.22237	83.33056	0.47111	0.33266	0.59424	0.42166	0.46345	0.44461	0.42654	0.37191	0.43755	-0.07552	0.42545	0.28368	0.13235	Weight | Average	Weighted	0	RandomForestClassifier	Morgan
38.39437	36.63343	81.7304	69.6915	0.47731	0.31962	0.65546	0.51174	0.48754	0.45771	0.4297	0.39348	0.49268	-0.02642	0.5268	0.27968	0.13376	Weight | Low	Weighted	0	RandomForestClassifier	Morgan
