TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
242.14605	336.67923	509.13608	712.54197	0.53023	0.32231	0.67912	0.41834	0.50071	0.46785	0.43715	0.3641	0.49912	0.00151	0.41022	0.30031	0.16568	Total | Total	Weighted	0	XGBClassifier	Morgan
97.28186	143.91722	214.67745	306.13892	0.52941	0.31184	0.68022	0.40333	0.49603	0.46057	0.42764	0.35173	0.49659	-0.00839	0.40117	0.30101	0.16844	Sex | Unknown	Weighted	0	XGBClassifier	Morgan
46.15197	72.68473	153.88516	236.38115	0.55496	0.23072	0.76482	0.38836	0.49777	0.42007	0.3545	0.28947	0.50004	-0.00515	0.38823	0.30768	0.15678	Sex | Male	Weighted	0	XGBClassifier	Morgan
98.71222	120.07728	140.57347	170.0219	0.50763	0.41253	0.58608	0.45117	0.49931	0.49171	0.48422	0.43099	0.48578	-0.0014	0.43558	0.29248	0.17028	Sex | Female	Weighted	0	XGBClassifier	Morgan
34.26588	58.98056	135.33001	169.94456	0.51242	0.20204	0.74236	0.36748	0.4722	0.38728	0.31764	0.26073	0.45052	-0.06493	0.3806	0.32549	0.1819	Age | Elderly	Weighted	0	XGBClassifier	Morgan
25.66109	16.94525	14.59966	14.63314	0.5609	0.63737	0.46339	0.60228	0.55038	0.54346	0.53663	0.61933	0.60765	0.1018	0.64212	0.24999	0.12202	Age | Adolescent	Weighted	0	XGBClassifier	Morgan
79.82251	91.18011	133.77889	148.9786	0.50423	0.3737	0.62033	0.46679	0.49702	0.48147	0.46642	0.41509	0.47509	-0.00615	0.44904	0.30209	0.17412	Age | Adult	Weighted	0	XGBClassifier	Morgan
28.72344	24.25349	10.45618	15.70168	0.56139	0.73312	0.39298	0.54219	0.56305	0.53675	0.51168	0.62336	0.58411	0.13403	0.54188	0.22788	0.12404	Age | Children	Weighted	0	XGBClassifier	Morgan
73.67313	145.31982	214.97134	363.28399	0.54808	0.25524	0.71428	0.33642	0.48476	0.42698	0.37609	0.29026	0.49218	-0.03282	0.34555	0.30274	0.16856	Age | Unknown	Weighted	0	XGBClassifier	Morgan
55.48132	56.70719	64.64345	49.61774	0.46412	0.46186	0.46666	0.49454	0.46426	0.46426	0.46425	0.47764	0.44751	-0.07134	0.5054	0.29261	0.18544	Weight | Low	Weighted	0	XGBClassifier	Morgan
98.58945	151.56446	296.91415	517.11693	0.57857	0.24928	0.77334	0.39412	0.51131	0.43906	0.37702	0.30539	0.51097	0.02577	0.37252	0.2958	0.1471	Weight | Unknown	Weighted	0	XGBClassifier	Morgan
