Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: saga:None | C: 0.552414	0.32524	0	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.04308768	0.49294	1	0	LogisticRegression	CDDD
solver_penalty: sag:None | C: 0.01910511	0.30914	2	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 3.479269	0.50502	3	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 1.693448	0.51445	4	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.1924779	0.4943	5	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.9285365	0.51156	6	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 0.002924786	0.3248	7	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 0.02790297	0.15789	8	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 0.02018533	0.23684	9	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 6.582337	0.23302	10	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.9948586	0.51146	11	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 1.43409	0.51582	12	0	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 2.814987	0.37836	13	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.2251692	0.49851	14	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 7.246776	0.49472	15	0	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 1.5877 | l1_ratio: 0.6938159	0.32418	16	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.00102705	0.50894	17	0	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.4028836	0.49487	18	0	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.1056014	0.47698	19	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 3.640166	0.51138	20	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.9607229	0.51216	21	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 1.570122	0.51566	22	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 1.849092	0.51474	23	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 9.164968	0.50406	24	0	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.2547144	0.49185	25	0	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.5638203	0.50411	26	0	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 0.08684656	0.3098	27	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 2.048229	0.5178	28	0	LogisticRegression	CDDD
solver_penalty: sag:None | C: 0.5590451	0.37858	29	0	LogisticRegression	CDDD
