TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1292.94099	400.04104	819.23649	436.84022	0.58655	0.61214	0.52199	0.76371	0.56706	0.56527	0.56348	0.67957	0.57574	0.12228	0.75766	0.30394	0.21742	Total | Total	Weighted	0	LogisticRegression	Klek
294.95606	121.0589	244.73901	155.41823	0.55181	0.54652	0.56214	0.709	0.55433	0.55428	0.55422	0.61725	0.55197	0.10287	0.69114	0.32606	0.22944	Sex | Male	Weighted	0	LogisticRegression	Klek
585.86951	157.98821	322.13236	161.86331	0.60898	0.64523	0.50606	0.78761	0.57564	0.57142	0.56723	0.70935	0.58808	0.13588	0.78414	0.2924	0.20649	Sex | Unknown	Weighted	0	LogisticRegression	Klek
412.11542	120.99393	252.36512	119.55868	0.58746	0.62021	0.49702	0.77304	0.55861	0.55521	0.55182	0.68824	0.57005	0.10525	0.77163	0.29727	0.22505	Sex | Female	Weighted	0	LogisticRegression	Klek
323.65161	109.31256	224.07674	108.80621	0.56468	0.5909	0.49884	0.74753	0.54487	0.54292	0.54098	0.66005	0.5588	0.0817	0.74328	0.31053	0.22577	Age | Adult	Weighted	0	LogisticRegression	Klek
64.78406	22.26413	40.85763	21.22782	0.57674	0.61324	0.48809	0.74423	0.55066	0.5471	0.54355	0.67242	0.56185	0.09343	0.76504	0.29923	0.20179	Age | Children	Weighted	0	LogisticRegression	Klek
97.98274	17.7238	52.38791	16.21304	0.61959	0.65161	0.47774	0.84682	0.56467	0.55794	0.55129	0.7365	0.58343	0.10371	0.84005	0.29237	0.2566	Age | Adolescent	Weighted	0	LogisticRegression	Klek
592.51502	149.63972	279.12774	146.06322	0.6327	0.67977	0.49395	0.79837	0.58686	0.57946	0.57215	0.73431	0.59391	0.157	0.7943	0.28454	0.20128	Age | Unknown	Weighted	0	LogisticRegression	Klek
214.00756	101.10083	222.78647	144.52993	0.52539	0.48995	0.5884	0.67916	0.53918	0.53693	0.53468	0.56924	0.53402	0.07544	0.66005	0.32891	0.2404	Age | Elderly	Weighted	0	LogisticRegression	Klek
153.18107	61.96215	163.33457	94.20288	0.52336	0.48396	0.60323	0.712	0.54359	0.54031	0.53705	0.57624	0.52941	0.08235	0.68567	0.31963	0.2527	Weight | Low	Weighted	0	LogisticRegression	Klek
142.51364	63.46612	152.49884	99.29342	0.52823	0.48308	0.61006	0.69188	0.54657	0.54287	0.53919	0.56893	0.52824	0.08962	0.65803	0.32809	0.23765	Weight | High	Weighted	0	LogisticRegression	Klek
808.1244	205.13757	328.14546	146.93546	0.64169	0.71121	0.41734	0.79755	0.56428	0.54481	0.52602	0.75191	0.58546	0.11719	0.80208	0.27738	0.19907	Weight | Unknown	Weighted	0	LogisticRegression	Klek
189.12188	69.4752	175.25762	96.40846	0.53847	0.51902	0.58118	0.73134	0.5501	0.54922	0.54835	0.60716	0.54477	0.09295	0.71634	0.31631	0.23529	Weight | Average	Weighted	0	LogisticRegression	Klek
3173.0	1693.0	2452.0	1792.0	0.54501	0.56409	0.5142	0.65208	0.53915	0.53857	0.53799	0.6049	0.54045	0.07628	0.64062	0.30394	0.20877	Total | Total	Unweighted	0	LogisticRegression	Klek
767.0	513.0	804.0	622.0	0.5133	0.48822	0.54802	0.59922	0.51812	0.51726	0.5164	0.53806	0.51029	0.03582	0.5835	0.32606	0.23181	Sex | Male	Unweighted	0	LogisticRegression	Klek
1339.0	666.0	875.0	641.0	0.56234	0.60479	0.49044	0.66783	0.54761	0.54462	0.54164	0.63475	0.5535	0.09291	0.65834	0.2924	0.19298	Sex | Unknown	Unweighted	0	LogisticRegression	Klek
1067.0	514.0	773.0	529.0	0.55359	0.57989	0.50719	0.67489	0.54354	0.54232	0.54111	0.62379	0.54582	0.08408	0.665	0.29727	0.20642	Sex | Female	Unweighted	0	LogisticRegression	Klek
834.0	459.0	712.0	469.0	0.52668	0.53946	0.50539	0.64501	0.52242	0.52214	0.52187	0.58753	0.52629	0.04347	0.63262	0.31053	0.2269	Age | Adult	Unweighted	0	LogisticRegression	Klek
270.0	107.0	197.0	112.0	0.55685	0.57816	0.51142	0.71618	0.54479	0.54376	0.54274	0.63981	0.53695	0.08393	0.71543	0.29923	0.23464	Age | Children	Unweighted	0	LogisticRegression	Klek
294.0	97.0	211.0	85.0	0.55167	0.58218	0.46703	0.75192	0.52461	0.52144	0.51829	0.65625	0.53256	0.04385	0.73905	0.29237	0.23949	Age | Adolescent	Unweighted	0	LogisticRegression	Klek
1223.0	620.0	680.0	555.0	0.57765	0.64267	0.47234	0.66359	0.5575	0.55096	0.5445	0.65296	0.56537	0.11399	0.6597	0.28454	0.17772	Age | Unknown	Unweighted	0	LogisticRegression	Klek
552.0	410.0	652.0	571.0	0.51396	0.45847	0.58206	0.5738	0.52027	0.51658	0.51293	0.5097	0.50419	0.04061	0.55215	0.32891	0.22886	Age | Elderly	Unweighted	0	LogisticRegression	Klek
526.0	299.0	569.0	432.0	0.52464	0.48037	0.59097	0.63758	0.53567	0.53281	0.52996	0.54792	0.52467	0.07023	0.61387	0.31963	0.22973	Weight | Low	Unweighted	0	LogisticRegression	Klek
455.0	301.0	559.0	426.0	0.50603	0.44872	0.58597	0.60185	0.51734	0.51277	0.50824	0.51412	0.50746	0.03451	0.58394	0.32809	0.2289	Weight | High	Unweighted	0	LogisticRegression	Klek
1576.0	781.0	694.0	527.0	0.58776	0.69427	0.40291	0.66865	0.54859	0.52889	0.5099	0.68122	0.5597	0.09871	0.66436	0.27738	0.1784	Weight | Unknown	Unweighted	0	LogisticRegression	Klek
616.0	312.0	630.0	407.0	0.52061	0.49438	0.56606	0.66379	0.53022	0.52901	0.5278	0.5667	0.52572	0.05832	0.65392	0.31631	0.23269	Weight | Average	Unweighted	0	LogisticRegression	Klek
696.61169	346.70429	310.45365	167.41182	0.568	0.69172	0.32563	0.66769	0.50868	0.4746	0.44281	0.67949	0.51812	0.01769	0.68305	0.31783	0.19298	Total | Total	Weighted	4	LogisticRegression	Klek
147.75707	98.30691	107.06499	68.27415	0.51265	0.57984	0.40986	0.60048	0.49485	0.4875	0.48025	0.58998	0.51172	-0.01022	0.62676	0.32559	0.21242	Sex | Male	Weighted	4	LogisticRegression	Klek
228.13922	109.68575	91.00217	42.73156	0.57442	0.71485	0.28036	0.67532	0.49761	0.44768	0.40276	0.69452	0.49985	-0.00497	0.69009	0.31535	0.19954	Sex | Female	Weighted	4	LogisticRegression	Klek
320.7154	138.71163	112.38649	56.40611	0.6003	0.74051	0.28909	0.69808	0.5148	0.46268	0.41584	0.71867	0.51894	0.03089	0.70705	0.31381	0.19116	Sex | Unknown	Weighted	4	LogisticRegression	Klek
316.9642	131.7469	96.42116	47.3553	0.6149	0.76675	0.2644	0.70639	0.51558	0.45026	0.39321	0.73533	0.53639	0.03338	0.73274	0.31138	0.17156	Age | Unknown	Weighted	4	LogisticRegression	Klek
40.3515	25.09255	26.95303	4.07715	0.46052	0.59954	0.13977	0.61658	0.36965	0.28948	0.2267	0.60794	0.32971	-0.25632	0.61222	0.332	0.30104	Age | Children	Weighted	4	LogisticRegression	Klek
52.13613	22.93471	13.40804	0.63571	0.59218	0.79544	0.02697	0.69449	0.4112	0.14647	0.05217	0.74154	0.40235	-0.21498	0.69805	0.29948	0.25526	Age | Adolescent	Weighted	4	LogisticRegression	Klek
95.17978	76.00662	95.92476	66.67032	0.4849	0.49805	0.46728	0.556	0.48267	0.48242	0.48218	0.52543	0.48666	-0.03431	0.56619	0.33359	0.22382	Age | Elderly	Weighted	4	LogisticRegression	Klek
191.98008	90.92351	77.74666	48.67334	0.58793	0.71176	0.34867	0.67861	0.53021	0.49817	0.46805	0.69479	0.52968	0.062	0.688	0.31283	0.18369	Age | Adult	Weighted	4	LogisticRegression	Klek
