TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1148.55186	432.56486	963.62562	404.3164	0.52656	0.54378	0.48312	0.72642	0.51345	0.51255	0.51166	0.62197	0.5164	0.02432	0.72488	0.33489	0.2829	Total | Total	Weighted	0	LogisticRegression	Morgan
532.21492	176.7686	375.78695	143.08292	0.54998	0.58614	0.44734	0.75067	0.51674	0.51206	0.50742	0.65828	0.52671	0.02975	0.75637	0.32317	0.26577	Sex | Unknown	Weighted	0	LogisticRegression	Morgan
247.47181	126.0384	292.22326	150.43873	0.48753	0.45854	0.54413	0.66256	0.50133	0.4995	0.49768	0.54199	0.50145	0.00253	0.65204	0.35241	0.29433	Sex | Male	Weighted	0	LogisticRegression	Morgan
368.86513	129.75786	295.61541	110.79475	0.52999	0.55512	0.46058	0.73977	0.50785	0.50565	0.50345	0.63428	0.49939	0.01395	0.73394	0.33274	0.29903	Sex | Female	Weighted	0	LogisticRegression	Morgan
96.07361	17.24442	54.29704	16.69242	0.61184	0.63891	0.49187	0.84782	0.56539	0.56059	0.55583	0.72869	0.56827	0.10416	0.83978	0.3194	0.27744	Age | Adolescent	Weighted	0	LogisticRegression	Morgan
61.97424	22.1845	43.66745	21.30745	0.55844	0.58665	0.48992	0.7364	0.53828	0.5361	0.53394	0.65305	0.54088	0.07018	0.73043	0.30939	0.24085	Age | Children	Weighted	0	LogisticRegression	Morgan
540.58201	165.26869	331.06075	130.43425	0.57482	0.62019	0.4411	0.76586	0.53064	0.52303	0.51553	0.68537	0.54546	0.05452	0.77515	0.30938	0.25032	Age | Unknown	Weighted	0	LogisticRegression	Morgan
168.98943	114.65656	267.8046	130.9742	0.43956	0.38689	0.53322	0.59578	0.46005	0.4542	0.44841	0.46913	0.46203	-0.07781	0.60035	0.36188	0.33003	Age | Elderly	Weighted	0	LogisticRegression	Morgan
280.93257	113.21069	266.79578	104.90808	0.50381	0.5129	0.48097	0.71277	0.49694	0.49668	0.49642	0.59654	0.47425	-0.00553	0.69397	0.35415	0.31491	Age | Adult	Weighted	0	LogisticRegression	Morgan
740.77548	215.87983	395.49438	136.1932	0.58922	0.65194	0.38683	0.77434	0.51938	0.50219	0.48556	0.70789	0.5289	0.03438	0.77438	0.30301	0.24197	Weight | Unknown	Weighted	0	LogisticRegression	Morgan
122.79466	69.59718	172.21782	93.16236	0.47176	0.41624	0.57239	0.63825	0.49431	0.48811	0.48198	0.50387	0.4801	-0.01103	0.62259	0.3496	0.31128	Weight | High	Weighted	0	LogisticRegression	Morgan
131.00631	67.94819	185.50933	88.21684	0.46379	0.4139	0.56489	0.65847	0.4894	0.48354	0.47775	0.5083	0.48233	-0.0202	0.64644	0.35515	0.33693	Weight | Low	Weighted	0	LogisticRegression	Morgan
153.97541	79.13966	210.40409	86.744	0.45396	0.42257	0.52292	0.66051	0.47274	0.47007	0.46742	0.5154	0.44943	-0.05092	0.64015	0.36107	0.34301	Weight | Average	Weighted	0	LogisticRegression	Morgan
2814.0	1728.0	2811.0	1757.0	0.50176	0.50027	0.50416	0.61955	0.50221	0.50221	0.50221	0.55356	0.50451	0.0043	0.61724	0.33489	0.26681	Total | Total	Unweighted	0	LogisticRegression	Morgan
1203.0	700.0	1011.0	607.0	0.51406	0.54336	0.46442	0.63216	0.50389	0.50234	0.5008	0.58441	0.5118	0.00754	0.63612	0.32317	0.25203	Sex | Unknown	Unweighted	0	LogisticRegression	Morgan
657.0	506.0	914.0	629.0	0.47524	0.4182	0.55419	0.56492	0.48619	0.48142	0.47669	0.48061	0.4872	-0.02752	0.56211	0.35241	0.28514	Sex | Male	Unweighted	0	LogisticRegression	Morgan
954.0	522.0	886.0	521.0	0.51162	0.51848	0.49952	0.64634	0.509	0.50891	0.50882	0.57539	0.50329	0.0173	0.63805	0.33274	0.27272	Sex | Female	Unweighted	0	LogisticRegression	Morgan
294.0	92.0	211.0	90.0	0.55895	0.58218	0.49451	0.76166	0.53834	0.53655	0.53477	0.65993	0.52213	0.0682	0.73819	0.3194	0.29093	Age | Adolescent	Unweighted	0	LogisticRegression	Morgan
263.0	102.0	204.0	117.0	0.55394	0.56317	0.53425	0.72055	0.54871	0.54852	0.54833	0.63221	0.54635	0.09101	0.70375	0.30939	0.23996	Age | Children	Unweighted	0	LogisticRegression	Morgan
1104.0	641.0	799.0	534.0	0.53216	0.58014	0.45447	0.63266	0.5173	0.51347	0.50967	0.60526	0.53072	0.03393	0.64123	0.30938	0.23384	Age | Unknown	Unweighted	0	LogisticRegression	Morgan
436.0	433.0	768.0	548.0	0.45034	0.36213	0.55861	0.50173	0.46037	0.44977	0.4394	0.42065	0.46852	-0.08055	0.51503	0.36188	0.3026	Age | Elderly	Unweighted	0	LogisticRegression	Morgan
717.0	460.0	829.0	468.0	0.47898	0.46378	0.50431	0.60918	0.48404	0.48362	0.4832	0.52663	0.46529	-0.03094	0.5983	0.35415	0.29771	Age | Adult	Unweighted	0	LogisticRegression	Morgan
