Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: newton-cg:None | C: 0.03427774	0.46473	0	1	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.01305377	0.34274	1	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.9795483	0.46304	2	1	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 0.001998325	0.17338	3	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.004593922	0.24318	4	1	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.08024695	0.32177	5	1	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 2.231007	0.46251	6	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 6.831467	0.46644	7	1	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 0.4654605	0.45921	8	1	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.00296791	0.37978	9	1	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 6.268307	0.38535	10	1	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.06528711	0.46281	11	1	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.03264177	0.4089	12	1	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.2938493	0.45557	13	1	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 8.847116	0.4638	14	1	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.01119718 | l1_ratio: 0.7781903	0.03982	15	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.2250574	0.46602	16	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.2284424	0.45834	17	1	LogisticRegression	RDKit
solver_penalty: sag:None | C: 2.381905	0.4218	18	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 1.028989	0.46254	19	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 3.727708	0.46602	20	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 3.808958	0.46174	21	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.9446324	0.46482	22	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 3.971834	0.46634	23	1	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 9.732271	0.46487	24	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.1970027	0.45301	25	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.5001843	0.46294	26	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 1.8191	0.46374	27	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 4.746136	0.45905	28	1	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.001105065 | l1_ratio: 0.04609787	0.02931	29	1	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.1429838	0.40857	30	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 3.377397	0.46633	31	1	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 1.466611	0.38022	32	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.604536	0.45814	33	1	LogisticRegression	RDKit
solver_penalty: saga:None | C: 3.049679	0.38591	34	1	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 5.702607	0.46629	35	1	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 5.620544	0.46126	36	1	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 1.343694	0.46114	37	1	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 9.999237	0.37678	38	1	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 5.523639	0.45815	39	1	LogisticRegression	RDKit
solver_penalty: sag:None | C: 3.139018	0.42426	40	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.04559917	0.42869	41	1	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.8155459	0.45951	42	1	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 2.170016	0.46433	43	1	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 6.148857	0.41927	44	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 2.818989	0.46233	45	1	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 0.02226911	0.38922	46	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.01162127	0.46693	47	1	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.007886535	0.0	48	1	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.0155779	0.36739	49	1	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.002507814	0.3818	50	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.004312297	0.4635	51	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.07899581	0.47102	52	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.09488712	0.46858	53	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.09001789	0.45744	54	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.0506898	0.4676	55	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.04594814	0.46049	56	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.1213615	0.4551	57	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.07136884	0.4603	58	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.02625183	0.46909	59	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.0265744	0.45714	60	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.04144856	0.46605	61	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.01851528	0.46575	62	1	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.01006883	0.46846	63	1	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.001294986	0.47717	0	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 1.734326 | l1_ratio: 0.02468024	0.44794	1	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.9527584	0.49952	2	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.1698283	0.48198	3	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 1.161774	0.44906	4	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.007356378	0.357	5	0	LogisticRegression	RDKit
