Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 600 | criterion: entropy | max_depth: 15 | min_samples_leaf: 7 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 0.001178185	0.00724	0	1	RandomForestClassifier	Morgan
n_estimators: 500 | criterion: log_loss | max_depth: 8 | min_samples_leaf: 8 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.00158916	0.03156	1	1	RandomForestClassifier	Morgan
n_estimators: 975 | criterion: entropy | max_depth: 5 | min_samples_leaf: 6 | min_samples_split: 8 | max_features: sqrt | ccp_alpha: 0.0007342711	0.0	2	1	RandomForestClassifier	Morgan
n_estimators: 600 | criterion: entropy | max_depth: 3 | min_samples_leaf: 3 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.04254189	0.0	3	1	RandomForestClassifier	Morgan
n_estimators: 775 | criterion: gini | max_depth: 4 | min_samples_leaf: 2 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.04068005	0.0	4	1	RandomForestClassifier	Morgan
n_estimators: 500 | criterion: gini | max_depth: 7 | min_samples_leaf: 10 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 0.02327275	0.0	5	1	RandomForestClassifier	Morgan
n_estimators: 1000 | criterion: entropy | max_depth: 6 | min_samples_leaf: 5 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0004414221	0.0	6	1	RandomForestClassifier	Morgan
n_estimators: 125 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 3 | min_samples_split: 8 | max_features: None | ccp_alpha: 1.540737e-05	0.18095	7	1	RandomForestClassifier	Morgan
n_estimators: 475 | criterion: entropy | max_depth: 2 | min_samples_leaf: 9 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.03060365	0.0	8	1	RandomForestClassifier	Morgan
n_estimators: 575 | criterion: gini | max_depth: 16 | min_samples_leaf: 10 | min_samples_split: 10 | max_features: sqrt | ccp_alpha: 0.0001847108	0.01023	9	1	RandomForestClassifier	Morgan
n_estimators: 100 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 1 | min_samples_split: 8 | max_features: None | ccp_alpha: 1.735265e-05	0.27409	10	1	RandomForestClassifier	Morgan
