Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 475 | max_depth: 5 | learning_rate: 0.04289152 | max_leaves: 12 | subsample: 0.914919 | colsample_bytree: 0.5626277 | gamma: 0.3002309 | reg_alpha: 4.083504 | reg_lambda: 3.257817	0.42449	0	0	XGBClassifier	MACCS
n_estimators: 300 | max_depth: 6 | learning_rate: 0.005873863 | max_leaves: 7 | subsample: 0.9820469 | colsample_bytree: 0.8663025 | gamma: 4.580555 | reg_alpha: 0.8402621 | reg_lambda: 0.4035245	0.00639	1	0	XGBClassifier	MACCS
n_estimators: 125 | max_depth: 10 | learning_rate: 0.009647928 | max_leaves: 9 | subsample: 0.9538085 | colsample_bytree: 0.7548062 | gamma: 1.086081 | reg_alpha: 4.831504 | reg_lambda: 1.999654	0.00076	2	0	XGBClassifier	MACCS
n_estimators: 350 | max_depth: 5 | learning_rate: 0.007308033 | max_leaves: 1 | subsample: 0.8502034 | colsample_bytree: 0.6353375 | gamma: 4.719051 | reg_alpha: 4.896842 | reg_lambda: 3.321078	0.0	3	0	XGBClassifier	MACCS
n_estimators: 725 | max_depth: 3 | learning_rate: 0.02642928 | max_leaves: 8 | subsample: 0.6337436 | colsample_bytree: 0.6068142 | gamma: 2.461768 | reg_alpha: 1.196726 | reg_lambda: 2.900802	0.33307	4	0	XGBClassifier	MACCS
n_estimators: 825 | max_depth: 5 | learning_rate: 0.05006621 | max_leaves: 2 | subsample: 0.5367911 | colsample_bytree: 0.7982061 | gamma: 0.1887569 | reg_alpha: 1.205253 | reg_lambda: 1.563395	0.29127	5	0	XGBClassifier	MACCS
n_estimators: 875 | max_depth: 3 | learning_rate: 0.01561518 | max_leaves: 0 | subsample: 0.8336346 | colsample_bytree: 0.8794542 | gamma: 3.774375 | reg_alpha: 4.864696 | reg_lambda: 2.959894	0.19958	6	0	XGBClassifier	MACCS
n_estimators: 175 | max_depth: 2 | learning_rate: 0.02621111 | max_leaves: 9 | subsample: 0.6585314 | colsample_bytree: 0.7587364 | gamma: 1.07562 | reg_alpha: 1.233985 | reg_lambda: 4.371517	0.0578	7	0	XGBClassifier	MACCS
n_estimators: 725 | max_depth: 7 | learning_rate: 0.06308084 | max_leaves: 0 | subsample: 0.6234872 | colsample_bytree: 0.9274606 | gamma: 3.225383 | reg_alpha: 2.019481 | reg_lambda: 4.021321	0.34252	8	0	XGBClassifier	MACCS
n_estimators: 925 | max_depth: 9 | learning_rate: 0.0222853 | max_leaves: 12 | subsample: 0.8341643 | colsample_bytree: 0.9893188 | gamma: 3.635437 | reg_alpha: 1.246505 | reg_lambda: 2.531077	0.29374	9	0	XGBClassifier	MACCS
