TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
593.37967	490.94959	973.52966	910.28536	0.5066	0.37869	0.64963	0.54723	0.51416	0.496	0.47847	0.44762	0.54949	0.02937	0.57546	0.26276	0.08369	Total | Total	Weighted	0	LogisticRegression	ChemBERTa
201.48733	153.2184	290.86299	248.50258	0.5033	0.40924	0.61859	0.56804	0.51392	0.50314	0.49259	0.47574	0.56274	0.0283	0.61572	0.25865	0.08878	Sex | Female	Weighted	0	LogisticRegression	ChemBERTa
256.0665	194.9468	398.11101	342.74953	0.50242	0.39143	0.63744	0.56776	0.51444	0.49951	0.48503	0.46339	0.54954	0.02962	0.59615	0.26228	0.08811	Sex | Unknown	Weighted	0	LogisticRegression	ChemBERTa
135.82584	142.78439	284.55566	319.03325	0.5156	0.3231	0.69082	0.48751	0.50696	0.47245	0.44028	0.38863	0.52836	0.01496	0.49902	0.26776	0.0768	Sex | Male	Weighted	0	LogisticRegression	ChemBERTa
122.51799	125.45959	232.333	274.48502	0.52597	0.34527	0.68631	0.49407	0.51579	0.48678	0.45941	0.40648	0.55545	0.03355	0.52809	0.26196	0.06738	Age | Elderly	Weighted	0	LogisticRegression	ChemBERTa
247.31619	193.6048	371.94635	318.95739	0.50032	0.39937	0.62228	0.56091	0.51083	0.49852	0.48651	0.46655	0.54288	0.0221	0.58311	0.2628	0.0883	Age | Unknown	Weighted	0	LogisticRegression	ChemBERTa
33.31469	21.26475	40.78897	56.40989	0.59116	0.44957	0.72623	0.61039	0.5879	0.57139	0.55535	0.51778	0.6255	0.18312	0.62777	0.25778	0.03245	Age | Children	Weighted	0	LogisticRegression	ChemBERTa
150.00934	133.03064	270.98923	222.80575	0.47992	0.35632	0.62615	0.52999	0.49123	0.47234	0.45418	0.42614	0.52195	-0.01815	0.57445	0.26409	0.10915	Age | Adult	Weighted	0	LogisticRegression	ChemBERTa
40.22146	17.58981	57.47211	37.62731	0.50911	0.41171	0.68144	0.69574	0.54658	0.52968	0.5133	0.5173	0.59341	0.09227	0.70527	0.26524	0.16602	Age | Adolescent	Weighted	0	LogisticRegression	ChemBERTa
86.75212	83.966	158.37366	169.58554	0.51404	0.35391	0.66884	0.50816	0.51137	0.48653	0.46289	0.41723	0.56223	0.02397	0.57076	0.26044	0.08035	Weight | Low	Weighted	0	LogisticRegression	ChemBERTa
78.77362	74.87022	152.57858	190.89773	0.54247	0.34049	0.71829	0.5127	0.52939	0.49454	0.46199	0.40922	0.60145	0.06345	0.55647	0.2567	0.06717	Weight | High	Weighted	0	LogisticRegression	ChemBERTa
327.45934	247.54052	483.53742	358.91333	0.48423	0.40377	0.59182	0.56949	0.4978	0.48884	0.48004	0.47253	0.51086	-0.00444	0.58429	0.26494	0.11057	Weight | Unknown	Weighted	0	LogisticRegression	ChemBERTa
100.39459	84.57285	179.04	190.88876	0.52493	0.35928	0.69298	0.54277	0.52613	0.49897	0.47321	0.43236	0.57011	0.05542	0.57977	0.2663	0.06857	Weight | Average	Weighted	0	LogisticRegression	ChemBERTa
2127.0	1274.0	3498.0	2211.0	0.47618	0.37813	0.63443	0.6254	0.50628	0.4898	0.47385	0.47131	0.5333	0.01263	0.64962	0.26276	0.14767	Total | Total	Unweighted	0	LogisticRegression	ChemBERTa
754.0	405.0	1086.0	638.0	0.48283	0.40978	0.6117	0.65056	0.51074	0.50066	0.49078	0.50283	0.54852	0.02105	0.68652	0.25865	0.16194	Sex | Female	Unweighted	0	LogisticRegression	ChemBERTa
874.0	491.0	1340.0	816.0	0.47998	0.39476	0.62433	0.64029	0.50955	0.49645	0.48369	0.4884	0.53567	0.01893	0.66326	0.26228	0.15569	Sex | Unknown	Unweighted	0	LogisticRegression	ChemBERTa
499.0	378.0	1072.0	757.0	0.46415	0.31763	0.66696	0.56899	0.4923	0.46027	0.43033	0.40768	0.50905	-0.01624	0.58611	0.26776	0.13796	Sex | Male	Unweighted	0	LogisticRegression	ChemBERTa
388.0	322.0	816.0	659.0	0.47918	0.32226	0.67176	0.54648	0.49701	0.46528	0.43557	0.40543	0.52112	-0.00635	0.57952	0.26196	0.11823	Age | Elderly	Unweighted	0	LogisticRegression	ChemBERTa
766.0	469.0	1137.0	706.0	0.47823	0.40252	0.60085	0.62024	0.50169	0.49179	0.48209	0.48821	0.52592	0.00334	0.64478	0.2628	0.14304	Age | Unknown	Unweighted	0	LogisticRegression	ChemBERTa
203.0	74.0	264.0	145.0	0.50729	0.43469	0.6621	0.73285	0.54839	0.53648	0.52482	0.5457	0.57898	0.09196	0.74959	0.25778	0.20536	Age | Children	Unweighted	0	LogisticRegression	ChemBERTa
570.0	338.0	976.0	590.0	0.46888	0.36869	0.63578	0.62775	0.50223	0.48416	0.46673	0.46455	0.52931	0.00449	0.65343	0.26409	0.15607	Age | Adult	Unweighted	0	LogisticRegression	ChemBERTa
200.0	71.0	305.0	111.0	0.45269	0.39604	0.60989	0.73801	0.50296	0.49147	0.48023	0.51546	0.54329	0.00535	0.76036	0.26524	0.2565	Age | Adolescent	Unweighted	0	LogisticRegression	ChemBERTa
