TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
711.22499	549.42637	855.68434	851.80858	0.5266	0.4539	0.6079	0.56417	0.5309	0.52529	0.51973	0.50307	0.54791	0.06242	0.57331	0.28	0.1168	Total | Total	Weighted	0	LogisticRegression	Klek
149.95659	148.10392	270.42491	313.71372	0.52558	0.35672	0.6793	0.50311	0.51801	0.49226	0.46779	0.41745	0.52871	0.03803	0.50419	0.296	0.12452	Sex | Male	Weighted	0	LogisticRegression	Klek
238.82817	173.77748	253.52215	227.9435	0.52207	0.48508	0.56742	0.57883	0.52625	0.52463	0.52303	0.52782	0.5409	0.05238	0.59397	0.27285	0.11763	Sex | Female	Weighted	0	LogisticRegression	Klek
322.44023	227.54497	331.73728	310.15136	0.53075	0.49289	0.57682	0.58627	0.53485	0.53321	0.53156	0.53554	0.55547	0.06958	0.59808	0.27356	0.11296	Sex | Unknown	Weighted	0	LogisticRegression	Klek
37.51805	35.12702	36.58561	42.54762	0.52752	0.50629	0.54777	0.51646	0.52703	0.52662	0.52621	0.51132	0.56389	0.05409	0.56945	0.27077	0.11684	Age | Children	Weighted	0	LogisticRegression	Klek
181.95948	144.45478	239.03909	211.38161	0.50634	0.43221	0.59404	0.55745	0.51313	0.50671	0.50037	0.4869	0.51525	0.0265	0.55589	0.29024	0.13499	Age | Adult	Weighted	0	LogisticRegression	Klek
108.91011	116.97585	245.94088	282.96876	0.51919	0.30692	0.70752	0.48215	0.50722	0.46599	0.42812	0.37508	0.52328	0.01574	0.48323	0.29633	0.1364	Age | Elderly	Weighted	0	LogisticRegression	Klek
331.64122	222.38075	287.62132	290.18144	0.5494	0.53554	0.56614	0.59861	0.55084	0.55063	0.55042	0.56532	0.57287	0.10125	0.61443	0.26343	0.08901	Age | Unknown	Weighted	0	LogisticRegression	Klek
51.19613	30.48797	46.49744	24.72915	0.49653	0.52405	0.44785	0.62676	0.48595	0.48445	0.48296	0.57082	0.52705	-0.02706	0.69313	0.27466	0.15067	Age | Adolescent	Weighted	0	LogisticRegression	Klek
54.93223	69.04084	176.41997	196.72711	0.50623	0.23744	0.74022	0.4431	0.48883	0.41924	0.35955	0.30919	0.48983	-0.02575	0.45826	0.3041	0.14347	Weight | High	Weighted	0	LogisticRegression	Klek
84.60204	86.63673	194.83255	188.82488	0.49275	0.30276	0.68549	0.49406	0.49412	0.45556	0.42001	0.37545	0.50497	-0.01272	0.50859	0.29462	0.14729	Weight | Average	Weighted	0	LogisticRegression	Klek
513.71875	332.86829	297.27801	273.58556	0.55544	0.63344	0.45112	0.60681	0.54228	0.53457	0.52696	0.61984	0.5624	0.08531	0.62661	0.24949	0.10382	Weight | Unknown	Weighted	0	LogisticRegression	Klek
57.97197	60.88051	187.15381	192.67103	0.50262	0.2365	0.75989	0.48776	0.49819	0.42393	0.36073	0.31855	0.50631	-0.00424	0.4967	0.30108	0.15467	Weight | Low	Weighted	0	LogisticRegression	Klek
2398.0	1338.0	3227.0	2147.0	0.4989	0.42631	0.61607	0.64186	0.52119	0.51248	0.50392	0.51234	0.53317	0.04188	0.64805	0.28	0.17104	Total | Total	Unweighted	0	LogisticRegression	Klek
508.0	354.0	1063.0	781.0	0.47635	0.32336	0.68811	0.58933	0.50573	0.47171	0.43997	0.41759	0.5041	0.01214	0.59169	0.296	0.18705	Sex | Male	Unweighted	0	LogisticRegression	Klek
852.0	430.0	988.0	613.0	0.50815	0.46304	0.58773	0.66459	0.52539	0.52167	0.51799	0.5458	0.54001	0.04909	0.67556	0.27285	0.16887	Sex | Female	Unweighted	0	LogisticRegression	Klek
