Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: sag:l2 | C: 0.8602241	0.52632	0	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.3675662	0.52702	1	0	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.4649141	0.50907	2	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:None | C: 0.09927957	0.5112	3	0	LogisticRegression	Morgan
solver_penalty: sag:None | C: 0.001505158	0.50967	4	0	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 2.14267	0.52738	5	0	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.1623403	0.52334	6	0	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 1.135533	0.51618	7	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.002318017	0.49504	8	0	LogisticRegression	Morgan
solver_penalty: saga:l2 | C: 0.1129927	0.52204	9	0	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 8.920914	0.51991	10	0	LogisticRegression	Morgan
solver_penalty: lbfgs:None | C: 4.238034	0.5112	11	0	LogisticRegression	Morgan
solver_penalty: saga:elasticnet | C: 0.01698126 | l1_ratio: 0.1561805	0.51404	12	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 2.216946	0.52583	13	0	LogisticRegression	Morgan
solver_penalty: saga:None | C: 0.236568	0.51024	14	0	LogisticRegression	Morgan
solver_penalty: liblinear:l2 | C: 0.01828121	0.51524	15	0	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 0.05258531	0.52363	16	0	LogisticRegression	Morgan
solver_penalty: newton-cg:None | C: 2.514166	0.51054	17	0	LogisticRegression	Morgan
solver_penalty: liblinear:l1 | C: 0.4746591	0.51436	18	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 9.979457	0.51822	19	0	LogisticRegression	Morgan
solver_penalty: newton-cholesky:l2 | C: 0.03178521	0.52241	20	0	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.8951772	0.52619	21	0	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 0.711364	0.52632	22	0	LogisticRegression	Morgan
solver_penalty: sag:l2 | C: 2.26127	0.52592	23	0	LogisticRegression	Morgan
solver_penalty: lbfgs:l2 | C: 0.305859	0.52456	24	0	LogisticRegression	Morgan
solver_penalty: saga:l1 | C: 1.726249	0.52031	25	0	LogisticRegression	Morgan
solver_penalty: newton-cg:l2 | C: 4.138501	0.5234	26	0	LogisticRegression	Morgan
