Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 475 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 1 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.001247334	0.44024	0	3	RandomForestClassifier	Morgan
n_estimators: 975 | criterion: gini | max_depth: 4 | min_samples_leaf: 3 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0002325914	0.43698	1	3	RandomForestClassifier	Morgan
n_estimators: 150 | criterion: log_loss | max_depth: 12 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 0.0113711	0.0	2	3	RandomForestClassifier	Morgan
n_estimators: 125 | criterion: gini | max_depth: 11 | min_samples_leaf: 6 | min_samples_split: 10 | max_features: sqrt | ccp_alpha: 0.0009044268	0.45315	3	3	RandomForestClassifier	Morgan
n_estimators: 550 | criterion: entropy | max_depth: 5 | min_samples_leaf: 9 | min_samples_split: 10 | max_features: sqrt | ccp_alpha: 1.143422e-05	0.38042	4	3	RandomForestClassifier	Morgan
n_estimators: 825 | criterion: entropy | max_depth: 3 | min_samples_leaf: 7 | min_samples_split: 4 | max_features: sqrt | ccp_alpha: 5.306449e-05	0.33308	5	3	RandomForestClassifier	Morgan
n_estimators: 850 | criterion: gini | max_depth: 8 | min_samples_leaf: 5 | min_samples_split: 2 | max_features: sqrt | ccp_alpha: 0.002311327	0.43009	6	3	RandomForestClassifier	Morgan
n_estimators: 525 | criterion: entropy | max_depth: 14 | min_samples_leaf: 8 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.0005935485	0.47017	7	3	RandomForestClassifier	Morgan
n_estimators: 725 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.0002779311	0.4883	8	3	RandomForestClassifier	Morgan
n_estimators: 350 | criterion: log_loss | max_depth: 10 | min_samples_leaf: 6 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.007265517	0.41138	9	3	RandomForestClassifier	Morgan
n_estimators: 750 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.0001097121	0.50266	10	3	RandomForestClassifier	Morgan
n_estimators: 750 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.0001056999	0.50294	11	3	RandomForestClassifier	Morgan
n_estimators: 675 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 3 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 5.761211e-05	0.50335	12	3	RandomForestClassifier	Morgan
n_estimators: 675 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 3 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 2.677283e-05	0.50909	13	3	RandomForestClassifier	Morgan
n_estimators: 650 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 1.08979e-05	0.50548	14	3	RandomForestClassifier	Morgan
n_estimators: 400 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 1.119408e-05	0.50836	15	3	RandomForestClassifier	Morgan
n_estimators: 400 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 2.811762e-05	0.5015	16	3	RandomForestClassifier	Morgan
n_estimators: 325 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 10 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 1.984169e-05	0.47322	17	3	RandomForestClassifier	Morgan
n_estimators: 225 | criterion: gini | max_depth: 18 | min_samples_leaf: 2 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 2.689676e-05	0.5074	18	3	RandomForestClassifier	Morgan
n_estimators: 625 | criterion: entropy | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.02873997	0.0	19	3	RandomForestClassifier	Morgan
n_estimators: 450 | criterion: log_loss | max_depth: 8 | min_samples_leaf: 5 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 5.755398e-05	0.42055	20	3	RandomForestClassifier	Morgan
n_estimators: 225 | criterion: gini | max_depth: 18 | min_samples_leaf: 2 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 2.553725e-05	0.50679	21	3	RandomForestClassifier	Morgan
n_estimators: 275 | criterion: gini | max_depth: 18 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 1.120766e-05	0.51159	22	3	RandomForestClassifier	Morgan
n_estimators: 300 | criterion: gini | max_depth: 15 | min_samples_leaf: 1 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 1.03971e-05	0.50746	23	3	RandomForestClassifier	Morgan
n_estimators: 575 | criterion: gini | max_depth: 19 | min_samples_leaf: 3 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.0001251194	0.50197	24	3	RandomForestClassifier	Morgan
n_estimators: 225 | criterion: gini | max_depth: 16 | min_samples_leaf: 1 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 2.04261e-05	0.50409	25	3	RandomForestClassifier	Morgan
n_estimators: 425 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 4 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 4.240213e-05	0.49966	26	3	RandomForestClassifier	Morgan
n_estimators: 275 | criterion: log_loss | max_depth: 14 | min_samples_leaf: 2 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.0002335414	0.45971	27	3	RandomForestClassifier	Morgan
n_estimators: 375 | criterion: entropy | max_depth: 17 | min_samples_leaf: 3 | min_samples_split: 7 | max_features: sqrt | ccp_alpha: 1.701114e-05	0.48835	28	3	RandomForestClassifier	Morgan
n_estimators: 500 | criterion: gini | max_depth: 13 | min_samples_leaf: 1 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 0.002215255	0.42655	29	3	RandomForestClassifier	Morgan
n_estimators: 475 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 5 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.0004971272	0.47554	30	3	RandomForestClassifier	Morgan
n_estimators: 300 | criterion: gini | max_depth: 15 | min_samples_leaf: 1 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 1.027643e-05	0.49526	31	3	RandomForestClassifier	Morgan
n_estimators: 100 | criterion: gini | max_depth: 19 | min_samples_leaf: 1 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 3.650402e-05	0.52429	32	3	RandomForestClassifier	Morgan
n_estimators: 175 | criterion: gini | max_depth: 19 | min_samples_leaf: 2 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 3.718736e-05	0.49521	33	3	RandomForestClassifier	Morgan
n_estimators: 100 | criterion: gini | max_depth: 20 | min_samples_leaf: 1 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 7.888785e-05	0.51972	34	3	RandomForestClassifier	Morgan
n_estimators: 100 | criterion: gini | max_depth: 20 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 0.0001049098	0.51631	35	3	RandomForestClassifier	Morgan
n_estimators: 100 | criterion: gini | max_depth: 19 | min_samples_leaf: 1 | min_samples_split: 8 | max_features: sqrt | ccp_alpha: 0.0001522428	0.48899	36	3	RandomForestClassifier	Morgan
n_estimators: 150 | criterion: gini | max_depth: 18 | min_samples_leaf: 1 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 6.788237e-05	0.50525	37	3	RandomForestClassifier	Morgan
n_estimators: 100 | criterion: gini | max_depth: 2 | min_samples_leaf: 1 | min_samples_split: 9 | max_features: None | ccp_alpha: 0.0004053311	0.20796	38	3	RandomForestClassifier	Morgan
n_estimators: 200 | criterion: gini | max_depth: 6 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 7.829806e-05	0.44311	39	3	RandomForestClassifier	Morgan
n_estimators: 150 | criterion: gini | max_depth: 11 | min_samples_leaf: 7 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 0.0009538839	0.43729	40	3	RandomForestClassifier	Morgan
n_estimators: 125 | criterion: gini | max_depth: 20 | min_samples_leaf: 3 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 3.73186e-05	0.50963	41	3	RandomForestClassifier	Morgan
n_estimators: 100 | criterion: gini | max_depth: 20 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 4.110286e-05	0.50928	42	3	RandomForestClassifier	Morgan
