TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
385.04931	396.11352	383.04243	410.89563	0.50533	0.50131	0.50916	0.49292	0.50523	0.50522	0.5052	0.49708	0.50552	0.01046	0.52109	0.2562	0.05351	Total | Total	Weighted	3	RandomForestClassifier	RDKit
103.52948	128.40271	106.97292	138.97453	0.50746	0.49182	0.51977	0.44638	0.5058	0.5056	0.50541	0.468	0.48948	0.01151	0.46576	0.25609	0.10301	Sex | Male	Weighted	3	RandomForestClassifier	RDKit
116.95163	118.41453	115.08855	110.15023	0.49305	0.50401	0.48192	0.49689	0.49297	0.49284	0.49272	0.50043	0.50771	-0.01407	0.53927	0.25634	0.05646	Sex | Female	Weighted	3	RandomForestClassifier	RDKit
164.5682	149.29628	160.98096	161.77087	0.51262	0.50551	0.52005	0.52433	0.51278	0.51273	0.51268	0.51475	0.51445	0.02556	0.5514	0.25616	0.04	Sex | Unknown	Weighted	3	RandomForestClassifier	RDKit
23.96862	13.24804	14.84678	15.65024	0.58509	0.6175	0.54156	0.64403	0.57953	0.57829	0.57705	0.63049	0.60491	0.15813	0.70803	0.2475	0.0756	Age | Children	Weighted	3	RandomForestClassifier	RDKit
99.232	116.45124	95.91205	113.9512	0.50096	0.50851	0.49457	0.46008	0.50154	0.50149	0.50144	0.48308	0.50777	0.00307	0.50833	0.25752	0.08448	Age | Adult	Weighted	3	RandomForestClassifier	RDKit
28.76897	12.0829	15.52459	15.71159	0.61703	0.64951	0.56528	0.70423	0.60739	0.60593	0.60447	0.67576	0.65044	0.21097	0.77936	0.24339	0.10829	Age | Adolescent	Weighted	3	RandomForestClassifier	RDKit
85.05786	105.18543	93.64738	123.85897	0.51237	0.47597	0.54076	0.4471	0.50837	0.50733	0.5063	0.46108	0.49289	0.01664	0.45997	0.257	0.10102	Age | Elderly	Weighted	3	RandomForestClassifier	RDKit
148.02186	149.14591	163.11163	141.72363	0.4813	0.47575	0.48724	0.49811	0.4815	0.48146	0.48143	0.48667	0.4799	-0.03699	0.52199	0.25913	0.06893	Age | Unknown	Weighted	3	RandomForestClassifier	RDKit
61.95134	74.92078	59.04523	74.54957	0.50469	0.51201	0.49876	0.45262	0.50538	0.50534	0.5053	0.48049	0.49972	0.01071	0.4989	0.25876	0.0956	Weight | Low	Weighted	3	RandomForestClassifier	RDKit
212.93498	165.4005	194.02404	194.62154	0.53138	0.52323	0.54058	0.56282	0.53191	0.53184	0.53177	0.54231	0.53551	0.0637	0.57297	0.25269	0.0384	Weight | Unknown	Weighted	3	RandomForestClassifier	RDKit
60.70334	77.2019	69.36468	70.04012	0.47147	0.4667	0.47568	0.44018	0.47119	0.47117	0.47115	0.45306	0.47111	-0.05751	0.50938	0.25675	0.09335	Weight | Average	Weighted	3	RandomForestClassifier	RDKit
49.45965	78.59034	60.60848	71.6844	0.46533	0.44935	0.47702	0.38625	0.46319	0.46298	0.46278	0.41542	0.45321	-0.07275	0.42455	0.25959	0.12933	Weight | High	Weighted	3	RandomForestClassifier	RDKit
