TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
702.25926	461.97495	864.65007	939.26	0.55305	0.44818	0.67031	0.60319	0.55924	0.54811	0.53719	0.51426	0.57949	0.12115	0.6	0.26424	0.07232	Total | Total	Weighted	0	XGBClassifier	RDKit
322.28159	200.24356	331.89592	337.45277	0.55353	0.49265	0.62759	0.61678	0.56012	0.55604	0.55199	0.54777	0.58374	0.12058	0.62293	0.2593	0.07704	Sex | Unknown	Weighted	0	XGBClassifier	RDKit
130.37674	105.63287	290.00476	356.18477	0.55153	0.31014	0.77127	0.55242	0.5407	0.48908	0.44239	0.39725	0.55484	0.09185	0.52924	0.27581	0.06633	Sex | Male	Weighted	0	XGBClassifier	RDKit
249.60093	156.09852	242.74939	245.62246	0.5539	0.50696	0.61143	0.61524	0.55919	0.55675	0.55431	0.55587	0.57843	0.11828	0.62044	0.2594	0.07361	Sex | Female	Weighted	0	XGBClassifier	RDKit
37.23757	29.15384	36.86609	48.5208	0.56502	0.50251	0.62467	0.56088	0.56359	0.56027	0.55697	0.53009	0.58431	0.12815	0.56267	0.26379	0.05639	Age | Children	Weighted	0	XGBClassifier	RDKit
193.40339	139.97413	227.59518	215.86226	0.52684	0.45939	0.60663	0.58013	0.53301	0.5279	0.52284	0.51275	0.55748	0.06646	0.59246	0.26844	0.08429	Age | Adult	Weighted	0	XGBClassifier	RDKit
87.57725	69.89945	267.27374	330.04516	0.55329	0.2468	0.82523	0.55613	0.53601	0.45129	0.37996	0.34188	0.53726	0.08847	0.52219	0.27402	0.07865	Age | Elderly	Weighted	0	XGBClassifier	RDKit
55.29627	27.2573	42.3973	27.95982	0.54448	0.56602	0.50636	0.66982	0.53619	0.53536	0.53453	0.61356	0.58715	0.06975	0.72656	0.26096	0.12386	Age | Adolescent	Weighted	0	XGBClassifier	RDKit
328.74478	195.69023	290.51776	316.87196	0.57042	0.53086	0.61821	0.62686	0.57454	0.57288	0.57122	0.57488	0.59388	0.14881	0.62338	0.25473	0.07022	Age | Unknown	Weighted	0	XGBClassifier	RDKit
74.65625	62.71921	204.77834	212.7424	0.51793	0.26717	0.77231	0.54345	0.51974	0.45424	0.397	0.35823	0.54326	0.04574	0.55573	0.27702	0.09347	Weight | Average	Weighted	0	XGBClassifier	RDKit
56.25305	36.78998	188.87273	216.76156	0.54748	0.22949	0.8549	0.60459	0.54219	0.44293	0.36184	0.33269	0.56363	0.10829	0.5694	0.28034	0.08816	Weight | Low	Weighted	0	XGBClassifier	RDKit
514.39233	316.88276	296.60443	289.57109	0.56719	0.63427	0.47748	0.6188	0.55588	0.55032	0.54482	0.62644	0.56615	0.11228	0.62457	0.24464	0.08127	Weight | Unknown	Weighted	0	XGBClassifier	RDKit
56.95763	45.583	174.39457	220.18495	0.5575	0.24619	0.82849	0.55546	0.53734	0.45163	0.37959	0.34117	0.55681	0.09206	0.54555	0.27318	0.07147	Weight | High	Weighted	0	XGBClassifier	RDKit
2291.0	1154.0	3334.0	2331.0	0.50735	0.40729	0.66887	0.66502	0.53808	0.52194	0.50629	0.50518	0.5496	0.07633	0.65886	0.26424	0.15424	Total | Total	Unweighted	0	XGBClassifier	RDKit
1012.0	501.0	1202.0	806.0	0.51633	0.45709	0.61668	0.66887	0.53689	0.53092	0.52503	0.54306	0.55185	0.072	0.67041	0.2593	0.14742	Sex | Unknown	Unweighted	0	XGBClassifier	RDKit
