Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: liblinear:l2 | C: 0.04531926	0.41091	0	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.008036107	0.0	1	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.001093456 | l1_ratio: 0.6896262	0.0	2	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.1688234	0.46629	3	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 2.310818	0.46224	4	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.001695108	0.46422	5	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.02395543	0.36731	6	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.001330281 | l1_ratio: 0.9253799	0.0	7	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.004617979	0.1882	8	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.2938815	0.44663	9	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.306894	0.4667	10	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.3694098	0.46339	11	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 2.897026	0.4617	12	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.25865	0.46666	13	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 8.539178	0.46361	14	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.7981863	0.45994	15	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.05252468	0.31986	16	0	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.7389294	0.45826	17	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.1268664	0.46358	18	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 1.336537	0.4667	19	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 1.341552	0.4646	20	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 6.691044	0.46618	21	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.3913843	0.45903	22	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 1.098841	0.46267	23	0	LogisticRegression	MACCS
