Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: saga:l1 | C: 0.6156492	0.42828	0	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.02458098	0.50153	1	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.1779668	0.50106	2	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.1424725	0.45198	3	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 0.002333852	0.30395	4	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.005412785	0.35176	5	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 2.147412	0.43224	6	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 3.771891	0.49114	7	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.02251758	0.43227	8	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.1812287	0.4701	9	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.01883534	0.49542	10	0	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.03115728	0.44918	11	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.08014916	0.43657	12	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.4617482	0.48646	13	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.001026597	0.22292	14	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.008572394	0.38354	15	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.9409842	0.49548	16	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.06871525 | l1_ratio: 0.6973604	0.37841	17	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 7.266338	0.49229	18	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.2700535	0.49852	19	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.04509012	0.49306	20	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.1202987	0.49802	21	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.3232541	0.50032	22	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 1.292363	0.50352	23	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 1.868652	0.49839	24	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 1.000964	0.47984	25	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.01078519 | l1_ratio: 0.05514163	0.36358	26	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 6.88504	0.42979	27	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.05040147	0.43616	28	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.635995	0.4319	29	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 1.750476	0.48347	30	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.2947716	0.49521	31	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.2987963	0.49883	32	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.1583082	0.49609	33	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.7549639	0.48392	34	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 3.264802	0.43286	35	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.456085	0.50389	36	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.004845188	0.49212	37	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 1.322824	0.50182	38	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 1.348127	0.49144	39	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 3.289135	0.49645	40	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.4841658	0.49529	41	0	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.1812591	0.4565	42	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 1.180522	0.4956	43	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 4.567464	0.49327	44	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 0.02082289	0.43255	45	0	LogisticRegression	RDKit
