TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
564.49965	626.13243	747.57271	1059.65465	0.54177	0.43024	0.62858	0.47412	0.52941	0.52004	0.51083	0.45111	0.53787	0.05963	0.46845	0.26423	0.09625	Total | Total	Weighted	0	XGBClassifier	ChemBERTa
226.88306	239.8204	177.33379	246.86377	0.53176	0.56129	0.50724	0.48614	0.53426	0.53358	0.5329	0.52102	0.55432	0.06831	0.49486	0.25161	0.09179	Sex | Female	Weighted	0	XGBClassifier	ChemBERTa
231.15495	251.80651	323.29168	427.23536	0.53376	0.41691	0.62917	0.47862	0.52304	0.51216	0.50151	0.44564	0.53829	0.04697	0.4804	0.2639	0.08672	Sex | Unknown	Weighted	0	XGBClassifier	ChemBERTa
106.46164	134.50552	246.94724	385.55552	0.56329	0.30124	0.74137	0.44181	0.5213	0.47258	0.42841	0.35823	0.50288	0.04679	0.40523	0.27812	0.11666	Sex | Male	Weighted	0	XGBClassifier	ChemBERTa
45.64701	50.98638	23.36249	26.98796	0.49417	0.66146	0.34611	0.47237	0.50379	0.47848	0.45444	0.55115	0.51067	0.00796	0.5008	0.24457	0.15048	Age | Children	Weighted	0	XGBClassifier	ChemBERTa
159.03552	165.25739	191.96112	247.89665	0.53253	0.4531	0.60001	0.49041	0.52655	0.5214	0.51631	0.47101	0.5308	0.05355	0.48037	0.26511	0.09113	Age | Adult	Weighted	0	XGBClassifier	ChemBERTa
214.5545	263.56762	290.69577	434.01202	0.5392	0.42465	0.62217	0.44874	0.52341	0.51401	0.50477	0.43636	0.52707	0.04722	0.44355	0.2675	0.1117	Age | Unknown	Weighted	0	XGBClassifier	ChemBERTa
64.93212	42.86681	24.43139	12.59188	0.5353	0.72661	0.22705	0.60234	0.47683	0.40617	0.34599	0.65867	0.48749	-0.05164	0.61571	0.23374	0.14225	Age | Adolescent	Weighted	0	XGBClassifier	ChemBERTa
80.3305	103.45423	217.12194	338.16614	0.56625	0.27006	0.76574	0.43709	0.5179	0.45475	0.3993	0.33385	0.52642	0.04062	0.42044	0.27437	0.08388	Age | Elderly	Weighted	0	XGBClassifier	ChemBERTa
104.25569	102.83913	113.61289	163.8116	0.55326	0.47853	0.61433	0.50342	0.54643	0.54219	0.53799	0.49066	0.54817	0.09337	0.47931	0.25917	0.09411	Weight | High	Weighted	0	XGBClassifier	ChemBERTa
205.67926	275.09704	397.15161	613.45543	0.54924	0.34119	0.6904	0.42781	0.51579	0.48534	0.45669	0.37962	0.52416	0.03317	0.42672	0.269	0.09862	Weight | Unknown	Weighted	0	XGBClassifier	ChemBERTa
100.66723	105.86954	128.95095	148.4594	0.51478	0.43841	0.58373	0.48741	0.51107	0.50588	0.50074	0.46161	0.51349	0.02235	0.50678	0.26835	0.10808	Weight | Low	Weighted	0	XGBClassifier	ChemBERTa
153.89747	142.32672	107.85726	133.92822	0.53498	0.58795	0.4848	0.51953	0.53637	0.53389	0.53141	0.55162	0.54256	0.07309	0.50952	0.25619	0.08467	Weight | Average	Weighted	0	XGBClassifier	ChemBERTa
2482.0	1522.0	2846.0	2258.0	0.52042	0.46584	0.59735	0.61988	0.5316	0.52752	0.52346	0.53193	0.54256	0.06274	0.62181	0.26423	0.12156	Total | Total	Unweighted	0	XGBClassifier	ChemBERTa
1041.0	603.0	709.0	529.0	0.54476	0.59486	0.46731	0.63321	0.53109	0.52724	0.52343	0.61344	0.5544	0.06134	0.6494	0.25161	0.10114	Sex | Female	Unweighted	0	XGBClassifier	ChemBERTa
948.0	598.0	1118.0	857.0	0.51264	0.45886	0.589	0.6132	0.52393	0.51987	0.51585	0.52492	0.53858	0.04749	0.6216	0.2639	0.12339	Sex | Unknown	Unweighted	0	XGBClassifier	ChemBERTa
