Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: sag:None | C: 7.093895	0.43487	0	1	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.003388058	0.03287	1	1	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 3.430938	0.42598	2	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.1145629	0.43385	3	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 5.689742	0.43161	4	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.001172828	0.43165	5	1	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 5.856233	0.4287	6	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.7272489	0.43087	7	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.2251775	0.43489	8	1	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 1.882894	0.42494	9	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.02712277	0.43539	10	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.03667609	0.43121	11	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.0426809	0.43139	12	1	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.2154664	0.39953	13	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.01205557	0.43648	14	1	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.009807571 | l1_ratio: 0.7401516	0.0	15	1	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.01287826	0.0	16	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.01031191	0.43293	17	1	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.03273075	0.0446	18	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.002695833	0.43049	19	1	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.005346552	0.07808	20	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.4453228	0.43111	21	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.08370753	0.43292	22	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.0185785	0.43419	23	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.1033824	0.4317	24	1	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.2567869	0.40123	25	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.7614897	0.43472	26	1	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.06423417	0.34906	27	1	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.0236915	0.00739	28	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.2352553	0.43234	29	1	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.007182818 | l1_ratio: 0.02087972	0.09474	30	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.002737674	0.437	31	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.001361657	0.43124	32	1	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.002848132	0.02219	33	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.006265929	0.42952	34	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.002066539	0.43302	35	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.004475745	0.06331	36	1	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.01566196	0.0	37	1	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.1475459	0.3906	38	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.05976738	0.434	39	1	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.02446785	0.27471	40	1	LogisticRegression	MACCS
solver_penalty: sag:None | C: 3.104806	0.43449	41	1	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 1.697477	0.42139	42	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 7.60771	0.43339	43	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.001582969	0.43585	44	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.003631062	0.43542	45	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.001615262	0.43248	46	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.001017881	0.43064	47	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.004088764	0.43068	48	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.008573646	0.43378	49	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.002631422	0.43197	50	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.001723554	0.4283	51	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.003585864	0.0335	52	1	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.01150028	0.1775	53	1	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.005737681	0.43194	54	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.0019992	0.43479	55	1	LogisticRegression	MACCS
solver_penalty: saga:None | C: 0.04330797	0.43359	56	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.3704416	0.43761	57	1	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.003505732	0.03545	58	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.495135	0.43354	59	1	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 0.01643528	0.43027	60	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.1661405	0.43166	61	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.444332	0.43712	62	1	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.371202	0.42931	63	1	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 2.056085	0.48311	0	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.007825002	0.49318	1	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.5847685	0.50118	2	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.001865688	0.49415	3	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.2756086 | l1_ratio: 0.9795829	0.43787	4	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 0.003695595	0.06703	5	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.05274381	0.20673	6	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.2682735 | l1_ratio: 0.8238683	0.44226	7	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.0328643	0.39038	8	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 0.02721221	0.49466	9	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 4.902415	0.49987	10	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 7.26614	0.49402	11	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.476282	0.49869	12	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 9.590412	0.49648	13	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 1.162987	0.49516	14	0	LogisticRegression	MACCS
