TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
737.62317	363.68626	194.91976	210.05503	0.62915	0.79098	0.36611	0.66977	0.57855	0.53814	0.50055	0.72535	0.5944	0.17206	0.68411	0.27682	0.12358	Total | Total	Weighted	1	LogisticRegression	RDKit
232.80715	103.09902	57.40356	62.445	0.64783	0.8022	0.37721	0.69307	0.58971	0.55009	0.51314	0.74365	0.60338	0.19599	0.70167	0.27341	0.13029	Sex | Female	Weighted	1	LogisticRegression	RDKit
334.21682	147.73408	63.61947	76.95426	0.66049	0.84009	0.34249	0.69347	0.59129	0.5364	0.4866	0.75977	0.60816	0.20972	0.7166	0.2752	0.11245	Sex | Unknown	Weighted	1	LogisticRegression	RDKit
170.5992	112.85316	73.89673	70.65577	0.56367	0.69776	0.38503	0.60186	0.54139	0.51832	0.49623	0.64627	0.55014	0.08663	0.59958	0.2823	0.15004	Sex | Male	Weighted	1	LogisticRegression	RDKit
45.49758	17.81403	7.13999	5.66576	0.67216	0.86436	0.2413	0.71863	0.55283	0.4567	0.37728	0.78478	0.58177	0.13045	0.73775	0.25338	0.11956	Age | Adolescent	Weighted	1	LogisticRegression	RDKit
127.04278	84.48534	67.69308	68.84572	0.56279	0.65239	0.449	0.6006	0.55069	0.54122	0.53191	0.62542	0.56674	0.10309	0.5968	0.27481	0.1576	Age | Elderly	Weighted	1	LogisticRegression	RDKit
184.84414	104.66968	57.49294	62.57157	0.60407	0.76276	0.37414	0.63846	0.56845	0.53421	0.50203	0.6951	0.57316	0.14782	0.64404	0.2926	0.13388	Age | Adult	Weighted	1	LogisticRegression	RDKit
342.6858	137.42569	54.01786	67.77081	0.68193	0.86383	0.33027	0.71376	0.59705	0.53414	0.47785	0.78166	0.61281	0.22902	0.73203	0.27465	0.10948	Age | Unknown	Weighted	1	LogisticRegression	RDKit
37.55287	19.29152	8.57589	5.20117	0.6054	0.81409	0.21236	0.66063	0.51322	0.41578	0.33685	0.72937	0.53361	0.03176	0.68539	0.25943	0.11755	Age | Children	Weighted	1	LogisticRegression	RDKit
85.8884	66.17753	41.762	57.5054	0.57053	0.67284	0.46494	0.56481	0.56889	0.55931	0.5499	0.61411	0.56961	0.14091	0.53399	0.27857	0.14726	Weight | High	Weighted	1	LogisticRegression	RDKit
101.55436	74.50236	42.8549	51.69422	0.56632	0.70324	0.40963	0.57683	0.55644	0.53672	0.51771	0.63379	0.5456	0.1181	0.54951	0.28467	0.16316	Weight | Average	Weighted	1	LogisticRegression	RDKit
453.84884	155.657	69.38662	49.3165	0.69096	0.86739	0.2406	0.74462	0.55399	0.45683	0.37671	0.80133	0.59783	0.13148	0.77807	0.26755	0.09833	Weight | Unknown	Weighted	1	LogisticRegression	RDKit
96.33157	67.34937	40.91624	51.53891	0.57731	0.70188	0.43351	0.58853	0.56769	0.55161	0.53598	0.64023	0.53792	0.14058	0.52943	0.28458	0.15857	Weight | Low	Weighted	1	LogisticRegression	RDKit
