TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
764.40073	394.45022	168.1422	179.29107	0.6265	0.81969	0.31249	0.65962	0.56609	0.50611	0.45249	0.731	0.64243	0.15238	0.75635	0.24455	0.05606	Total | Total	Weighted	1	RandomForestClassifier	CDDD
346.01932	160.99602	51.81697	63.69232	0.65815	0.86975	0.28347	0.68246	0.57661	0.49654	0.42758	0.76481	0.67243	0.1893	0.7924	0.24252	0.05888	Sex | Unknown	Weighted	1	RandomForestClassifier	CDDD
168.72904	111.73302	75.76689	71.77591	0.56192	0.69011	0.39113	0.60161	0.54062	0.51954	0.49928	0.64283	0.58208	0.08459	0.66938	0.25071	0.04133	Sex | Male	Weighted	1	RandomForestClassifier	CDDD
249.65237	121.72118	40.55834	43.82284	0.64393	0.86025	0.26472	0.67224	0.56248	0.4772	0.40486	0.75471	0.638	0.15473	0.75987	0.24099	0.06681	Sex | Female	Weighted	1	RandomForestClassifier	CDDD
349.67676	148.40796	47.0269	56.78854	0.6753	0.88146	0.27675	0.70204	0.5791	0.49391	0.42125	0.78159	0.69302	0.1985	0.81618	0.24382	0.06806	Age | Unknown	Weighted	1	RandomForestClassifier	CDDD
200.39939	116.14789	41.93769	51.09336	0.61403	0.82694	0.30551	0.63308	0.56623	0.50263	0.44618	0.71714	0.61705	0.15538	0.70213	0.24622	0.04458	Age | Adult	Weighted	1	RandomForestClassifier	CDDD
40.92739	22.64216	5.20137	1.85053	0.60574	0.88724	0.07555	0.64382	0.4814	0.25891	0.13925	0.74618	0.54272	-0.05906	0.72997	0.23585	0.07862	Age | Children	Weighted	1	RandomForestClassifier	CDDD
125.57381	88.85588	69.16205	64.47518	0.54601	0.64484	0.4205	0.58562	0.53267	0.52072	0.50905	0.6138	0.5606	0.0667	0.64245	0.25121	0.04115	Age | Elderly	Weighted	1	RandomForestClassifier	CDDD
47.82338	18.39633	4.81419	5.08346	0.69507	0.90854	0.2165	0.72219	0.56252	0.44351	0.34968	0.80472	0.62981	0.17171	0.79238	0.22908	0.1267	Age | Adolescent	Weighted	1	RandomForestClassifier	CDDD
477.52449	155.09716	45.71097	49.87634	0.72424	0.91264	0.24333	0.75483	0.57798	0.47125	0.38422	0.82627	0.67769	0.20771	0.83524	0.2356	0.11343	Weight | Unknown	Weighted	1	RandomForestClassifier	CDDD
95.58118	74.60437	41.66663	44.28391	0.54606	0.69641	0.37248	0.56163	0.53445	0.50932	0.48536	0.6218	0.54211	0.07277	0.61659	0.24736	0.04556	Weight | Low	Weighted	1	RandomForestClassifier	CDDD
106.02299	89.77554	38.38627	36.42104	0.52639	0.73418	0.28861	0.54149	0.51139	0.46031	0.41434	0.62328	0.53649	0.02542	0.59673	0.25229	0.06711	Weight | Average	Weighted	1	RandomForestClassifier	CDDD
85.27207	74.97315	42.37833	48.70978	0.53308	0.66801	0.39383	0.53213	0.53092	0.51292	0.49552	0.59238	0.55385	0.06432	0.58588	0.25116	0.0452	Weight | High	Weighted	1	RandomForestClassifier	CDDD
1812.0	1414.0	590.0	699.0	0.55615	0.75437	0.33081	0.56169	0.54259	0.49955	0.45993	0.64392	0.5756	0.09411	0.61549	0.24455	0.03352	Total | Total	Unweighted	1	RandomForestClassifier	CDDD
766.0	574.0	183.0	230.0	0.56817	0.80717	0.28607	0.57164	0.54662	0.48053	0.42243	0.66929	0.58809	0.10947	0.63548	0.24252	0.04383	Sex | Unknown	Unweighted	1	RandomForestClassifier	CDDD
424.0	388.0	269.0	298.0	0.52357	0.61183	0.4344	0.52217	0.52312	0.51554	0.50807	0.56346	0.53792	0.04698	0.5504	0.25071	0.04118	Sex | Male	Unweighted	1	RandomForestClassifier	CDDD
622.0	452.0	138.0	171.0	0.57339	0.81842	0.27448	0.57914	0.54645	0.47396	0.41109	0.6783	0.58433	0.11096	0.6379	0.24099	0.02821	Sex | Female	Unweighted	1	RandomForestClassifier	CDDD
664.0	507.0	162.0	189.0	0.56045	0.80387	0.27155	0.56704	0.53771	0.46722	0.40597	0.665	0.58598	0.0892	0.64051	0.24382	0.05547	Age | Unknown	Unweighted	1	RandomForestClassifier	CDDD
491.0	404.0	142.0	188.0	0.55429	0.77567	0.31757	0.5486	0.54662	0.49631	0.45064	0.64267	0.56296	0.10502	0.58184	0.24622	0.02731	Age | Adult	Unweighted	1	RandomForestClassifier	CDDD
198.0	114.0	27.0	12.0	0.59829	0.88	0.09524	0.63462	0.48762	0.2895	0.17188	0.73743	0.52596	-0.0378	0.69487	0.23585	0.07094	Age | Children	Unweighted	1	RandomForestClassifier	CDDD
271.0	291.0	235.0	290.0	0.5161	0.53557	0.49914	0.48221	0.51736	0.51704	0.51671	0.50749	0.53073	0.03465	0.51961	0.25121	0.05674	Age | Elderly	Unweighted	1	RandomForestClassifier	CDDD
188.0	98.0	24.0	20.0	0.6303	0.88679	0.16949	0.65734	0.52814	0.38769	0.28459	0.75502	0.57024	0.07936	0.70722	0.22908	0.06504	Age | Adolescent	Unweighted	1	RandomForestClassifier	CDDD
873.0	587.0	119.0	176.0	0.59772	0.88004	0.23067	0.59795	0.55535	0.45055	0.36553	0.71207	0.6209	0.14676	0.67282	0.2356	0.03213	Weight | Unknown	Unweighted	1	RandomForestClassifier	CDDD
336.0	260.0	162.0	185.0	0.55249	0.6747	0.41573	0.56376	0.54521	0.52962	0.51446	0.61426	0.54907	0.09361	0.59476	0.24736	0.036	Weight | Low	Unweighted	1	RandomForestClassifier	CDDD
345.0	311.0	146.0	145.0	0.51742	0.70265	0.31798	0.52591	0.51032	0.47268	0.43783	0.60157	0.51427	0.02234	0.54551	0.25229	0.05941	Weight | Average	Unweighted	1	RandomForestClassifier	CDDD
258.0	256.0	163.0	193.0	0.51839	0.61283	0.42984	0.50195	0.52134	0.51324	0.50528	0.55187	0.53351	0.04337	0.53358	0.25116	0.05591	Weight | High	Unweighted	1	RandomForestClassifier	CDDD
1366.61207	461.93527	515.62812	328.47595	0.63423	0.72606	0.41558	0.74738	0.57082	0.5493	0.5286	0.73656	0.62219	0.13905	0.7979	0.24005	0.15457	Total | Total	Weighted	0	RandomForestClassifier	CDDD
262.20603	96.60056	221.10092	164.53625	0.57324	0.54252	0.63008	0.73077	0.5863	0.58466	0.58303	0.62273	0.5906	0.16484	0.71464	0.24938	0.14802	Sex | Male	Weighted	0	RandomForestClassifier	CDDD
622.18224	200.7975	192.07945	102.23945	0.64837	0.76411	0.33738	0.75601	0.55074	0.50774	0.46809	0.76004	0.63781	0.10243	0.82778	0.23737	0.16038	Sex | Unknown	Weighted	0	RandomForestClassifier	CDDD
482.2238	164.53721	102.44775	61.70025	0.67076	0.82478	0.27272	0.7456	0.54875	0.47427	0.40991	0.78319	0.60537	0.10883	0.79637	0.23443	0.15265	Sex | Female	Weighted	0	RandomForestClassifier	CDDD
158.4883	86.30314	230.34016	148.22602	0.49204	0.4076	0.63202	0.64744	0.51981	0.50756	0.49559	0.50026	0.51766	0.0393	0.64198	0.25315	0.13944	Age | Elderly	Weighted	0	RandomForestClassifier	CDDD
120.03727	23.81016	7.90906	5.02947	0.79769	0.93818	0.17439	0.83448	0.55629	0.40449	0.29412	0.8833	0.6713	0.15852	0.8943	0.21269	0.2342	Age | Adolescent	Weighted	0	RandomForestClassifier	CDDD
639.41579	183.23677	147.05137	97.81292	0.6906	0.81302	0.34803	0.77726	0.58053	0.53193	0.48741	0.79474	0.67061	0.1687	0.84272	0.23465	0.14996	Age | Unknown	Weighted	0	RandomForestClassifier	CDDD
367.29691	137.43433	119.61435	69.27793	0.62941	0.75434	0.33514	0.72771	0.54474	0.5028	0.46409	0.74078	0.56408	0.09194	0.74709	0.24417	0.15884	Age | Adult	Weighted	0	RandomForestClassifier	CDDD
81.3738	31.15087	10.71318	8.12961	0.68132	0.88366	0.20696	0.72316	0.54531	0.42765	0.33538	0.7954	0.58741	0.11837	0.76022	0.23222	0.14824	Age | Children	Weighted	0	RandomForestClassifier	CDDD
156.47409	68.91368	126.76423	68.92873	0.5353	0.55245	0.50005	0.69424	0.52625	0.5256	0.52495	0.61528	0.54571	0.0494	0.71855	0.24784	0.16985	Weight | Low	Weighted	0	RandomForestClassifier	CDDD
866.75989	238.48283	162.10816	112.74252	0.70974	0.84244	0.321	0.78423	0.58172	0.52002	0.46487	0.81229	0.65739	0.17826	0.84048	0.23159	0.15834	Weight | Unknown	Weighted	0	RandomForestClassifier	CDDD
151.13187	77.00891	100.77442	72.68328	0.55731	0.59995	0.48555	0.66245	0.54275	0.53973	0.53672	0.62965	0.56572	0.08347	0.68797	0.24421	0.11548	Weight | High	Weighted	0	RandomForestClassifier	CDDD
192.24622	77.52985	125.98131	74.12142	0.56689	0.60412	0.48876	0.71261	0.54644	0.54339	0.54035	0.65389	0.56326	0.08782	0.72375	0.2451	0.16321	Weight | Average	Weighted	0	RandomForestClassifier	CDDD
3495.0	1986.0	1601.0	1342.0	0.57419	0.68583	0.40325	0.63766	0.54454	0.52589	0.50788	0.66087	0.5745	0.09134	0.67176	0.24005	0.06947	Total | Total	Unweighted	0	RandomForestClassifier	CDDD
703.0	411.0	730.0	678.0	0.54758	0.49058	0.62259	0.63106	0.55658	0.55266	0.54876	0.55202	0.55602	0.11288	0.60731	0.24938	0.07909	Sex | Male	Unweighted	0	RandomForestClassifier	CDDD
1460.0	841.0	563.0	407.0	0.57077	0.7217	0.32612	0.63451	0.52391	0.48514	0.44924	0.6753	0.57413	0.05086	0.68657	0.23737	0.06951	Sex | Unknown	Unweighted	0	RandomForestClassifier	CDDD
1332.0	734.0	308.0	257.0	0.60395	0.8122	0.25933	0.64472	0.53576	0.45894	0.39314	0.71883	0.5791	0.0844	0.69321	0.23443	0.06524	Sex | Female	Unweighted	0	RandomForestClassifier	CDDD
467.0	347.0	651.0	589.0	0.51412	0.41771	0.62927	0.57371	0.52349	0.51269	0.50212	0.48344	0.51874	0.04784	0.56754	0.25315	0.0608	Age | Elderly	Unweighted	0	RandomForestClassifier	CDDD
397.0	134.0	34.0	22.0	0.7138	0.92111	0.14103	0.74765	0.53107	0.36042	0.2446	0.82536	0.62843	0.09344	0.81345	0.21269	0.15803	Age | Adolescent	Unweighted	0	RandomForestClassifier	CDDD
1287.0	745.0	455.0	392.0	0.58319	0.73881	0.34477	0.63337	0.54179	0.50469	0.47014	0.68203	0.59396	0.08965	0.68695	0.23465	0.04427	Age | Unknown	Unweighted	0	RandomForestClassifier	CDDD
988.0	597.0	410.0	300.0	0.56122	0.70672	0.33445	0.62334	0.52059	0.48617	0.45403	0.66242	0.534	0.04346	0.63894	0.24417	0.07639	Age | Adult	Unweighted	0	RandomForestClassifier	CDDD
356.0	163.0	51.0	39.0	0.6486	0.87469	0.19307	0.68593	0.53388	0.41095	0.31632	0.7689	0.56749	0.0899	0.7176	0.23222	0.11379	Age | Children	Unweighted	0	RandomForestClassifier	CDDD
570.0	337.0	438.0	323.0	0.53537	0.56548	0.48939	0.62845	0.52744	0.52606	0.52469	0.5953	0.54593	0.05387	0.66076	0.24784	0.10094	Weight | Low	Unweighted	0	RandomForestClassifier	CDDD
1719.0	926.0	367.0	371.0	0.61779	0.82407	0.28604	0.64991	0.55505	0.48551	0.42468	0.7267	0.59921	0.12963	0.6943	0.23159	0.04194	Weight | Unknown	Unweighted	0	RandomForestClassifier	CDDD
550.0	354.0	359.0	332.0	0.55298	0.60506	0.48397	0.60841	0.54451	0.54114	0.53778	0.60673	0.57356	0.08895	0.64954	0.24421	0.05888	Weight | High	Unweighted	0	RandomForestClassifier	CDDD
656.0	369.0	437.0	316.0	0.54668	0.60018	0.46131	0.64	0.53075	0.52619	0.52166	0.61945	0.55379	0.06057	0.67274	0.2451	0.10184	Weight | Average	Unweighted	0	RandomForestClassifier	CDDD
857.50731	322.40855	208.10594	162.99662	0.65796	0.80471	0.33579	0.72675	0.57025	0.51982	0.47386	0.76375	0.65173	0.15271	0.80492	0.23714	0.12679	Total | Total	Weighted	2	RandomForestClassifier	CDDD
