Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 350 | criterion: log_loss | max_depth: 11 | min_samples_leaf: 1 | min_samples_split: 7 | max_features: sqrt | ccp_alpha: 0.01306472	0.0	0	3	RandomForestClassifier	ChemBERTa
n_estimators: 700 | criterion: gini | max_depth: 4 | min_samples_leaf: 2 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.0004548804	0.0	1	3	RandomForestClassifier	ChemBERTa
n_estimators: 775 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.001926325	0.27249	2	3	RandomForestClassifier	ChemBERTa
n_estimators: 250 | criterion: log_loss | max_depth: 12 | min_samples_leaf: 1 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.000240635	0.08886	3	3	RandomForestClassifier	ChemBERTa
n_estimators: 825 | criterion: log_loss | max_depth: 4 | min_samples_leaf: 6 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.0009719019	0.02712	4	3	RandomForestClassifier	ChemBERTa
n_estimators: 850 | criterion: log_loss | max_depth: 11 | min_samples_leaf: 10 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0004828454	0.29357	5	3	RandomForestClassifier	ChemBERTa
n_estimators: 650 | criterion: gini | max_depth: 11 | min_samples_leaf: 9 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.01350393	0.0	6	3	RandomForestClassifier	ChemBERTa
n_estimators: 725 | criterion: entropy | max_depth: 19 | min_samples_leaf: 5 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.0001815422	0.0916	7	3	RandomForestClassifier	ChemBERTa
n_estimators: 925 | criterion: entropy | max_depth: 5 | min_samples_leaf: 10 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.01162449	0.02	8	3	RandomForestClassifier	ChemBERTa
n_estimators: 375 | criterion: gini | max_depth: 17 | min_samples_leaf: 7 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 3.281039e-05	0.09831	9	3	RandomForestClassifier	ChemBERTa
n_estimators: 100 | criterion: log_loss | max_depth: 10 | min_samples_leaf: 8 | min_samples_split: 10 | max_features: sqrt | ccp_alpha: 1.356273e-05	0.08634	10	3	RandomForestClassifier	ChemBERTa
n_estimators: 1000 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 4 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.002079849	0.27947	11	3	RandomForestClassifier	ChemBERTa
n_estimators: 975 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 4 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.003019207	0.2572	12	3	RandomForestClassifier	ChemBERTa
n_estimators: 1000 | criterion: log_loss | max_depth: 8 | min_samples_leaf: 4 | min_samples_split: 5 | max_features: None | ccp_alpha: 8.658355e-05	0.1889	13	3	RandomForestClassifier	ChemBERTa
n_estimators: 875 | criterion: log_loss | max_depth: 14 | min_samples_leaf: 6 | min_samples_split: 4 | max_features: None | ccp_alpha: 0.003523956	0.22573	14	3	RandomForestClassifier	ChemBERTa
n_estimators: 550 | criterion: entropy | max_depth: 7 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.04832147	0.0	15	3	RandomForestClassifier	ChemBERTa
n_estimators: 575 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 10 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0009627266	0.08314	16	3	RandomForestClassifier	ChemBERTa
n_estimators: 875 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 8 | min_samples_split: 5 | max_features: None | ccp_alpha: 8.019964e-05	0.37075	17	3	RandomForestClassifier	ChemBERTa
n_estimators: 525 | criterion: gini | max_depth: 13 | min_samples_leaf: 8 | min_samples_split: 7 | max_features: None | ccp_alpha: 7.350013e-05	0.35543	18	3	RandomForestClassifier	ChemBERTa
n_estimators: 525 | criterion: gini | max_depth: 13 | min_samples_leaf: 8 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 4.743734e-05	0.11118	19	3	RandomForestClassifier	ChemBERTa
n_estimators: 475 | criterion: gini | max_depth: 2 | min_samples_leaf: 8 | min_samples_split: 4 | max_features: None | ccp_alpha: 1.693782e-05	0.01026	20	3	RandomForestClassifier	ChemBERTa
n_estimators: 625 | criterion: gini | max_depth: 9 | min_samples_leaf: 9 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0001251371	0.24605	21	3	RandomForestClassifier	ChemBERTa
n_estimators: 825 | criterion: gini | max_depth: 13 | min_samples_leaf: 9 | min_samples_split: 9 | max_features: None | ccp_alpha: 0.0004118325	0.30678	22	3	RandomForestClassifier	ChemBERTa
n_estimators: 775 | criterion: gini | max_depth: 18 | min_samples_leaf: 7 | min_samples_split: 10 | max_features: None | ccp_alpha: 5.573247e-05	0.40377	23	3	RandomForestClassifier	ChemBERTa
