Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: saga:l1 | C: 0.008269072	0.47164	0	1	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.3979217 | l1_ratio: 0.5655913	0.50454	1	1	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.01960396 | l1_ratio: 0.1292299	0.4944	2	1	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.001151499	0.50498	3	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.08380476	0.51346	4	1	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.208757	0.49694	5	1	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.071095	0.47954	6	1	LogisticRegression	CDDD
solver_penalty: saga:None | C: 0.3025954	0.50605	7	1	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 4.167897	0.50552	8	1	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 0.07331968	0.50473	9	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 3.37826	0.48885	10	1	LogisticRegression	CDDD
solver_penalty: saga:None | C: 1.371023	0.5055	11	1	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.5703956	0.50096	12	1	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.0263642	0.49886	13	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.003102269	0.42532	14	1	LogisticRegression	CDDD
solver_penalty: sag:None | C: 9.943276	0.50477	15	1	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.1598663	0.49924	16	1	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.8006884	0.51239	17	1	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 1.252515	0.50534	18	1	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 0.02143467	0.47516	19	1	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.8180428	0.50746	20	1	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 1.06264	0.51187	21	1	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 2.389659	0.51132	22	1	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.1046066	0.49873	23	1	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.04575422	0.51718	24	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.04263432	0.51665	25	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.04691368	0.51439	26	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.008903385	0.50219	27	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.03910143	0.51473	28	1	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 0.007872005	0.50394	29	1	LogisticRegression	CDDD
solver_penalty: sag:None | C: 0.009232636	0.50513	30	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.0471323	0.51576	31	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.04004528	0.51648	32	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.01472807	0.5068	33	1	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.03924307 | l1_ratio: 0.9982908	0.49199	34	1	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.004603203	0.48054	35	1	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.1411729	0.50246	36	1	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.3023468	0.50078	37	1	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.01539375	0.50184	38	1	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.06377236	0.5007	39	1	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 0.02845597	0.48219	40	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.03281926	0.51652	41	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.05258997	0.5179	42	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.09015773	0.52015	43	1	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.1803981	0.50618	44	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.1036056	0.51354	45	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.2818795	0.50857	46	1	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 0.07598678	0.4714	47	1	LogisticRegression	CDDD
solver_penalty: saga:None | C: 0.01500748	0.50536	48	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.02623303	0.51686	49	1	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.06316981	0.48278	50	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.02771148	0.51726	51	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.02238731	0.51014	52	1	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.114767 | l1_ratio: 0.03338972	0.49947	53	1	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.001865155	0.43684	54	1	LogisticRegression	CDDD
