Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 575 | criterion: gini | max_depth: 11 | min_samples_leaf: 6 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.0002700809	0.48969	0	1	RandomForestClassifier	CDDD
n_estimators: 375 | criterion: entropy | max_depth: 9 | min_samples_leaf: 6 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.008350565	0.45497	1	1	RandomForestClassifier	CDDD
n_estimators: 275 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 10 | min_samples_split: 2 | max_features: sqrt | ccp_alpha: 0.003807046	0.50122	2	1	RandomForestClassifier	CDDD
n_estimators: 750 | criterion: log_loss | max_depth: 15 | min_samples_leaf: 8 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.001530137	0.4922	3	1	RandomForestClassifier	CDDD
n_estimators: 925 | criterion: gini | max_depth: 20 | min_samples_leaf: 8 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0002675347	0.39974	4	1	RandomForestClassifier	CDDD
n_estimators: 475 | criterion: log_loss | max_depth: 10 | min_samples_leaf: 7 | min_samples_split: 9 | max_features: None | ccp_alpha: 0.009193684	0.43004	5	1	RandomForestClassifier	CDDD
n_estimators: 950 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.0002570777	0.44335	6	1	RandomForestClassifier	CDDD
n_estimators: 175 | criterion: gini | max_depth: 17 | min_samples_leaf: 8 | min_samples_split: 8 | max_features: None | ccp_alpha: 4.17883e-05	0.46804	7	1	RandomForestClassifier	CDDD
n_estimators: 100 | criterion: gini | max_depth: 15 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: sqrt | ccp_alpha: 0.001932012	0.48286	8	1	RandomForestClassifier	CDDD
n_estimators: 225 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 8 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.02072849	0.19025	9	1	RandomForestClassifier	CDDD
n_estimators: 325 | criterion: entropy | max_depth: 3 | min_samples_leaf: 10 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 1.253486e-05	0.40381	10	1	RandomForestClassifier	CDDD
n_estimators: 700 | criterion: log_loss | max_depth: 14 | min_samples_leaf: 10 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.001893015	0.49125	11	1	RandomForestClassifier	CDDD
n_estimators: 725 | criterion: log_loss | max_depth: 14 | min_samples_leaf: 10 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.001533766	0.49895	12	1	RandomForestClassifier	CDDD
n_estimators: 725 | criterion: log_loss | max_depth: 5 | min_samples_leaf: 1 | min_samples_split: 4 | max_features: sqrt | ccp_alpha: 0.006509735	0.45048	13	1	RandomForestClassifier	CDDD
n_estimators: 575 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 10 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.04466744	0.0	14	1	RandomForestClassifier	CDDD
n_estimators: 825 | criterion: log_loss | max_depth: 7 | min_samples_leaf: 9 | min_samples_split: 3 | max_features: sqrt | ccp_alpha: 0.0006638632	0.47452	15	1	RandomForestClassifier	CDDD
n_estimators: 450 | criterion: entropy | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 0.004497696	0.47534	16	1	RandomForestClassifier	CDDD
n_estimators: 300 | criterion: log_loss | max_depth: 12 | min_samples_leaf: 9 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 0.0007998903	0.49716	17	1	RandomForestClassifier	CDDD
n_estimators: 625 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 5 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 6.178298e-05	0.3951	18	1	RandomForestClassifier	CDDD
