TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
287.08811	285.58385	407.18137	677.78483	0.58208	0.41351	0.70356	0.50131	0.55853	0.53938	0.52088	0.4532	0.57792	0.12146	0.47813	0.2488	0.06934	Total | Total	Weighted	1	RandomForestClassifier	Morgan
82.67244	102.37476	105.21306	206.81475	0.58238	0.44002	0.66889	0.44676	0.55445	0.54252	0.53083	0.44336	0.5597	0.10924	0.42458	0.24902	0.11107	Sex | Male	Weighted	1	RandomForestClassifier	Morgan
86.17918	77.38631	130.28332	202.31489	0.58145	0.39813	0.72333	0.52688	0.56073	0.53663	0.51357	0.45354	0.59032	0.12812	0.50451	0.2483	0.05446	Sex | Female	Weighted	1	RandomForestClassifier	Morgan
118.23649	105.82278	171.68499	268.65519	0.58232	0.40782	0.71741	0.5277	0.56262	0.5409	0.52003	0.46008	0.58609	0.13137	0.5059	0.24902	0.05125	Sex | Unknown	Weighted	1	RandomForestClassifier	Morgan
62.59674	69.52744	96.15541	181.93334	0.59611	0.3943	0.72351	0.47377	0.55891	0.53412	0.51043	0.4304	0.59773	0.1228	0.48742	0.24555	0.09773	Age | Elderly	Weighted	1	RandomForestClassifier	Morgan
18.44016	7.7651	20.10597	29.46018	0.63217	0.47839	0.7914	0.70368	0.6349	0.61531	0.59632	0.56957	0.71144	0.28357	0.6912	0.24433	0.08572	Age | Adolescent	Weighted	1	RandomForestClassifier	Morgan
16.07571	9.50209	21.0942	33.61862	0.61893	0.43249	0.77964	0.6285	0.60607	0.58068	0.55636	0.51239	0.51022	0.22702	0.52283	0.25961	0.12364	Age | Children	Weighted	1	RandomForestClassifier	Morgan
113.36524	107.48468	164.98107	242.02361	0.56604	0.40728	0.69247	0.51331	0.54988	0.53106	0.5129	0.45419	0.56626	0.10377	0.49021	0.24973	0.05186	Age | Unknown	Weighted	1	RandomForestClassifier	Morgan
76.61026	91.30454	104.84472	190.74908	0.57682	0.4222	0.67629	0.45624	0.54924	0.53435	0.51986	0.43856	0.56655	0.10001	0.43233	0.24861	0.09329	Age | Adult	Weighted	1	RandomForestClassifier	Morgan
48.37839	64.96841	63.46893	140.71944	0.59552	0.43254	0.68414	0.42682	0.55834	0.54398	0.53	0.42966	0.57999	0.11633	0.42231	0.2493	0.13176	Weight | Average	Weighted	1	RandomForestClassifier	Morgan
48.03501	61.24071	58.91351	136.02519	0.60503	0.44914	0.68955	0.43958	0.56935	0.55651	0.54397	0.44431	0.58076	0.13803	0.42102	0.24708	0.13835	Weight | Low	Weighted	1	RandomForestClassifier	Morgan
36.5106	66.96225	60.22824	138.70702	0.57941	0.37741	0.67442	0.35285	0.52592	0.50451	0.48398	0.36472	0.5668	0.05096	0.36236	0.25059	0.17476	Weight | High	Weighted	1	RandomForestClassifier	Morgan
154.16411	92.41248	224.57069	262.33318	0.56784	0.40705	0.7395	0.62522	0.57327	0.54865	0.52508	0.49308	0.58803	0.15503	0.58584	0.24856	0.03873	Weight | Unknown	Weighted	1	RandomForestClassifier	Morgan
885.0	560.0	1517.0	1553.0	0.53998	0.36844	0.73497	0.61246	0.55171	0.52038	0.49083	0.4601	0.56329	0.11062	0.5804	0.2488	0.05853	Total | Total	Unweighted	1	RandomForestClassifier	Morgan
263.0	189.0	430.0	497.0	0.55112	0.37951	0.72449	0.58186	0.552	0.52436	0.4981	0.45939	0.55532	0.11078	0.54386	0.24902	0.03195	Sex | Male	Unweighted	1	RandomForestClassifier	Morgan
278.0	160.0	482.0	463.0	0.53579	0.36579	0.74318	0.6347	0.55448	0.52139	0.49027	0.46411	0.5726	0.11655	0.60421	0.2483	0.07673	Sex | Female	Unweighted	1	RandomForestClassifier	Morgan
344.0	211.0	605.0	593.0	0.53451	0.36249	0.73756	0.61982	0.55002	0.51707	0.48608	0.45745	0.56306	0.10718	0.59302	0.24902	0.06599	Sex | Unknown	Unweighted	1	RandomForestClassifier	Morgan
